# SNRtot_MF, SNRtot_opt, SNR220_MF, SNR220_opt, SNR221_MF,		     SNR221_opt, evidence220_221, evidence220, evidence221, nofilter
6.750984737104940336e+01 6.682708579382358494e+01 6.655423437612488158e+01 6.587581436965170667e+01 3.801311891244719021e+00 3.536809036478933965e+00 -4.298978207973767098e+02 -4.283568608521819101e+02 -5.061156187971994882e+02 -2.679095350668932042e+03
6.673447468487459844e+01 6.655272836814232562e+01 5.474919636216752394e+01 5.445969459963470172e+01 1.336341491020007588e+01 1.363265550840453422e+01 -3.997766823452328140e+02 -4.033905102576018749e+02 -4.056696282766115473e+02 -2.600206241932120975e+03
3.661771274516539165e+01 3.817264746607776971e+01 3.606038410391656868e+01 3.759267770149988053e+01 -3.061791404960318430e-01 1.179723992351911166e+00 -4.347474694992538389e+02 -4.370828831636038672e+02 -4.392849777865770875e+02 -1.086065864848017782e+03
1.488733111111331198e+01 1.355630173900597768e+01 1.409046391576883650e+01 1.282206789109943301e+01 2.674283671040965871e+00 1.250122081187551748e+00 -3.941795155172644627e+02 -3.968124099684555972e+02 -3.986968645188188702e+02 -5.009965088067247052e+02
7.887889838699967981e+01 8.027513613229588429e+01 6.841776806557362534e+01 6.980853907984926821e+01 1.040778578637353213e+01 1.169049320608370124e+01 -5.697787389667186062e+02 -5.730334839785933809e+02 -7.285076543668266140e+02 -3.569904452001063873e+03
5.917416883774518510e+01 5.819519026913638271e+01 6.478691963300258294e+01 6.378401287320912871e+01 6.776033607734383679e+00 7.686415513967480351e+00 -4.018037809418015627e+02 -4.062795572297126228e+02 -5.232947307821960976e+02 -2.127528469930879510e+03
7.655347896455853629e+01 7.503686537221358321e+01 7.290733201478033720e+01 7.136672104968812391e+01 6.399871804527787589e+00 5.726992059133022117e+00 -3.870706730453441082e+02 -3.874094672068185332e+02 -3.942290255432565687e+02 -3.306180471909066910e+03
2.887920696484372840e+01 2.848112326256613969e+01 2.880179241492541209e+01 2.843645734883884657e+01 2.268386316473713471e+00 1.715018563683185837e+00 -3.981146506055549139e+02 -4.005858980704758778e+02 -4.106102015162399539e+02 -8.055918861487355116e+02
3.727214591058476145e+01 3.754047624454135956e+01 4.007026482721102667e+01 4.036296006248163337e+01 3.909551873671283762e+00 3.397118267599690711e+00 -4.278533920225521570e+02 -4.296633775976869742e+02 -4.821817530311049040e+02 -1.113470725070789968e+03
5.435496354806654296e+01 5.304933093534751265e+01 5.400289136587026206e+01 5.323579507638685726e+01 1.823854471446573555e+01 1.651759464299975733e+01 -4.162977246915798446e+02 -4.218110982101295576e+02 -4.860931838730732011e+02 -1.869118986507454110e+03
4.863133865330387806e+01 4.833859159030472341e+01 4.451053045628676585e+01 4.444020662790427423e+01 1.011067367592048072e+01 8.867246502661791041e+00 -4.094890833836753927e+02 -4.106755760576272110e+02 -4.125456913467818367e+02 -1.576193247346193630e+03
2.075828963990113962e+01 2.050272751450625108e+01 2.063609319604200110e+01 2.037629112132486853e+01 1.489479073129106323e-01 3.186633435449888752e-01 -3.623062667308034861e+02 -3.600616163598861590e+02 -3.648571062428463279e+02 -5.670158947643768670e+02
2.854055146626823358e+01 2.842751590811661799e+01 2.851735919145125209e+01 2.840877284324665197e+01 1.647095164582003779e+00 8.211964055789948425e-02 -3.823368841339794244e+02 -3.843118232109497399e+02 -3.863895940502594613e+02 -7.853547075626148626e+02
2.525968075763273291e+01 2.452441413334241460e+01 2.389349266056252219e+01 2.320613918514519369e+01 2.959258635414734329e+00 1.808476007256748508e+00 -4.027623586245824754e+02 -4.043309700610018353e+02 -4.066428604114889254e+02 -7.047498419369104568e+02
4.257101339074929314e+01 4.221959374997222625e+01 4.388014921269532920e+01 4.353895625947000525e+01 2.176386120935413171e+00 2.184803626711912639e+00 -3.537160877794497651e+02 -3.573832349955362702e+02 -3.641588540430796570e+02 -1.255526382030465129e+03
2.710304799189376013e+01 2.958747883461502326e+01 2.603428262094818990e+01 2.856412621153147668e+01 1.449578109183160546e+00 2.055425192640159882e+00 -3.676234907892989554e+02 -3.689112554323190807e+02 -3.919571228675143857e+02 -7.359649475531284679e+02
6.147805218687894779e+01 5.995522125523409329e+01 5.546946279338897767e+01 5.381568285724809897e+01 1.134274602056657955e+01 1.113599586458201962e+01 -4.088540812568492129e+02 -4.076421765281099283e+02 -4.099842735235045552e+02 -2.268987330741915684e+03
1.021126536055955825e+02 1.027120999290435037e+02 9.133943508843337611e+01 9.224385509410012673e+01 1.955437127553978982e+01 1.836418521413901672e+01 -4.390084532101386685e+02 -4.482439485992477444e+02 -5.028522310299500759e+02 -5.618196229030523682e+03
2.020576190016953788e+01 1.863338419961191761e+01 1.926790214891925856e+01 1.761823316817627116e+01 1.960823475048261821e+00 1.832903454035603286e+00 -3.915612921512880575e+02 -3.910655189576624480e+02 -3.933737273696969510e+02 -5.909584149167603755e+02
6.527362459862123956e+01 6.518579419400548147e+01 6.974142859709763798e+01 6.944629936773118573e+01 1.146838144517159463e+01 1.263718147866241281e+01 -5.068477516419879976e+02 -5.098226540182056397e+02 -6.386590099158515841e+02 -2.526574213287455223e+03
3.840098296447686010e+01 3.826126983919466795e+01 3.477622822483511555e+01 3.462545111920354657e+01 4.211649661192621963e+00 4.181787723231372489e+00 -4.266531338208656621e+02 -4.279635364472771357e+02 -4.302553758378082307e+02 -1.159793746847719376e+03
6.619361668795998810e+01 6.582525051456893550e+01 6.364144604816226547e+01 6.322691737421357061e+01 4.875415112187709177e+00 5.249111600601956695e+00 -4.253578700619065671e+02 -4.275976131798065580e+02 -4.299542026005519801e+02 -2.594991538008809130e+03
6.907255794691270978e+01 6.920506823671456686e+01 6.194410991766125107e+01 6.165594876557628368e+01 1.026838202804472466e+01 1.243468074043474836e+01 -4.944728034579398468e+02 -4.950170548060958708e+02 -4.973146337503384871e+02 -2.810656166529246548e+03
2.966830851435098637e+01 3.078043660487046651e+01 3.022860763691840802e+01 3.131869626495985059e+01 1.634808683707086319e+00 1.689059893830836323e+00 -3.837464560150824582e+02 -3.844239546566652166e+02 -3.910621010544488740e+02 -8.169046528365081485e+02
7.172315370499363496e+01 7.121618517876153476e+01 7.166396810696484465e+01 7.115358589202625694e+01 9.820505680186889519e-01 1.163532647527369956e+00 -4.185732159830820933e+02 -4.189503704724261297e+02 -4.480457172099558534e+02 -2.980363418977005040e+03
5.357782822603344641e+01 5.440880840656927830e+01 4.965622864300004835e+01 5.063100324226405036e+01 1.165922586809992367e+01 1.129250708435723638e+01 -5.048698413485930132e+02 -5.059677015417488519e+02 -5.078380184002090232e+02 -1.882319127169038666e+03
5.583086827651519712e+01 5.758013479951711844e+01 6.204459171963029718e+01 6.348476355825015816e+01 8.718889995371741364e+00 9.679106098221218701e+00 -7.239724832342649279e+02 -7.300682829311439264e+02 -8.601723991423515372e+02 -1.980727693816245164e+03
