# SNRtot_MF, SNRtot_opt, SNR220_MF, SNR220_opt, SNR221_MF,		     SNR221_opt, evidence220_221, evidence220, evidence221, nofilter
1.086626450638466146e+01 1.072330758314158849e+01 1.345422671816584348e+01 1.344988683611415148e+01 4.578092901816001259e+00 4.229441647205987920e+00 -4.215714735753721243e+02 -4.206586448974981636e+02 -4.296962710151502165e+02 -4.776468522095170783e+02
3.786902875900202758e+01 3.550256175493738198e+01 5.084619156385554817e+01 4.876318404732764122e+01 1.633971543601456133e+01 1.735163385773517675e+01 -3.926325386788069522e+02 -4.188823089397847639e+02 -4.774202862638620672e+02 -1.107258053018703322e+03
4.451083248311553575e+01 4.503220297510831216e+01 3.601440878050172500e+01 3.620611487402347706e+01 1.762388660833165233e+01 1.851698703268064961e+01 -5.095099818996608292e+02 -5.217873832257109825e+02 -5.183869530361434954e+02 -1.377124695563067462e+03
5.432878532255433157e+01 5.429433515792501197e+01 3.816575225967635276e+01 3.793310538359365580e+01 2.599550217882694270e+01 2.626033390971377557e+01 -8.591553539564069979e+02 -8.712958074525502070e+02 -8.746256542453780867e+02 -1.881112505072664362e+03
3.967970528832709221e+01 3.947616172858483452e+01 5.348641920128734739e+01 5.318936525782427083e+01 2.075267301395767916e+01 2.112032792185802776e+01 -4.023181830622639268e+02 -4.225808027411733860e+02 -4.451907422087375608e+02 -1.171426030866074370e+03
6.404697757885668352e+01 6.410561048701876530e+01 5.320684460233110258e+01 5.303747954006523457e+01 2.149011950557117245e+01 2.206750222285452168e+01 -4.235031451805324423e+02 -4.290565061465295571e+02 -4.337480770213654750e+02 -2.437842300431876538e+03
3.222975802129244016e+01 3.227422040487020638e+01 4.529703301822896577e+01 4.528391892322002121e+01 1.778914303494584814e+01 1.790247076546037874e+01 -3.820479918895745186e+02 -3.943470055660636717e+02 -4.611371871581735036e+02 -8.812575704714895437e+02
1.097765699233595349e+01 1.134759957837264821e+01 9.138028127882938279e+00 9.533024700192683554e+00 2.609158246554895477e+00 2.765529136762932882e+00 -4.102355097982564303e+02 -4.130357736609368544e+02 -4.127292197571214274e+02 -4.700566139436033950e+02
3.050654180987732289e+01 2.984028387118723913e+01 3.283346789484814110e+01 3.205952534837653189e+01 7.494790339097904486e+00 8.103296364664368312e+00 -4.083480987865537486e+02 -4.122031140808289251e+02 -4.145232714176745503e+02 -8.632908532655027329e+02
1.127175491313890809e+01 1.150613843873571440e+01 1.073816804480580345e+01 1.143944659686488663e+01 6.696801459385145705e+00 5.774590786978848200e+00 -3.998846352893035601e+02 -4.011252941247272474e+02 -4.061405919367603587e+02 -4.590662778487775881e+02
7.615216122533598764e+01 7.698856476593324771e+01 5.429534708789446285e+01 5.530836832933181313e+01 2.674410814403822556e+01 2.705331082400930498e+01 -7.284073760096395063e+02 -7.473026136987009522e+02 -7.416222559387547335e+02 -3.289196980976977557e+03
2.763452183556518449e+01 2.726263219911324498e+01 2.904807386147105674e+01 2.883507761549377690e+01 1.226675191311653279e+01 1.193177000420624978e+01 -3.717509422015367591e+02 -3.766786313767506158e+02 -3.789946111767867478e+02 -7.477424859714094509e+02
2.022900923656741412e+01 2.102273904650229497e+01 2.962972770670396727e+01 3.005315306501639938e+01 1.288569522214640806e+01 1.318609556011309714e+01 -3.978141787135870118e+02 -4.051023069857373002e+02 -4.074092680414013330e+02 -5.934552671910780646e+02
1.118744387789017125e+01 9.738663629667716037e+00 1.153268235214622806e+01 1.017524631087084686e+01 4.337378787765318933e+00 4.267802598934791192e+00 -3.792269270051256171e+02 -3.814218858402804813e+02 -3.837512191757924143e+02 -4.374010355668470993e+02
5.250679705875712955e+01 5.260347670802615738e+01 3.994001967263989172e+01 3.994653892279594487e+01 1.399476328885153720e+01 1.433145377906601681e+01 -4.238364560863527117e+02 -4.270222302839712256e+02 -4.450976189931748195e+02 -1.769158926201454960e+03
