# SNRtot_MF, SNRtot_opt, SNR220_MF, SNR220_opt, SNR221_MF,		     SNR221_opt, evidence220_221, evidence220, evidence221, nofilter
4.917093410213176696e+01 5.017942495390288116e+01 3.943632731484085241e+01 4.052971228379139035e+01 1.045286614948940240e+01 1.102354576046559487e+01 -4.019352379290826889e+02 -4.120102693861496164e+02 -4.080321228558504458e+02 -1.593484065498352038e+03
5.950569728814303261e+01 6.023441355201818226e+01 4.561342968009913790e+01 4.631649186248468908e+01 1.504533173607491570e+01 1.576408108104480554e+01 -4.552291196777318305e+02 -4.600687061906832014e+02 -4.907889982968982849e+02 -2.184459540735419978e+03
2.453537075842266546e+01 2.559419571278517580e+01 1.783188323828616717e+01 1.881077558635220370e+01 6.308989145457544190e+00 7.471540418471366962e+00 -4.010386401679372170e+02 -4.042885592493428817e+02 -4.065889587798747584e+02 -6.980840672285049777e+02
4.991683811647615698e+01 4.986204248714111031e+01 4.056170158225573630e+01 4.028071295816194208e+01 1.046268344159899399e+01 1.122743514180230484e+01 -4.029685419825289046e+02 -4.075832159710813016e+02 -4.064497312700182761e+02 -1.636526194805265277e+03
7.300776901797314089e+00 6.507751595713711090e+00 6.235525829622869942e+00 5.371245788197152926e+00 1.679406952212856519e+00 1.271618698122153113e+00 -3.614002339201387599e+02 -3.618176835088134453e+02 -3.631579346773855264e+02 -3.869528634445564990e+02
4.919627445062297255e+01 5.010555521323853156e+01 3.870744698857615163e+01 3.964442577785243316e+01 1.103008184407043402e+01 1.174638971346123206e+01 -4.170728449891662422e+02 -4.235813064385795315e+02 -4.246807264213638291e+02 -1.618044965943144007e+03
7.590402504717559395e+01 7.522922568841086388e+01 5.455333548613208450e+01 5.384295542715726413e+01 2.403994699632674426e+01 2.350753596778093168e+01 -4.059642991775978089e+02 -4.192763885541039031e+02 -4.235612390655484774e+02 -3.274912848805243812e+03
5.603830510688156608e+01 5.651950020970459576e+01 4.213776232974468172e+01 4.241000076159850352e+01 1.845217789449949564e+01 1.926461433075218110e+01 -6.445936297737475797e+02 -6.613151998995987242e+02 -6.542572623029188890e+02 -1.989832332082546372e+03
7.454334541065907871e+00 7.635433987501325070e+00 5.354190004011278425e+00 5.747106142301078968e+00 2.498157555000051655e+00 2.076629325235381351e+00 -3.937537809832402900e+02 -3.975462466999557591e+02 -3.962424274889536946e+02 -4.226432607312029859e+02
6.158842917283273266e+01 6.226189435688278451e+01 4.884954874842166817e+01 4.940858119094295375e+01 1.386866795353844850e+01 1.483339759336657160e+01 -4.530586410877887147e+02 -4.607179375589551569e+02 -4.994257622217233461e+02 -2.309484760363739952e+03
2.969457707006877811e+01 2.968957377643398132e+01 2.228825833457461059e+01 2.235425019235040267e+01 8.290065910590033837e+00 8.089339490746933592e+00 -3.964005540258268638e+02 -3.984730811126704566e+02 -4.007904273658183456e+02 -8.339855475716224191e+02
3.742839484136556649e+01 3.922790165562423681e+01 2.932627530694109907e+01 3.124255074277510857e+01 7.606655734054784013e+00 8.821977751338456741e+00 -4.210579997835516224e+02 -4.278996408681026651e+02 -4.286114225821420405e+02 -1.117885906915549640e+03
