# SNRtot_MF, SNRtot_opt, SNR220_MF, SNR220_opt, SNR221_MF,		     SNR221_opt, evidence220_221, evidence220, evidence221, nofilter
1.974556163775578455e+02 1.975809260305153430e+02 1.287455668809641338e+02 1.289584267993952551e+02 7.565133489244621501e+01 7.561574332355692718e+01 -5.432260150164364632e+02 -6.402060243487565003e+02 -5.869946941091217241e+02 -1.987400844010372020e+04
1.402037178359535119e+02 1.418396964605353219e+02 6.496057621679648264e+01 6.620106044817089241e+01 9.294737707353742451e+01 9.453332925695067956e+01 -4.702820806621899123e+02 -7.340196258415195416e+02 -5.158973573411566349e+02 -1.026238999620346840e+04
3.402091446122166758e+02 3.414170081987552976e+02 2.853413870356345114e+02 2.867606959876914061e+02 7.161795834902838465e+01 7.169304442130022892e+01 -4.255082387683014531e+02 -5.092550484470048673e+02 -2.305407450224364311e+03 -5.825380847628577612e+04
2.030615649434859336e+02 2.030526487406804392e+02 1.827658716289092240e+02 1.825001667185323413e+02 4.216852180177243525e+01 4.324789755153557280e+01 -4.143181116861441069e+02 -4.414422453524432512e+02 -4.438737229044351125e+02 -2.100189533090342957e+04
4.176324561782290061e+02 4.174453708785422350e+02 4.378097447929912391e+02 4.377291495540006849e+02 9.385092460604911935e+01 9.339243988345619130e+01 -1.136468437537392219e+03 -1.337111314762337315e+03 -1.353776644518701914e+03 -8.758622442873046384e+04
3.038174088568085836e+02 3.042914868141811553e+02 3.292671323049798389e+02 3.297267701186025306e+02 4.590692990320749090e+01 4.574742353910980341e+01 -5.774630743068358925e+02 -6.602690977817140947e+02 -6.626452886314644957e+02 -4.653289974750708643e+04
5.173413190323178696e+02 5.180783047381145252e+02 5.556248135926323357e+02 5.563220801142249456e+02 9.671203529270347587e+01 9.664903977174026295e+01 -9.076386487636067386e+02 -1.097077851114931264e+03 -1.097210731005843854e+03 -1.341851507502641762e+05
3.526762359400007085e+02 3.526692728712410485e+02 3.617280814536979392e+02 3.617039556946928087e+02 2.793181784597593520e+01 2.815454289934674748e+01 -7.493706786354182441e+02 -7.537152559866965476e+02 -7.580775764817051368e+02 -6.256286824066541158e+04
3.492345180066571970e+02 3.475983132175908281e+02 3.124006201616490443e+02 3.106496916833725095e+02 4.442951536811134616e+01 4.386374902636903528e+01 -4.959596627383134546e+02 -5.291040922964591573e+02 -2.732284186228392628e+03 -6.135453747634649335e+04
4.299638832146422942e+02 4.295581243419367183e+02 4.368292379606797908e+02 4.363738992223184709e+02 3.493378423514057829e+01 3.561884079197050568e+01 -7.403065038685908803e+02 -7.865058743247320763e+02 -8.421326807747593648e+02 -9.281255953923922789e+04
8.781784438849408048e+01 8.780103931062643596e+01 6.915215696201094886e+01 6.937421357055947624e+01 7.113233251093824094e+01 7.089422417297981838e+01 -9.975148349445699978e+02 -1.062486910607498203e+03 -1.061354195752650867e+03 -4.264668730944857089e+03
1.575747558697559327e+02 1.572062491134738309e+02 1.453139911994829561e+02 1.448168317922022652e+02 7.478544099970747538e+01 7.497304822208332098e+01 -4.231842962319549315e+02 -5.445464485589834567e+02 -5.461479972659810755e+02 -1.282134821438296422e+04
6.116947923618398590e+02 6.130526118341100528e+02 6.050905002374133801e+02 6.064635808345975647e+02 3.271174957858678312e+01 3.270231288003736125e+01 -4.440948117993279993e+03 -4.454882971720608111e+03 -4.526268384207524832e+03 -1.874741168333891837e+05
1.951025652136355575e+02 1.934878318051159454e+02 1.787327396381285780e+02 1.773132255203973671e+02 3.650351677483835999e+01 3.475612280904024942e+01 -2.738981616395411947e+03 -2.767208136919646222e+03 -2.769250393068206904e+03 -1.942242633314923660e+04
6.451215624490114351e+02 6.451945570090363162e+02 5.787416132879258157e+02 5.789065339382140110e+02 1.529227822785186106e+02 1.526057696956371785e+02 -8.330947593545387235e+02 -1.358152343389215275e+03 -1.369613099613408167e+03 -2.084501255138391280e+05
1.098528473006567907e+02 1.103565007684421460e+02 9.810128811454710274e+01 9.798299265807770553e+01 5.137568344909763596e+01 5.265147630175079030e+01 -4.735153830181639023e+02 -5.289587691164091439e+02 -5.317068529608989138e+02 -6.445471898422272716e+03
8.408438227346988469e+01 8.463202445556325415e+01 6.442910053703056406e+01 6.522923997539992058e+01 7.835348416758661472e+01 7.827882258354040346e+01 -1.065590506795970668e+03 -1.277755067347423392e+03 -1.155676927393771166e+03 -3.946849252184748821e+03
2.806160784869594522e+02 2.801411631069051964e+02 2.904385913067853267e+02 2.899233823866828175e+02 2.178752627835216416e+01 2.251279240751972921e+01 -5.091486932522534516e+02 -5.189317255726017493e+02 -5.212547962477909778e+02 -3.976148023848742014e+04
1.138185429462893978e+02 1.134172454078622678e+02 1.141260543960623011e+02 1.137205422081501069e+02 2.753727180360321380e-01 9.250630271323989628e-01 -5.826976328375573075e+02 -5.848626813164363512e+02 -1.020104711974082875e+03 -6.873736524208130504e+03
2.173566790510480757e+02 2.168199395378319423e+02 2.677410940918825872e+02 2.672495425522536721e+02 9.163894789353311410e+01 9.180224559074245860e+01 -4.450894193066278604e+02 -7.230102491284610551e+02 -1.807400571424237114e+03 -2.401700951760897442e+04
4.161476793842671213e+02 4.171844809015674400e+02 4.434246077163294331e+02 4.444301147253498243e+02 3.483430797883514884e+01 3.441765870274878125e+01 -5.393187486392323535e+02 -5.724451874642323901e+02 -5.727916326111072749e+02 -8.699204204791068332e+04
6.069409263978301396e+02 6.062999029699235507e+02 5.039153413605463356e+02 5.033536651698744322e+02 1.417643716405320902e+02 1.410131603873628592e+02 -5.152690177361170072e+02 -8.041337415061476577e+02 -8.459697430012265613e+02 -1.845709110065053974e+05
1.902082607128919278e+02 1.891947048523707338e+02 1.888032252277945418e+02 1.884338494446655545e+02 9.445926799057419032e+01 9.314784199769847817e+01 -9.497102824394385152e+02 -1.128099696095443505e+03 -1.129153453533734591e+03 -1.845195099351559475e+04
7.418263644216084458e+02 7.421463905044760168e+02 7.145037509453554776e+02 7.148398314589605889e+02 4.513152465383179646e+01 4.507078607630050726e+01 -2.544742969950511451e+03 -2.577211750501496681e+03 -2.589786073730512726e+03 -2.755642127086689579e+05
