# SNRtot_MF, SNRtot_opt, SNR220_MF, SNR220_opt, SNR221_MF,		     SNR221_opt, evidence220_221, evidence220, evidence221, nofilter
3.074836185566804829e+02 3.065768669286208592e+02 2.435760130036875069e+02 2.426564211561818070e+02 7.144399063501977309e+01 7.066790699386197616e+01 -5.061469768237565177e+02 -5.943882316133476706e+02 -5.971688295332783127e+02 -4.765098815184505656e+04
3.826286985433177392e+02 3.836304452361955555e+02 2.957702074971921320e+02 2.969670945221139959e+02 9.629623202734401843e+01 9.659505134715152508e+01 -9.176646471552334106e+02 -1.083978190495660783e+03 -1.088678131097722826e+03 -7.358863055005742353e+04
3.926029815334935620e+02 3.940794106334371349e+02 3.069420054449485633e+02 3.085071277130992939e+02 9.386006468307581940e+01 9.490301296249378993e+01 -7.500946000993343432e+02 -9.048288434772726987e+02 -9.186653851127864527e+02 -7.747297495676568360e+04
3.974848891130051243e+02 3.987756793785659397e+02 3.134046037024133966e+02 3.147075612251821326e+02 9.243456749119827975e+01 9.355355416834004245e+01 -7.320752359731035313e+02 -9.110718092894486517e+02 -9.180698261079180611e+02 -7.938488093994084920e+04
3.003901075958537490e+02 3.011676730228779775e+02 2.310130166389782573e+02 2.319120235002869777e+02 8.153567145662961480e+01 8.184950438848551357e+01 -2.122974389469252401e+03 -2.200498025572506322e+03 -2.207433548541697292e+03 -4.548931231151422980e+04
4.049386484462772273e+02 4.044225623511324557e+02 3.112030877190517799e+02 3.109611419769674399e+02 1.081592371888479249e+02 1.069107080265106049e+02 -2.178404441867839523e+03 -2.370431005732839822e+03 -2.373915837535979335e+03 -8.238350634681578958e+04
2.287689119376822475e+02 2.281445820100796880e+02 1.763192065531300727e+02 1.754971141902886700e+02 6.021826028984856549e+01 6.024875630370917889e+01 -9.293914373207730932e+02 -9.747891147637867562e+02 -9.790341444639266228e+02 -2.655320372629673147e+04
3.455312606475323491e+02 3.442638226190420028e+02 2.670086717031746844e+02 2.657045102762918418e+02 9.010416215512734084e+01 8.909613313967031445e+01 -1.303385704391449963e+03 -1.442144558631689051e+03 -1.452645426574779094e+03 -6.006261758409253525e+04
2.727443256512015637e+02 2.709025718533894747e+02 2.131411609752373693e+02 2.114177880717360836e+02 6.892612388484607777e+01 6.691484903004342755e+01 -7.781367863669872804e+02 -8.661927525041522813e+02 -8.729334648733567974e+02 -3.758389345108453563e+04
2.986906899812311735e+02 2.984760100023355562e+02 2.332588111695858970e+02 2.331171384255426631e+02 7.365260469827032352e+01 7.322858340219650586e+01 -8.171787738637369785e+02 -9.017137574938453781e+02 -9.100785601355171366e+02 -4.500788756572334387e+04
2.392036645886078077e+02 2.394265168161326471e+02 1.867079036452095977e+02 1.868264973344563487e+02 5.795288283460587309e+01 5.848634562323771746e+01 -5.323730063044100689e+02 -5.864866684569002473e+02 -5.909782143258380529e+02 -2.899826525764802136e+04
