# SNRtot, SNR220, SNR221, evidence220_221, evidence220, evidence221, nofilter
8.180588432647061836e+01 8.613026276944917470e+01 5.788212977458724318e+00 6.281755829553075543e+00 4.092103994543521139e+00 1.722030872242359623e+00 -3.334110954108890382e+03
1.747147478288779254e+00 1.840430760687183476e+00 1.186181329536145218e-01 1.160455770509324935e+01 1.121517258676500539e+01 1.128768841417760882e+01 1.046413895360924329e+01
9.597971150751509128e+01 1.123419617316336456e+02 3.002927313188787295e+01 6.146810434232830467e+00 -3.145812647638533832e+01 -5.953236426111728008e+01 -4.594062109423857692e+03
1.695673072629329852e+02 1.251182382562284374e+02 4.886571770972111750e+01 5.828102040218286817e+00 -1.791812655787437336e+02 -2.849982230845601094e+01 -1.436454544509190964e+04
1.121873030106929114e+01 9.028029085173903567e+00 2.539486225856370183e+00 1.046953237444063589e+01 7.774908081549337879e+00 6.223933697383741581e+00 -5.093955367501045828e+01
5.022969954012086902e+00 4.133645580791130314e+00 1.995678276359833747e+00 1.052573685197690168e+01 9.406909129233859801e+00 8.385199979801802428e+00 -6.247124703994284545e-01
2.576572772213461349e+02 2.885605090413054086e+02 5.749850699002661258e+01 2.823510706435879980e-01 -1.105833981668697987e+02 -1.136139350763317680e+03 -3.318164585144975717e+04
1.056337296859651076e+01 1.075036010605440850e+01 2.237872140229748563e-01 9.217664638349885919e+00 7.945707515134591503e+00 5.652435938495333545e+00 -4.380202312778305895e+01
1.041048472129385232e+02 9.115456077591227313e+01 2.353500487050508738e+01 4.799121157566714757e+00 -9.590910369043180950e+00 -1.195191253012141530e+01 -5.406919205505582795e+03
5.254178476336550574e+01 4.944921894392586381e+01 1.300757658061570154e+01 5.640508326692412311e+00 1.475202333265013266e-01 -2.874001248156481836e+00 -1.368329171950859063e+03
2.776438088921844383e+02 2.767314480325454156e+02 1.105750664676297568e+00 4.549005726418887896e+00 2.912152281118504771e+00 4.521278025756718666e-01 -3.853105190697086073e+04
2.721158368305671704e+00 2.814861394167584852e+00 6.875832065955811423e-01 1.136410880503251519e+01 1.078074936640526182e+01 1.074636473922641322e+01 8.288049676354670936e+00
8.506955593760594070e+00 6.851133015419578420e+00 1.822130628123127094e+00 1.050825061245597425e+01 8.881725363357238834e+00 7.438960469705589773e+00 -2.419374562805266038e+01
2.560652848245984270e+00 2.720783564287063250e+00 2.619821141857469615e-01 1.103226464712657595e+01 1.039772078927808785e+01 1.016494823339149711e+01 8.711929604439529129e+00
6.860183142045698901e+01 7.332710082814679708e+01 6.895979665844312656e+00 3.615177028173149232e+00 6.078539033610439457e-01 -1.174809568581340784e+02 -2.341115236011345132e+03
5.040356489379487357e+02 5.400599000277705954e+02 5.128942467773706682e+01 -4.687226596098714992e+01 -7.109499434786896188e+01 -1.028754769155660114e+02 -1.270139772990404890e+05
