# SNRtot, SNR220, SNR221, evidence220_221, evidence220, evidence221, nofilter
7.557965216183171719e+01 7.243525775091296737e+01 3.673562508799586457e+00 7.182118689549056967e+00 4.978358290544517395e+00 -5.706148851463152027e+01 -2.844151509342682402e+03
2.058916549933050888e+01 1.983189398078030763e+01 1.335730203959641482e+00 9.565687344900810629e+00 7.755355690507969690e+00 -1.003004218906680123e-01 -1.999664668703561858e+02
1.559196480709811539e+01 1.580399985050994438e+01 6.674692120430682607e+00 9.510894417833057446e+00 7.169566596641939960e+00 1.906634255432430258e+00 -1.095642821638384277e+02
5.450335351040674681e+01 4.888167104562811716e+01 6.646776020842645849e+00 7.940560006787352521e+00 2.982544387782506412e+00 -3.098061461293435315e+01 -1.473317370831129210e+03
4.941715185575819902e+00 4.972306467033566157e+00 7.842417853513214965e-01 1.101384736742390125e+01 1.003956572920120571e+01 9.307034764215408984e+00 -2.198733786206670260e-01
1.678610674219689969e+01 1.384453330579838592e+01 3.772323183888968146e+00 1.005581714918933400e+01 6.953208311128431518e+00 4.025923674523403051e+00 -1.288962886711594535e+02
1.316488962540575187e+02 9.987058069274924321e+01 3.504193887274578145e+01 6.993750406195214708e+00 -9.626330330561839332e+01 -6.071513553298844101e+01 -8.653725541346746468e+03
1.363247516135244730e+01 1.587106557487328828e+01 2.604950072918252424e+00 9.644643644188768405e+00 8.637679660408162263e+00 2.106733696748168683e-01 -8.093178840339106728e+01
5.638758438531635164e+00 4.764349451531870727e+00 1.435637893922323771e+00 1.094194960538508177e+01 9.541545619212541851e+00 9.087756683089777354e+00 -3.907397255001198388e+00
1.781297241565953371e+01 1.884744463189585773e+01 1.159806990165923590e+00 9.539222461926756935e+00 8.358456294849743173e+00 -5.001480497669330560e-02 -1.466605920314690650e+02
9.067618777044246769e+01 9.868250284376311754e+01 1.225472790365136433e+01 6.382740069523721971e+00 3.791150863055721132e-01 -2.885900853232500936e+02 -4.099095113181215311e+03
3.955211744235347737e+01 4.035183129688271464e+01 1.151471639250542411e+00 8.085299025304649945e+00 6.774904937304283337e+00 -2.139736091618502201e+01 -7.701945959778063298e+02
4.680597907076356989e+01 5.241298367077927622e+01 7.990090067513225591e+00 7.700523428536568460e+00 4.540123535992792725e+00 -3.627253028428535941e+01 -1.083409437277324059e+03
1.563466357703130711e+02 1.524838553546030369e+02 5.075558345533821125e+00 5.853373795179064309e+00 3.772501888143477533e+00 -4.509342340029905927e+02 -1.221014485723841608e+04
