# SNRtot, SNR221_res, SNR221, evidence220_221, evidence220, evidence221, nofilter
1.560049074943188252e+01 2.352537852997807377e+00 4.621962410750124484e+00 9.504149711491708175e+00 7.703828254474409221e+00 1.804770911099016661e+00 -1.096972547025002029e+02
9.098658831064123831e+01 6.917673330618335115e+00 1.616879788969438536e+01 6.791312221931763204e+00 9.904614174003016913e-01 -1.056545965669774318e+02 -4.127289225096003065e+03
8.385537427413508738e+01 1.088570699934274977e+01 2.427454427538681969e+01 7.272606664582777825e+00 -2.242515143458889071e+01 -5.451293343220702781e+01 -3.503871496218583161e+03
8.148502016103240919e+01 8.038650451053371171e+00 1.559699744926677845e+01 6.801051745388142500e+00 -4.002230993793122416e+00 -1.179128337235910493e+02 -3.307913854212874867e+03
7.094866289621907640e+01 1.167883352918727624e+01 2.657466974715496733e+01 7.102813613406284254e+00 -1.190210633112752880e+01 -8.764089954446788511e+01 -2.504865982271612211e+03
1.309066284983888693e+02 6.129196966784910217e+00 1.158632084927345396e+01 6.259651252386182030e+00 -5.728233521190341015e+00 -2.462609742995287831e+02 -8.556282291298544806e+03
1.714484185337776978e+01 1.084687562857610921e+00 2.464338391119706984e+00 9.772314062753663322e+00 7.141136102225341453e+00 2.047603494678336578e+00 -1.349823999796123815e+02
7.616063400545644413e+01 8.579307486330000287e+00 2.010784671568056936e+01 6.781670615852523731e+00 -2.025330806116516058e+00 -1.010481850014390375e+02 -2.888230684947489863e+03
9.398907725873138475e+01 4.132587090015072739e+00 9.371609680244914031e+00 6.610025336053622524e+00 3.496270292420655235e+00 -1.791433323624125080e+02 -4.404982920864833432e+03
1.443112752027587078e+02 2.899397131710246711e+00 5.675276051998737081e+00 6.101917094200189240e+00 3.135980871577849882e+00 -3.415885826573099280e+02 -1.040088167421412436e+04
6.283427614516887161e+01 7.013308941377431438e+00 1.643159171215738112e+01 7.245141762127840224e+00 2.245917400796626495e-01 -9.409944921248924743e+01 -1.962082728234614251e+03
9.112296723471453674e+01 9.026065295522071041e-01 2.089526453571313613e+00 6.867177451759002516e+00 5.467033401471796061e+00 -1.318030919469870241e+02 -4.139707177720374602e+03
1.424669058639113359e+02 8.931435896481598746e+00 1.869110372373334172e+01 6.418620087608895020e+00 -2.000165597506065751e+01 -1.660353487729567803e+02 -1.013641923210923233e+04
1.100505054442967463e+02 4.709226481154757948e+00 9.093507084608232205e+00 6.497855865131993980e+00 2.068416765412190550e+00 -1.664797860357894024e+02 -6.043566473163538831e+03
8.270687445179686392e+01 6.131732268631402860e+00 1.313701891369528774e+01 7.101422106355205877e+00 -7.547311748121359187e-01 -7.300363746338062754e+01 -3.408223139683589125e+03
1.373685126582716265e+01 6.755459046002324497e-01 1.461154345654952058e+00 1.015298717473351964e+01 8.301798708169570773e+00 5.106370329093479654e+00 -8.236014024067401351e+01
3.320821945306550305e+01 3.687321247506587962e+00 8.612070246910146665e+00 8.524225297737253015e+00 3.703053903516812628e+00 -1.496277621605672259e+01 -5.394025185124243080e+02
1.055122229681077926e+02 1.257500794297654956e+01 2.446516032052979739e+01 7.195571501105833434e+00 -5.195541598316324894e+01 -6.054137405245148784e+01 -5.554424196726792616e+03
2.720683484696470344e+01 1.596347149578045466e+00 3.586218774395951936e+00 8.930703296138341685e+00 6.890829764037251337e+00 -6.873228632723829001e+00 -3.581155300859517183e+02
1.322258717090748235e+02 3.333610940247799803e+00 6.417061088228605215e+00 6.112195197873520058e+00 3.159792115928564460e+00 -1.936128162924765377e+02 -8.729850173503302358e+03
6.160849929332574249e+01 6.081054560775476681e+00 1.423239768972095476e+01 7.180040343177148898e+00 2.259136764294109145e+00 -1.402670821963881735e+02 -1.885813191478804811e+03
2.235225594186602294e+01 3.167011927690107864e+00 6.246867032492023242e+00 8.855465385559575964e+00 6.440514910347070021e+00 -4.817486069626506939e+00 -2.378212717362877981e+02
8.539849617450686026e+01 4.213628291485451705e+00 9.178486360486026285e+00 6.990757296662493125e+00 1.864281787436899318e+00 -7.798826885656197305e+01 -3.634461173324576066e+03
2.900477513344785052e+01 1.935730457967260953e+00 4.259654221132118224e+00 8.878162414609377606e+00 5.441325853023434966e+00 -8.763978266508662074e+00 -4.086480891618826945e+02
7.697483851749068151e+01 1.165100708664601248e+00 2.540728540899371612e+00 6.774230638452185538e+00 5.310770505500600258e+00 -1.172520478462734985e+02 -2.950572481287828850e+03
6.113543983019030748e+01 8.221074957565361885e+00 1.925553497421364568e+01 7.197446329074558058e+00 -1.797484891387943762e-01 -1.270004284733461901e+02 -1.856780600506355313e+03
3.700530250925834963e+01 6.796106094784357676e-01 1.361712611290629260e+00 8.177439692774507662e+00 6.526738221440808729e+00 -2.319783095012708074e+01 -6.727058057918064833e+02
6.895884316105001410e+00 1.117334496036143765e+00 2.394598918847538727e+00 1.041473475797270432e+01 9.291048980554924341e+00 6.496099556919663343e+00 -1.178620914149681020e+01
