# SNRtot, SNR220, SNR221, evidence220_221, evidence220, evidence221, nofilter
9.339130576259181282e+01 7.545407753352124303e+01 1.988432993524971693e+01 6.932933076859537636e+00 -3.873863972975166270e+00 -8.268205442060297727e+00 -4.348977594911902997e+03
9.275898674422316503e+01 7.494320505081718409e+01 1.974970027263917416e+01 6.948234101710459854e+00 -3.750609043880185567e+00 -8.123351258739905489e+00 -4.290124409798429042e+03
1.069073547856354764e+02 8.637416268067752867e+01 2.276208794495581245e+01 6.634095158017376370e+00 -6.663749378724983075e+00 -1.156283414965896128e+01 -5.702600852521813067e+03
7.366245736932319232e+01 5.951445612918008976e+01 1.568377906500575669e+01 7.476317239638252232e+00 -3.237438229284652635e-01 -4.104837094641051287e+00 -2.701088411734623151e+03
2.890690552162850224e+01 2.335489232828345507e+01 6.154689048468028112e+00 9.204698391865969498e+00 5.834074516180551839e+00 3.384245903594873539e+00 -4.058141923091234844e+02
3.415347017173486766e+00 2.759377401712190814e+00 7.271756870546978169e-01 1.127091188873159666e+01 1.036342270229595641e+01 1.030738580589687103e+01 6.158103485196747329e+00
1.029817358354047911e+02 8.320251887273312263e+01 2.192626814600273022e+01 6.715717039240044706e+00 -5.822632726683779403e+00 -1.056622618382256462e+01 -5.290628556727493560e+03
6.955304288492783371e+01 5.619431752964953120e+01 1.480882659720182737e+01 7.607528111322837461e+00 3.414602900124092955e-01 -3.321093083733208218e+00 -2.406822486167250645e+03
6.241774437399208608e+01 5.042946219678172781e+01 1.328962062166257851e+01 7.849764319279909586e+00 1.439398791207257222e+00 -2.017529037747413323e+00 -1.935997005259455591e+03
1.080027557413033463e+02 8.725917513407834747e+01 2.299531430190661752e+01 6.611995045732235177e+00 -6.903002891267916219e+00 -1.184683440481134475e+01 -5.820307222748761887e+03
7.524340745966553357e+01 6.079176058187252352e+01 1.602038570039688281e+01 7.427508364222484616e+00 -5.862617495538691159e-01 -4.413292547134195054e+00 -2.818794781961570152e+03
6.335362012516704056e+01 5.118558870036020636e+01 1.348888180623224997e+01 7.816988929537016517e+00 1.299398401469931130e+00 -2.184614433061975447e+00 -1.994850190372930456e+03
3.272647135409275165e+01 2.644085214128551797e+01 6.967928638619981463e+00 9.029136596715803265e+00 5.371097687050368386e+00 2.801235537258308650e+00 -5.235205625360721342e+02
8.340467875747552284e+01 6.738553494072419880e+01 1.775803579375000396e+01 7.190402865150448797e+00 -2.001402304682692979e+00 -6.072047219424186792e+00 -3.466179818209789119e+03
1.018323385532277854e+02 8.227388091293558148e+01 2.168154520740728586e+01 6.740367425899422393e+00 -5.581163891821177003e+00 -1.028065086631869640e+01 -5.172922186500545649e+03
5.435369215537645715e+01 4.391423450648092341e+01 1.157266984534884280e+01 8.143824989258884983e+00 2.598371093360339223e+00 -6.225845493324877467e-01 -1.465171524351661674e+03
5.100200721776182888e+01 4.120629190855228785e+01 1.085904871547660910e+01 8.271809279725742314e+00 3.056598560239677465e+00 -6.490862704926092519e-02 -1.288611969011260271e+03
7.679181666424585728e+01 6.204277412346517195e+01 1.635006392094689076e+01 7.380611130765057482e+00 -8.469871886539506178e-01 -4.719300060941630015e+00 -2.936501152188518972e+03
9.770302238738860012e+01 7.893766305418009210e+01 2.080235539013207102e+01 6.831938002191279224e+00 -4.731501776978849882e+00 -9.277686451626292907e+00 -4.760949890706224323e+03
8.198126431193770713e+01 6.623550900352434212e+01 1.745497072534176652e+01 7.229975774666776545e+00 -1.747252390695019919e+00 -5.774369767594875746e+00 -3.348473447982840298e+03
1.006698188871187796e+02 8.133464092368203069e+01 2.143402832766807009e+01 6.765662527614793476e+00 -5.339142499085287596e+00 -9.994662117244734745e+00 -5.055215816273594100e+03
8.549537735643099268e+01 6.907468290687245371e+01 1.820317509657198940e+01 7.133615930809392935e+00 -2.380399947675354788e+00 -6.516005512742088612e+00 -3.642739373550211440e+03
4.741398137216215503e+01 3.830740128768030672e+01 1.009510726345895115e+01 8.412350952471607357e+00 3.533305006970572038e+00 5.189347960838568419e-01 -1.112052413670815213e+03
8.753615630126432734e+01 7.072349905174652918e+01 1.863768579896149546e+01 7.079693664236589079e+00 -2.756942867195492752e+00 -6.957269010645342533e+00 -3.819298928890634670e+03
4.486282301757037771e+01 3.624623190241657511e+01 9.551929565861204452e+00 8.514484785155373103e+00 3.864284639465842552e+00 9.264040250855689607e-01 -9.943460434438665061e+02
3.447793928756766491e+01 2.785592387811123416e+01 7.340840934639888182e+00 8.951325581617602722e+00 5.158349908748529167e+00 2.534580001583605746e+00 -5.823737476495463170e+02
1.074564510743244483e+02 8.681779663141624326e+01 2.287899831130477324e+01 6.622981396162558099e+00 -6.783432184793440456e+00 -1.170487260848620892e+01 -5.761454037635287023e+03
7.602155441957366122e+01 6.142045252022746382e+01 1.618606419436995836e+01 7.403828017021244712e+00 -7.168396026593750747e-01 -4.566586247928871245e+00 -2.877647967075045017e+03
6.427587069181497270e+01 5.193070694442977953e+01 1.368524199629979243e+01 7.784980152651222340e+00 1.160272924124939209e+00 -2.350381739331006692e+00 -2.053703375486404639e+03
3.087580860582124487e+01 2.494563747053817693e+01 6.573896363505924434e+00 9.113091700922877791e+00 5.595357313978175817e+00 3.083125550147427063e+00 -4.646673774225979514e+02
6.146762109037629074e+01 4.966182461721309949e+01 1.308732593591735949e+01 7.883337149583621084e+00 1.580326313965239482e+00 -1.849047267220978341e+00 -1.877143820145981636e+03
1.137413581221291281e+01 9.189559118417191641e+00 2.421714391629943286e+00 1.026828460529453579e+01 8.231076522915580895e+00 6.608292297525491854e+00 -5.269508162827748521e+01
1.035516503291958230e+02 8.366297257397275189e+01 2.204761100267323570e+01 6.703624048356891407e+00 -5.943167359571623010e+00 -1.070886694929086147e+01 -5.349481741840965697e+03
6.870166958906939669e+01 5.550646349279759306e+01 1.462755718058241250e+01 7.635485720882841498e+00 4.762200181046454261e-01 -3.161849781325521747e+00 -2.347969301053776235e+03
1.063554236371374628e+02 8.592823834830143426e+01 2.264457399685671390e+01 6.645339264222870135e+00 -6.543952221777225020e+00 -1.142071690166713260e+01 -5.643747667408433699e+03
7.445712857688175745e+01 6.015649858076768908e+01 1.585297580502464854e+01 7.451666476153643082e+00 -4.552360524549321497e-01 -4.259387328145067819e+00 -2.759941596848096196e+03
