# SNRtot, SNR220, SNR221, evidence220_221, evidence220, evidence221, nofilter
9.364890183585275452e+01 5.810017264361314204e+01 3.886944181735228909e+01 7.779770771237029869e+00 -3.913650219148889420e+01 -1.573103905997549390e+01 -4.373068006421538485e+03
1.219804654320470974e+02 7.567719387860441316e+01 5.062859799760441604e+01 7.235317708603925091e+00 -6.905689101014070275e+01 -2.977068438439709297e+01 -7.427626572400364239e+03
1.289367906562010830e+02 7.999292731023484748e+01 5.351585533070981171e+01 7.116905017947859236e+00 -7.755131363483764062e+01 -3.374763619035104512e+01 -8.300357591251455233e+03
1.387187407716574512e+02 8.606169031073855535e+01 5.757590230851014468e+01 6.958900506525484531e+00 -9.026681947720980759e+01 -3.969842985509249900e+01 -9.609454119528094452e+03
1.478549359941276293e+02 9.172982425919296645e+01 6.136792551081342850e+01 6.819402868390231021e+00 -1.029588190897633808e+02 -4.563674979786244279e+01 -1.091855064780473549e+04
1.723823113532459104e+02 1.069467111091560696e+02 7.154813446963989065e+01 6.477274732754222164e+00 -1.409454485928916085e+02 -6.340604284947503544e+01 -1.484584023263465133e+04
2.047776734202308262e+02 1.270449300102516759e+02 8.499399038818373242e+01 6.081297609511940649e+00 -1.998968696828144687e+02 -9.097180790882462986e+01 -2.095495736459230102e+04
1.698320648424093235e+02 1.053645274459339731e+02 7.048964198943316717e+01 6.510912951984892949e+00 -1.367294964608169607e+02 -6.143414157643541529e+01 -1.440947472320910674e+04
1.892743469132704774e+02 1.174266010288448854e+02 7.855925772368377125e+01 6.264082141137190973e+00 -1.704350202462795494e+02 -7.719721755322987633e+01 -1.790039879861347436e+04
2.004705302374903511e+02 1.243727602611967029e+02 8.320628921861761285e+01 6.130968982682612811e+00 -1.914813542442568064e+02 -8.703761622970048961e+01 -2.008222634574121184e+04
7.843420018402586891e+01 4.866090773646394041e+01 3.255450433244052988e+01 8.121238816219653600e+00 -2.613579396876881589e+01 -9.590270338460424426e+00 -3.063971478144867433e+03
6.542677322797863404e+00 4.059104533572618578e+00 2.715570717251507116e+00 1.099680887980086830e+01 9.134700859214337498e+00 9.545392096872072685e+00 -9.412912166072041842e+00
8.886723691108039702e+01 5.513360760967246677e+01 3.688478804202784289e+01 7.883012642048546681e+00 -3.482163871052344462e+01 -1.369754579612311574e+01 -3.936702496995989804e+03
1.448735692905247845e+02 8.988017181482304352e+01 6.013049445342631572e+01 6.864122187217727600e+00 -9.873034346039709419e+01 -4.365844158920648255e+01 -1.048218513837918726e+04
1.418295457939754840e+02 8.799164683253626151e+01 5.886705738293971990e+01 6.910572843395796028e+00 -9.449974988716395785e+01 -4.167904380260908681e+01 -1.004581962895363904e+04
1.255068323473663696e+02 7.786496674692797626e+01 5.209223409962609708e+01 7.174628094752650398e+00 -7.330612449328789637e+01 -3.176032821709312870e+01 -7.863992081825910645e+03
1.183490723587123910e+02 7.342426234004372532e+01 4.912137026708252563e+01 7.299300933730663132e+00 -6.480307849246696605e+01 -2.777832060338372244e+01 -6.991261062974816014e+03
9.819800320735792809e+01 6.092245427080208486e+01 4.075756893485857546e+01 7.684830687498954482e+00 -4.343749402558205475e+01 -1.775471092350519697e+01 -4.809433515847083981e+03
8.381321362028143085e+01 5.199807029974255812e+01 3.478709057420731199e+01 7.996136637816086079e+00 -3.048960120037357058e+01 -1.165175550014973282e+01 -3.500336987570409747e+03
3.025785262376275853e+01 1.877209905084639985e+01 1.255867200812283357e+01 9.526062657391671351e+00 1.490382969985897255e+00 3.913558353843614501e+00 -4.457784215916187804e+02
7.265805350858782674e+01 4.507736204101100697e+01 3.015708596737553293e+01 8.261209542942221873e+00 -2.175354915392210842e+01 -7.508201013461708762e+00 -2.627605968719350585e+03
2.026355460242640447e+02 1.257159451626937852e+02 8.410488977354086160e+01 6.105899812581688124e+00 -1.956893021406773698e+02 -8.900484158321444284e+01 -2.051859185516676371e+04
1.869546666456710113e+02 1.159874616328299481e+02 7.759646290784752409e+01 6.292432567866153903e+00 -1.662242255717458477e+02 -7.522819398462618778e+01 -1.746403328918792977e+04
1.672429347679154716e+02 1.037582202562508087e+02 6.941501069301398275e+01 6.545488250399857932e+00 -1.325125666798594750e+02 -5.946172530671557865e+01 -1.397310921378356034e+04
1.748953752571476912e+02 1.085058265266230393e+02 7.259119412416968942e+01 6.444520548540177529e+00 -1.451604948084391538e+02 -6.537746059272816979e+01 -1.528220574206020137e+04
2.068976233557403930e+02 1.283601558680499011e+02 8.587388613771875612e+01 6.057143237146164871e+00 -2.041040785254593288e+02 -9.293852480974015862e+01 -2.139132287401785288e+04
6.638118499097255665e+01 4.118316640832831155e+01 2.755184051486332919e+01 8.420252156733484483e+00 -1.733265386823997289e+01 -5.398046512114286877e+00 -2.191240459293805088e+03
4.228792575017649114e+01 2.623560702433062986e+01 1.755181360699862481e+01 9.110208909294302160e+00 -3.577726600978742511e+00 1.299078757042924082e+00 -8.821439310171653005e+02
1.938304424932968857e+02 1.202532218924223173e+02 8.045028782217376317e+01 6.209188881768161750e+00 -1.788549848434728062e+02 -8.113427963340163274e+01 -1.877312981746457808e+04
1.822267415691006249e+02 1.130542370267765051e+02 7.563411412342006201e+01 6.351093996353789350e+00 -1.578008209177401966e+02 -7.128908129028710050e+01 -1.659130227033684059e+04
1.960687926621631902e+02 1.216419037530590259e+02 8.137932617660221979e+01 6.182591064900687883e+00 -1.830642219289529748e+02 -8.310234665186210634e+01 -1.920949532689011539e+04
1.773728369993263811e+02 1.100428542131924559e+02 7.361947692465697912e+01 6.412601682126237712e+00 -1.493747002659563634e+02 -6.734842302830577410e+01 -1.571857125148574596e+04
1.646130863902810688e+02 1.021266512600131051e+02 6.832347906264749327e+01 6.581058522549819045e+00 -1.282945801073423411e+02 -5.748875878060709965e+01 -1.353674370435801211e+04
1.322778401833508894e+02 8.206572849137961612e+01 5.490257453038677937e+01 7.061866887811013349e+00 -8.179291085999987843e+01 -3.573292336359730115e+01 -8.736723100677005277e+03
1.536442128279804820e+02 9.532151596016012718e+01 6.377079361333974816e+01 6.734653704127300244e+00 -1.114101644755770479e+02 -4.959051068988446787e+01 -1.179128166665582830e+04
1.592231332854367167e+02 9.878270168032304355e+01 6.608635225710072802e+01 6.655443541107534777e+00 -1.198550769751581697e+02 -5.354101082962552738e+01 -1.266401268550691930e+04
1.025454965016180893e+02 6.361965739878113624e+01 4.256201761861110811e+01 7.596965431558467152e+00 -4.772706717932827303e+01 -1.977042709090677874e+01 -5.245799025272628569e+03
1.146026697303193203e+02 7.109997838972417128e+01 4.756640724953488331e+01 7.366960475755827353e+00 -6.054404905827043137e+01 -2.578276621464731377e+01 -6.554895553549269607e+03
1.619405359756569567e+02 1.004685897403960553e+02 6.721422373974733944e+01 6.617687117797143692e+00 -1.240754492189131497e+02 -5.551520228171458626e+01 -1.310037819493246570e+04
1.798161681385761881e+02 1.115587071301305713e+02 7.463359364888786729e+01 6.381473288207633487e+00 -1.535881242736134880e+02 -6.931895558778087718e+01 -1.615493676091129419e+04
1.846058405407122507e+02 1.145302400367120583e+02 7.662157096746152263e+01 6.321425563365689726e+00 -1.620128396109177515e+02 -7.325882105860998195e+01 -1.702766777976238518e+04
1.982818763146280219e+02 1.230149101606337467e+02 8.229787753791119087e+01 6.156525493634152468e+00 -1.872730026038505571e+02 -8.507012158380646838e+01 -1.964586083631566726e+04
1.915659401310581700e+02 1.188483151010052694e+02 7.951039487000041106e+01 6.236343729180572559e+00 -1.746452616794566097e+02 -7.916590783211871951e+01 -1.833676430803902622e+04
5.158487843451346322e+01 3.200347557837155676e+01 2.141055999225699935e+01 8.826873963431562942e+00 -8.293567974184314906e+00 -1.032429224469945339e+00 -1.318509440442711593e+03
5.944519073865122749e+01 3.688004639714736754e+01 2.467302165259152602e+01 8.604956795545733783e+00 -1.285627398500618845e+01 -3.247280759279479234e+00 -1.754874949868258227e+03
1.107295845312604428e+02 6.869710003965904832e+01 4.595886400185921161e+01 7.438747814877434195e+00 -5.627903359568866648e+01 -2.378344135358688050e+01 -6.118530044123721382e+03
1.067160244368873947e+02 6.620707047361732123e+01 4.429301595121030743e+01 7.515200510253731814e+00 -5.200709347778123970e+01 -2.177962733099062120e+01 -5.682164534698119496e+03
1.564585413276656425e+02 9.706753720015450426e+01 6.493889463459004219e+01 6.694404269037441679e+00 -1.156333554924270999e+02 -5.156613319447649246e+01 -1.222764717608137289e+04
1.507773627461319847e+02 9.354291010965366127e+01 6.258089324856237567e+01 6.776285296475220932e+00 -1.071853693592512542e+02 -4.761407568946106039e+01 -1.135491615723028190e+04
1.355365560371931792e+02 8.408744951525854106e+01 5.625512073004456681e+01 7.009269653124166055e+00 -8.603130219434468984e+01 -3.771644949420721105e+01 -9.173088610102548046e+03
