# SNRtot, SNR220, SNR221, evidence220_221, evidence220, evidence221, nofilter
8.513870427943375319e+01 5.787622723876413033e+01 3.094216518376663672e+01 7.628747542674401139e+00 -1.017653329614771174e+01 -6.626574356396756293e+00 -3.612309082081380893e+03
1.699309446472387606e+02 1.155169326399672229e+02 6.175841415029033499e+01 5.987828783965337465e+00 -5.351117165106541762e+01 -3.855900816739145398e+01 -1.442627257324240782e+04
1.577065448398066678e+02 1.072069384123084319e+02 5.731567096650266535e+01 6.176687125344019869e+00 -4.563026889501242778e+01 -3.274393631950863437e+01 -1.242368674154592009e+04
6.268171365998591149e+00 4.261024564801631165e+00 2.278056677610674097e+00 1.095712454402051961e+01 9.476529308922780004e+00 9.422407415570818401e+00 -7.654585027707655698e+00
1.856980513560999952e+02 1.262352147480060438e+02 6.748869187044969919e+01 5.756523977302451023e+00 -6.450263127560518228e+01 -4.667061406628590703e+01 -1.722989273761732329e+04
1.878424888307532967e+02 1.276929765454494401e+02 6.826804996766934153e+01 5.725961870935675435e+00 -6.606972625796912268e+01 -4.782725216127442280e+01 -1.763040990395678455e+04
7.514339825309795629e+01 5.108154310776612306e+01 2.730954694337029665e+01 7.900981999644486997e+00 -6.770251768617005617e+00 -4.120523986229606805e+00 -2.811274749402788075e+03
1.745811977678584697e+02 1.186781165997726077e+02 6.344846688743658092e+01 5.918308612741907559e+00 -5.665591284654944104e+01 -4.087964099644428018e+01 -1.522730690592100109e+04
1.525427337500962608e+02 1.036966441627596680e+02 5.543897461473329003e+01 6.259495611203071519e+00 -4.246871513742418358e+01 -3.041140342347788561e+01 -1.162265240886732499e+04
1.267279630777888570e+02 8.614808565236245386e+01 4.605705008247867482e+01 6.708920583361008383e+00 -2.814534605915119769e+01 -1.984852440021701270e+01 -8.017997911813652536e+03
1.471978836620811251e+02 1.000632818645056403e+02 5.349648282201071936e+01 6.347382032520830997e+00 -3.930075181800583550e+01 -2.807437268916334006e+01 -1.082161807618872990e+04
9.824307591080734881e+01 6.678441531582650725e+01 3.570471865552971025e+01 7.304749483919587227e+00 -1.517001206500373556e+01 -1.029721534531377003e+01 -4.813860581099272167e+03
1.097943758234111016e+02 7.463684464633097093e+01 3.990283551680961693e+01 7.047167710725688039e+00 -2.007813055902108346e+01 -1.390720419187110579e+01 -6.015412080117164805e+03
1.899627198763227796e+02 1.291342831148953394e+02 6.903861066382981448e+01 5.695933016396274695e+00 -6.763615716544188672e+01 -4.898343701732710542e+01 -1.803092707029608209e+04
6.960959681211379291e+01 4.731973404098217628e+01 2.529838410350484068e+01 8.061439571803026283e+00 -5.030832728444123880e+00 -2.838613870721446553e+00 -2.410757583063466882e+03
1.768604787586494922e+02 1.202275433344226059e+02 6.427683148981299155e+01 5.884651298816765852e+00 -5.822689155580378895e+01 -4.203897687920340331e+01 -1.562782407226030045e+04
2.898834774443191620e+01 1.970591654562364070e+01 1.053530532211018667e+01 9.477040798067145388e+00 4.849462926320986078e+00 4.581562127056826306e+00 -4.081717513670007520e+02
1.835285589350455382e+02 1.247604209110974693e+02 6.670022799346973841e+01 5.787645141866297749e+00 -6.293483817487071974e+01 -4.551349650637781963e+01 -1.682937557127818582e+04
1.551461245169577410e+02 1.054663966729651889e+02 5.638513121680855278e+01 6.217501209537002360e+00 -4.405023794463231468e+01 -3.157819559468252990e+01 -1.202316957520662254e+04
8.029672866127411623e+01 5.458471272097907701e+01 2.918243427570467574e+01 7.757822058164173029e+00 -8.483508253298033708e+00 -5.381495215333222504e+00 -3.211791915742084711e+03
1.722717628672253340e+02 1.171081916140283141e+02 6.260914337668627638e+01 5.952687443951460544e+00 -5.508402386381965954e+01 -3.971966454496510579e+01 -1.482678973958170354e+04
1.060837906080558923e+02 7.211443518602428071e+01 3.855428855883461381e+01 7.127280749600656051e+00 -1.844928305325867868e+01 -1.270876390408182033e+01 -5.614894913777869078e+03
1.022386242918753680e+02 6.950053917516071067e+01 3.715683046593463246e+01 7.212876863249284121e+00 -1.681359831116535375e+01 -1.150570833551013727e+01 -5.214377747438569713e+03
1.444513157500373381e+02 9.819619932020921738e+01 5.249829100382231672e+01 6.393478315063746642e+00 -3.771405975154745249e+01 -2.690397134360902953e+01 -1.042110090984943599e+04
1.298499555584213851e+02 8.827037712691627291e+01 4.719168335950335802e+01 6.650837150870788861e+00 -2.974698120846619531e+01 -2.102902317307679425e+01 -8.418515078152948263e+03
1.498941335985973922e+02 1.018961588778338125e+02 5.447638745667121185e+01 6.302757050464841804e+00 -4.088559281832657177e+01 -2.924348837679359292e+01 -1.122213524252802745e+04
1.235270913329008096e+02 8.397217303967744328e+01 4.489374952369507099e+01 6.769742063369346141e+00 -2.654032566174626950e+01 -1.866579131411149461e+01 -7.617480745474354990e+03
8.971974865691203149e+01 6.099036395984460057e+01 3.260706522002828223e+01 7.511372075644366042e+00 -1.185343790724074964e+01 -7.859295955739502126e+00 -4.012826248420679804e+03
1.168626271645885595e+02 7.944175358011075616e+01 4.247166719460065565e+01 6.900843697298091328e+00 -2.331861600652015198e+01 -1.629266473233916912e+01 -6.816446412795760807e+03
1.328986278755450314e+02 9.034282647055754012e+01 4.829966971219681682e+01 6.595232328063757699e+00 -3.134554476888920149e+01 -2.220748193131023385e+01 -8.819032244492243990e+03
1.416515029543929245e+02 9.629292156941241387e+01 5.148074826882699995e+01 6.441166643958997184e+00 -3.612536898990247636e+01 -2.573219092874314384e+01 -1.002058374351013845e+04
4.051368457238508825e+01 2.754069649562872613e+01 1.472398635675002154e+01 9.023897220956090592e+00 2.506212345018546284e+00 2.770928087119334027e+00 -8.086889177063020497e+02
1.813331122881198496e+02 1.232679837157765519e+02 6.590233150941753593e+01 5.819353106333031711e+00 -6.136631046444243509e+01 -4.435587145064226178e+01 -1.642885840493888827e+04
1.920595461712040617e+02 1.305596794272994146e+02 6.980066531484892778e+01 5.666413366171214605e+00 -6.920195580527631307e+01 -5.013919318014946214e+01 -1.843144423663537964e+04
6.359608192071659971e+01 4.323182176531630461e+01 2.311287784428395753e+01 8.243748357505406688e+00 -3.256221155174308102e+00 -1.528170540388271270e+00 -2.010240416724193665e+03
1.961859779414575087e+02 1.333647761790259381e+02 7.130034439189550710e+01 5.608813358726601805e+00 -7.233177344574637857e+01 -5.244950988927800495e+01 -1.923247856931397109e+04
1.651498025531539326e+02 1.122667719916460101e+02 6.002079211699415140e+01 6.060581465297642190e+00 -5.036234310420696403e+01 -3.623548375413187017e+01 -1.362523824056381090e+04
1.627065547255768649e+02 1.106058826503499546e+02 5.913283665061021566e+01 6.098294667637707889e+00 -4.878623666988845287e+01 -3.507252178611420845e+01 -1.322472107422451518e+04
1.387952231042545463e+02 9.435125822060756207e+01 5.044268357566493677e+01 6.490582814112995536e+00 -3.453451422535867721e+01 -2.455892819374225411e+01 -9.620066577170840901e+03
1.358789153028577346e+02 9.236878862067270290e+01 4.938280277901386484e+01 6.541880126258279304e+00 -3.294130952923903521e+01 -2.338406820000490427e+01 -9.219549410831539717e+03
1.133835935888920119e+02 7.707675003087371124e+01 4.120727360897879521e+01 6.971874810497014963e+00 -2.170100460081719618e+01 -1.510166931294568293e+01 -6.415929246456462351e+03
9.407798696686734274e+01 6.395303990050478404e+01 3.419099030836711961e+01 7.403857275414436501e+00 -1.351719185103229925e+01 -9.082214824273563636e+00 -4.413343414759976440e+03
1.202410410820208568e+02 8.173835714304689759e+01 4.369949233449509052e+01 6.833600823062368157e+00 -2.493155686678900906e+01 -1.748059553115708198e+01 -7.216963579135059263e+03
1.602260547413826259e+02 1.089196697585047673e+02 5.823134254286151190e+01 6.136975178350343008e+00 -4.720890556487355383e+01 -3.390869143297573629e+01 -1.282420390788521763e+04
1.982169828080446052e+02 1.347454279070089171e+02 7.203847740205635830e+01 5.580692372108203791e+00 -7.389584648708451198e+01 -5.360411211895510064e+01 -1.963299573565326864e+04
1.675574278151346448e+02 1.139034455580044067e+02 6.089580118821896093e+01 6.023777239159996633e+00 -5.193729883127680580e+01 -3.739762966527619881e+01 -1.402575540690297203e+04
1.941337260966457450e+02 1.319696810207573492e+02 7.055448954105777659e+01 5.637380474730325552e+00 -7.076715193775095258e+01 -5.129454363022468755e+01 -1.883196140297468082e+04
5.695109571367235901e+01 3.871464318041437735e+01 2.069787443775599911e+01 8.454871111107404857e+00 -1.431627238798025559e+00 -1.767458432873958429e-01 -1.609723250384880430e+03
4.942057233894917090e+01 3.359548749498335241e+01 1.796103811691957119e+01 8.706741510595351841e+00 4.698676742645497839e-01 1.238881610864121186e+00 -1.209206084045599255e+03
1.791107570175987576e+02 1.217572543743973768e+02 6.509465555921998714e+01 5.851677746791291490e+00 -5.979700896770468432e+01 -4.319770892790194239e+01 -1.602834123859959436e+04
