# SNRtot, SNR220, SNR221, evidence220_221, evidence220, evidence221, nofilter
4.176562756174889302e+01 2.667429748968745074e+01 1.627781044357133666e+01 9.112284226776189655e+00 9.281593378017749529e-02 2.676365665038598074e+00 -8.601934217043047965e+02
2.001327943115243500e+02 1.278180648672265960e+02 7.800011347917168791e+01 5.707295559594967038e+00 -1.172595298548249474e+02 -5.620558551722132279e+01 -2.001457727836040431e+04
6.556131094769905587e+01 4.187179779466490714e+01 2.555198267907918108e+01 8.400311971783080978e+00 -8.665060769447791245e+00 -1.908638305864306162e+00 -2.137152345481386874e+03
1.846455894806206857e+02 1.179269095545838582e+02 7.196410254732361977e+01 5.943833535439276616e+00 -9.943548321691466185e+01 -4.730080040953964016e+01 -1.703500645621389776e+04
1.651773172114385488e+02 1.054931807580841649e+02 6.437650326623879948e+01 6.257764389250215942e+00 -7.902152411689090172e+01 -3.710396893988887257e+01 -1.362978265947504042e+04
1.727352424050238255e+02 1.103201726360449726e+02 6.732214255936285952e+01 6.133354448252346103e+00 -8.668370454432101724e+01 -4.093083151257010144e+01 -1.490674158325211465e+04
2.043422307241172007e+02 1.305064899116585764e+02 7.964070676122277348e+01 5.644616845376382308e+00 -1.223475112133076408e+02 -5.874754508912832307e+01 -2.086588322754512046e+04
1.239566974091443825e+02 7.916696134021273679e+01 4.831110512236451626e+01 7.012980542660741001e+00 -4.306545271619408766e+01 -1.915978946247307491e+01 -7.670641015182036426e+03
1.168873429170701428e+02 7.465200308888863390e+01 4.555588224895596028e+01 7.158795760834506083e+00 -3.788159112984742904e+01 -1.657461895002129992e+01 -6.819335065997318452e+03
9.698515962913693045e+01 6.194114996135603235e+01 3.779916971075164867e+01 7.600417535032066851e+00 -2.481209274491303063e+01 -1.005075867945667767e+01 -4.691070193035531702e+03
1.430842357763092991e+02 9.138307488709617132e+01 5.576590616258644673e+01 6.644251411182790612e+00 -5.852870847475478655e+01 -2.687340347821229258e+01 -1.022455886273618125e+04
1.400778090152246307e+02 8.946297152728035940e+01 5.459417601542025977e+01 6.699897013582120309e+00 -5.595864377822666569e+01 -2.559099030232454197e+01 -9.798905888143819539e+03
1.702532173544383056e+02 1.087349869596585421e+02 6.635479367349029189e+01 6.173828385165016641e+00 -8.413069929048542406e+01 -3.965566615299555053e+01 -1.448108860865975294e+04
2.022484642911377364e+02 1.291692719176359958e+02 7.882467848393272902e+01 5.675715638383953987e+00 -1.198037394864768714e+02 -5.747667722935850776e+01 -2.044023025295275147e+04
1.677344689393116255e+02 1.071263473090885583e+02 6.537313215778911513e+01 6.215278340917443245e+00 -8.157666409979678690e+01 -3.838005485560618268e+01 -1.405543563406739486e+04
5.871098316325632993e+01 3.749672451331790768e+01 2.288212366674595799e+01 8.593498115133352044e+00 -5.850864489530355428e+00 -4.608067113139737714e-01 -1.711499370889029478e+03
1.869366193762758144e+02 1.193901130681458511e+02 7.285701263964517693e+01 5.908192775344945247e+00 -1.019835609815459918e+02 -4.857376158962060231e+01 -1.746065943080625584e+04
5.094775357963737150e+01 3.253861164674988515e+01 1.985646867316916087e+01 8.822746757736153356e+00 -2.952908459452889822e+00 1.050705725753374065e+00 -1.285846396296671855e+03
1.979945186356284239e+02 1.264524203211346105e+02 7.716673808987880534e+01 5.739378149585024680e+00 -1.147148576743856410e+02 -5.493426057720202493e+01 -1.958892430376804987e+04
1.370054255470236342e+02 8.750074384347443868e+01 5.339673978316450587e+01 6.757611747461517382e+00 -5.338609402524796366e+01 -2.430749833469616661e+01 -9.373252913551465099e+03
1.460287796185230889e+02 9.326365571405763433e+01 5.691351795018564985e+01 6.590519200427840119e+00 -6.109650759607889370e+01 -2.815484479219236036e+01 -1.065021183732853751e+04
9.249224421055235723e+01 5.907167643808280388e+01 3.604809281349704975e+01 7.706824927082499777e+00 -2.217017460853218935e+01 -8.728617903478930629e+00 -4.265417218443173624e+03
1.204738846530544265e+02 7.694260631479211554e+01 4.695370744480619152e+01 7.084131149014769591e+00 -4.047587752421708984e+01 -1.786839213978257845e+01 -7.244988040589677439e+03
1.273442923014883235e+02 8.133050392793828109e+01 4.963139241927292744e+01 6.945019742381713712e+00 -4.565084517604835668e+01 -2.044914935974836112e+01 -8.096293989774394504e+03
1.545261218190287877e+02 9.869062154601732573e+01 6.022528730907993832e+01 6.439471331813322763e+00 -6.878814177103727445e+01 -3.199418296336081013e+01 -1.192717076110560811e+04
1.489151114765049613e+02 9.510705851029106839e+01 5.803844209485477990e+01 6.538560480398549757e+00 -6.366223482889427743e+01 -2.943540507599399447e+01 -1.107586481192089559e+04
1.338625439775306347e+02 8.549349140040826001e+01 5.217182749472435432e+01 6.817569594636042396e+00 -5.081080921522101335e+01 -2.302280066705072770e+01 -8.947599938959107021e+03
1.093619633869258791e+02 6.984579702834052739e+01 4.262292736095593426e+01 7.320224191670702929e+00 -3.267623962328115539e+01 -1.397814826286136025e+01 -5.968029116812604116e+03
1.053979747749386462e+02 6.731413121473448768e+01 4.107799534404787067e+01 7.407934571461711748e+00 -3.006349453268028427e+01 -1.267424784468925303e+01 -5.542376142220246038e+03
8.776963763124319939e+01 5.605550691837419919e+01 3.420749567212996567e+01 7.821440238930229327e+00 -1.951444022777789300e+01 -7.397158803564156671e+00 -3.839764243850816001e+03
1.599404083488558399e+02 1.021485437184422977e+02 6.233546103242230174e+01 6.346112367113190267e+00 -7.390759278650463671e+01 -3.455024219468581492e+01 -1.277847671029032244e+04
1.775952585715388921e+02 1.134241010240154424e+02 6.921629395920146521e+01 6.055117870883831799e+00 -9.178689283192098003e+01 -4.347992584438861030e+01 -1.575804753243682535e+04
1.823257737278555908e+02 1.164453214850874048e+02 7.105997340352728031e+01 5.980175902562234747e+00 -9.688670972613908816e+01 -4.602751872825094637e+01 -1.660935348162154332e+04
6.461868712478484156e+00 4.126977575546279198e+00 2.518460278310355349e+00 1.097248090930119879e+01 9.339069898719252194e+00 9.423932458943289348e+00 -8.887472519599507237e+00
1.958328967782723851e+02 1.250718653564551488e+02 7.632426371803559562e+01 5.771986382557528827e+00 -1.121696965094598397e+02 -5.366269240330665014e+01 -1.916327132917568815e+04
7.746545934511917153e+01 4.947457582654550379e+01 3.019152678311211702e+01 8.081606912957195021e+00 -1.414740095598063796e+01 -4.695077907241484105e+00 -2.988458294666101210e+03
1.891999091252829714e+02 1.208355998857716713e+02 7.373911123755917174e+01 5.873218899814706795e+00 -1.045309843445030538e+02 -4.984641764397456853e+01 -1.788631240539861392e+04
1.012789570319219195e+02 6.468345352456718445e+01 3.947264199612070001e+01 7.501087744922611655e+00 -2.744258921037249266e+01 -1.136548734089255497e+01 -5.116723167627887960e+03
1.131872121090895718e+02 7.228885435427642392e+01 4.411378664486912271e+01 7.237348388800323384e+00 -3.528196427522030376e+01 -1.527804784254221815e+01 -6.393682091404962193e+03
1.306440765245466764e+02 8.343796480321194053e+01 5.091745622875880173e+01 6.879965671136254457e+00 -4.823250296698466144e+01 -2.173674542954063327e+01 -8.521946964366748944e+03
1.517465530918070158e+02 9.691540476007708094e+01 5.914197321809205476e+01 6.488249175013782732e+00 -6.622606190852991404e+01 -3.071516210016865145e+01 -1.150151778651325003e+04
1.572565683003862489e+02 1.004344656105107561e+02 6.128945640803915751e+01 6.392123675005203509e+00 -7.134861115831628808e+01 -3.327252598221924274e+01 -1.235282373569796619e+04
7.176065385965765131e+01 4.583110899691335760e+01 2.796812568199144522e+01 8.231806372160837881e+00 -1.142515833322269891e+01 -3.315890283183660969e+00 -2.562805320073744042e+03
1.914364426179092789e+02 1.222639983849863938e+02 7.461078180421937134e+01 5.838879604108009325e+00 -1.070777915350467993e+02 -5.111878280931786378e+01 -1.831196537999097927e+04
1.799760590086261516e+02 1.149446379542591359e+02 7.014419138302399404e+01 6.017257251373073323e+00 -9.433719576981654598e+01 -4.475389989812719449e+01 -1.618370050702918525e+04
2.988413787349442075e+01 1.908599081102970629e+01 1.164709738540612349e+01 9.533931867737862831e+00 3.476346560414147024e+00 4.568305680432867888e+00 -4.345404471119571213e+02
1.936471469229143452e+02 1.236759006533350345e+02 7.547238565706359736e+01 5.805144791086467748e+00 -1.096240179707221927e+02 -5.239087029899308590e+01 -1.873761835458333371e+04
1.751821050162003530e+02 1.118829012484767844e+02 6.827578717316177404e+01 6.093801258183508374e+00 -8.923574820931781915e+01 -4.220557688396162632e+01 -1.533239455784446909e+04
8.277803658419922783e+01 5.286753970581806783e+01 3.226206014542597700e+01 7.945720143237136490e+00 -1.684167191177206391e+01 -6.053820837871223937e+00 -3.414111269258458378e+03
1.625799500922037737e+02 1.038343299931586614e+02 6.336420075607635027e+01 6.301351943235363962e+00 -7.646519716277120438e+01 -3.582737656266237991e+01 -1.320412968488268234e+04
