# SNRtot, SNR220, SNR221, evidence220_221, evidence220, evidence221, nofilter
1.119703856601376657e+02 8.890275318516249570e+01 2.536021875345451448e+01 6.192598741166286835e+00 -6.457935259176554865e+00 -9.287874726139344617e+00 -6.256517340664462608e+03
1.001244325428223334e+02 8.193338813315533287e+01 2.061252600372477417e+01 7.024957050551222437e+00 -1.809672440752008171e+01 -3.579076793674686741e+01 -5.000284704235571553e+03
6.960520860710738056e+00 5.283307709359610804e+00 1.843589311825607480e+00 1.018212242793338795e+01 9.071079766680963274e+00 7.413979138948750602e+00 -1.205813355067634696e+01
1.130846521075333015e+02 8.907071587961684145e+01 2.637428646649954800e+01 6.024072930342745380e+00 -7.024623126970115372e+00 -8.926025955386904798e+00 -6.381902979365399005e+03
2.957979118730060364e+01 2.356888785851995394e+01 6.613672240675953162e+00 8.986147686618178199e+00 6.240878628091387270e+00 4.053165131699699053e+00 -4.253157315666348381e+02
1.148866465650028204e+02 9.044985361924675260e+01 2.683791154399469292e+01 5.981435490395663912e+00 -7.445723864781848889e+00 -9.358816811512365774e+00 -6.587304487700419486e+03
1.205931594253513595e+02 8.980462190054875293e+01 3.386814862627017675e+01 4.758056908719627387e+00 -1.489279219749687222e+01 -1.609343181407317402e+01 -7.259188758318587134e+03
5.287607781339384161e+01 4.272952531621407957e+01 1.125019866310594274e+01 8.203077564267927002e+00 2.770509129734558762e+00 -4.487052416136450006e-01 -1.385773510688521810e+03
8.118556971352317930e+01 6.687732434838191864e+01 1.676566237810860827e+01 7.303785392280323308e+00 -2.609176014928415555e+01 -4.426593372678752303e+01 -3.283382073079147176e+03
6.302454906606463680e+01 4.952389617657095755e+01 1.482565912113699902e+01 7.330368529398212374e+00 1.938063667447347260e+00 -3.990827881279690459e-01 -1.973880600714875982e+03
8.379432480577857234e+01 6.549251136631387737e+01 2.009553884287915082e+01 6.571931557672012758e+00 -1.597259153188040237e+00 -4.228792407796703401e+00 -3.498578143052640371e+03
8.433068746214142664e+01 6.818628326026923503e+01 1.791004565182735675e+01 7.180269772509519477e+00 -2.397227659718738302e+00 -7.187466326165631969e+00 -3.543666132143170216e+03
