# SNRtot, SNR220, SNR221, evidence220_221, evidence220, evidence221, nofilter
5.820515315828639302e+01 3.584449108402264272e+01 2.439492463789087395e+01 8.353235716474303629e+00 -1.278578922153653963e+01 -2.993329522277548449e+00 -1.681929525980733843e+03
1.112998372369552058e+01 6.908737248394018593e+00 4.616300365448336329e+00 1.051936932424926141e+01 7.699049600650832659e+00 7.837785666875520363e+00 -4.994786773580894135e+01
2.769643522344831155e+01 1.722603922202307913e+01 1.145709944256054236e+01 9.695792314796568334e+00 2.582845888046475302e+00 3.203964670722680097e+00 -3.715558609342795080e+02
4.627765417256602731e+00 2.866950329944255138e+00 1.924461930862161996e+00 1.129463923813835713e+01 9.823171117770881366e+00 1.046868637356750575e+01 1.282294730476573719e+00
1.556178415386570535e+01 9.650540397898950573e+00 6.462612232251692568e+00 1.018987209507769798e+01 6.340066197047901753e+00 6.809343425315169895e+00 -1.090941619166982264e+02
5.155811707393003651e+00 3.152410541657660215e+00 2.180931018520195330e+00 1.087168400230899223e+01 9.159293042831629705e+00 9.877918229059028832e+00 -1.300796071990717451e+00
1.824350722531512758e+00 1.114403667196553815e+00 7.726372780487928971e-01 1.173874972592274091e+01 1.116950244532145398e+01 1.156349534621028674e+01 1.032627332965403788e+01
1.375139798991244078e+01 8.504830009130435187e+00 5.731268246998033611e+00 1.020868953583823036e+01 6.757619887835145001e+00 7.127067548738822644e+00 -8.256007222942929502e+01
2.267276945977134872e+01 1.411167241978458975e+01 9.369901346504002859e+00 9.891526564675080735e+00 4.334315847980841241e+00 3.279679534179892553e+00 -2.450368363789155239e+02
2.014409505840792036e+01 1.252115060908674593e+01 8.339778507115616080e+00 1.000231838024675568e+01 5.062860127348153050e+00 5.504317606165221477e+00 -1.909018817520325513e+02
1.247530605908370482e+01 7.709428793475857411e+00 5.204911804982359946e+00 1.027279562637621702e+01 7.104207854731832583e+00 7.411307125781730676e+00 -6.582622952485064616e+01
3.769434599574263700e+01 2.341256306675780507e+01 1.562128267363393697e+01 9.308448639896859333e+00 -1.428895568327702037e+00 2.348103313800172565e+00 -6.984414589143246985e+02
1.245679696421174043e+02 7.622856359698900519e+01 5.263634951862440658e+01 6.372947992458154687e+00 -7.564583344661076580e+01 -3.026565676013478168e+01 -7.746599129270687627e+03
9.639039234357596797e+00 5.957690301530178090e+00 4.020680666877970211e+00 1.053283643817401760e+01 7.967590346053992079e+00 8.240365036506315022e+00 -3.446513757168788317e+01
