# SNRtot, SNR220, SNR221, evidence220_221, evidence220, evidence221, nofilter
1.359654353360273262e+02 1.325554434005887572e+02 3.952800023562505594e+00 5.529340253384048331e+00 3.633281659016911469e+00 -5.911716334778554938e+02 -9.231309401948659797e+03
1.616878404252470887e+02 1.369254136059532243e+02 2.807418356170816764e+01 5.570580580659742154e+00 -1.377233040232905736e+01 -1.836543897935367795e+02 -1.305948846958103059e+04
1.137688964578800110e+01 1.061115323901966789e+01 8.769619708018054904e-01 9.685237112403168425e+00 8.405462552841992618e+00 6.495014244805205728e+00 -5.272640789716444232e+01
1.154718439286605332e+02 1.046260963930183863e+02 1.242257454372137282e+01 6.082156732964337564e+00 6.974243419320655946e-01 -2.724137823724539658e+02 -6.654882969033413247e+03
1.613534791875628969e+02 1.572239546038965159e+02 4.754468498173896940e+00 4.453608882182930273e+00 2.521721805238009928e+00 -4.055651044301877839e-01 -1.300548222185658960e+04
1.647179484164312839e+02 1.088097323819931717e+02 6.131083112326237483e+01 5.154108402697788804e+00 -8.510764258515020231e+01 -4.968818864137911362e+01 -1.355401086415000464e+04
6.930115415755335562e+01 6.836348794442531585e+01 1.085028889936630936e+00 6.525107671057342351e+00 4.945700321403728061e+00 2.368053308301477422e+00 -2.389334582675432557e+03
1.518189779008108076e+02 1.205537477449107513e+02 3.505134982302931945e+01 5.421245857097571452e+00 -2.017709810876758780e+01 -2.246492670199376462e+01 -1.151251062431438368e+04
1.175920014267884852e+02 7.610100753804701412e+01 4.540543383600135741e+01 6.321164137216167767e+00 -4.804416134792415960e+01 -2.460834977598502249e+01 -6.901948998669858156e+03
1.442914956963565203e+02 1.254926412114961067e+02 2.139900233874528013e+01 5.753981576218208716e+00 -6.592340815026752843e+00 -3.049030976727171947e+02 -1.039802746403678248e+04
2.319749429785370012e+02 2.249269211214318034e+02 8.142354402253136669e+00 4.189252009114304620e+00 9.305222894574758374e-01 -2.094054228239155435e+00 -2.689419668383869430e+04
1.474486750953187766e+02 1.167995006343654438e+02 3.443711633640909042e+01 5.979483835540551517e+00 -1.951170976944116120e+01 -7.670594939926131417e+01 -1.085856549257338338e+04
1.600367276799202898e+02 1.525122213240703957e+02 8.675296751206602153e+00 5.090002290208400559e+00 1.588800706750753911e+00 2.708600751846637067e-01 -1.279388670213942896e+04
1.437949959382861778e+02 1.199721550522261708e+02 2.681540983169495007e+01 4.913586650790203514e+00 -1.113443627644557132e+01 -1.463487015423916837e+01 -1.032651002733681526e+04
1.990963781887148230e+02 1.736176815083896656e+02 2.894958930077308068e+01 4.697571973499860221e+00 -1.621218527696142431e+01 -1.752343261854194978e+01 -1.980769350282282539e+04
2.225646792693086695e+02 2.016027292443448005e+02 2.401346701597461220e+01 4.783146858745459085e+00 -1.132412841003832682e+01 -1.375894981697734465e+03 -2.475552782801606372e+04
1.827234758124295979e+02 1.605347657814769775e+02 2.525619692487144263e+01 4.983173290818285750e+00 -1.160572232270460447e+01 -1.320387868182077895e+01 -1.668194390537871732e+04
1.759270369519227586e+02 1.652338613809449441e+02 1.232046770097936061e+01 5.150956392910032378e+00 -3.844036585390528948e-01 -1.026686979990269037e+03 -1.546317076423254548e+04
7.892653236484981960e+01 7.248130275844522430e+01 7.398538827585620758e+00 6.824507099316838854e+00 3.932633148145499469e+00 -1.592923870029394493e+02 -3.102708354460788087e+03
