# SNRtot, SNR220, SNR221, evidence220_221, evidence220, evidence221, nofilter
8.380980824752185754e+00 7.379581842202838082e+00 1.194362731766760000e+00 1.044650488136841204e+01 9.232261373774802493e+00 6.550396461798827730e+00 -2.313001868337725142e+01
4.025881563176251348e+02 2.869553283141348174e+02 1.433568854601414273e+02 3.791393592752534403e+00 -2.585617337556969915e+02 -7.233802301764524145e+02 -8.102662140250322409e+04
2.023700610222985574e+01 1.668653717246612445e+01 8.518413822619020692e+00 8.338542165475619328e+00 5.616142471433883898e+00 3.542495402447358721e+00 -1.927778068817895303e+02
1.844583319273013089e+01 1.790551249174976789e+01 2.553242961861760030e+00 8.961899343780727278e+00 7.391092739344134799e+00 5.121213845172107426e+00 -1.581339799779576651e+02
3.162834252598580420e+01 3.115984110332113843e+01 8.368195618235644284e-01 8.408659226136620646e+00 6.826271768224385639e+00 4.505636860626387907e+00 -4.881856243614863615e+02
2.168901435641465625e+01 2.334155869530825100e+01 2.689430691265909168e+00 7.845004020140715184e+00 6.166184488628947413e+00 3.855449008399682853e+00 -2.232162707673258524e+02
4.604691504582242523e+00 4.190413834413189598e+00 4.642812070350151865e-01 1.102289490230575275e+01 1.014762877860393431e+01 9.713702625293381132e+00 1.388809182868724790e+00
1.136079009592929800e+01 1.009330743053612878e+01 2.073200234973657796e+00 9.959632074948373770e+00 8.500428152866501108e+00 6.571454214704482766e+00 -5.254337469282794615e+01
1.426090994574960114e+01 1.610296919231288371e+01 3.292025986763277512e+00 9.119812827047139692e+00 7.623074475474055589e+00 5.335743606558182250e+00 -8.969637513133528728e+01
7.778189211039133077e+00 7.573976362077008417e+00 4.586858286987181565e-01 1.009015391626651237e+01 8.960228445622638205e+00 7.290892858959549194e+00 -1.825971259230811938e+01
1.502453968480041055e+02 1.721760096211097846e+02 2.546678868463846257e+01 4.925866374000579029e+00 -1.628991521055509750e+01 -1.025947701014139284e+03 -1.127484923589806567e+04
2.238999423521415508e+02 2.205182644419610369e+02 3.945501248834768493e+00 4.225452472547954308e+00 2.317848087793751954e+00 -5.331373489402746912e+00 -2.505360169153710012e+04
2.540811717601086706e+00 2.311213604113691922e+00 2.643992986789509003e-01 1.155540288367071433e+01 1.102741205290572246e+01 1.115762231918788139e+01 8.762539016905172673e+00
1.240388575737638632e+01 9.698639166218676166e+00 3.434794140505072590e+00 9.619233376462750229e+00 7.761171327479715387e+00 6.521412425387599576e+00 -6.493778983196773424e+01
4.262617497431890001e+01 2.747127881987074005e+01 1.671302938107269753e+01 9.133569107314118085e+00 -1.739396088047795885e+00 -9.000919927223218764e+00 -8.965049953615708773e+02
1.254034908769050816e+02 1.935134186890236947e+02 1.074834350926148829e+02 3.455621018811052103e+00 -4.812355409155908887e+02 -4.895800690655379412e+02 -7.851027360947953639e+03
