# SNRtot, SNR220, SNR221, evidence220_221, evidence220, evidence221, nofilter
4.021795283740003057e+00 2.554668377626261311e+00 1.606148775173917853e+00 1.082662204380753757e+01 9.956300868805989523e+00 9.558621804765675023e+00 3.902982456898000052e+00
4.614605246604724584e+02 2.867437057084450771e+02 1.911132730041013872e+02 4.017170641704066014e+00 -9.619336980775897246e+02 -4.718962877415312960e+02 -1.064609175088502088e+05
3.098597440925039415e+00 1.894009620098072499e+00 1.312482282274071821e+00 1.164464799683313245e+01 1.044820218438375115e+01 1.129095119808938641e+01 7.189748058601063363e+00
6.181824966508308989e+02 3.844581699498649527e+02 2.556823222363091190e+02 2.943744031249148740e+00 -1.536497048795306910e+03 -8.532626568533995624e+02 -1.910628091816182714e+05
1.528477668043102256e+01 9.268932719806763032e+00 6.537367338873831812e+00 9.896737159507143389e+00 4.365471405857682008e+00 6.958769856160910372e+00 -1.048217979762693375e+02
1.710419594511245922e+00 1.048741422992153671e+00 7.201184128435187404e-01 1.165458108881938593e+01 1.115917791171932372e+01 1.148172944737927992e+01 1.052763351441065609e+01
1.626095893411314535e+02 9.984164541170414964e+01 6.846285965109349547e+01 6.563190651671019893e+00 -2.268398989689831922e+02 -5.367754524997116050e+01 -1.320894887173665120e+04
4.904793367406657580e+02 2.984360171872021397e+02 2.089247050875921445e+02 -4.279139365841332143e+00 -2.652986304993396971e+03 -4.929772158314719945e+02 -1.202729994836726401e+05
3.520288593933010191e+01 2.205003436031531905e+01 1.440284163715494437e+01 9.057389821428264653e+00 3.580855206538826607e+00 -5.666952619746190578e-01 -6.076311881196878630e+02
1.635676698871394308e+01 1.020484957905209633e+01 6.720998907954134793e+00 9.296486331724903351e+00 7.230380529546913237e+00 5.313775542357415560e+00 -1.217815120524864199e+02
2.819227173256865981e+01 1.746705675650779455e+01 1.173270811840409777e+01 9.830934901540961945e+00 -1.113045794200706595e+00 -2.297379129465157988e-01 -3.854116916124402223e+02
1.973438087094542270e+00 1.196377010877278657e+00 8.439468992729306507e-01 1.165177309048072374e+01 1.097779900746894199e+01 1.145047055222342891e+01 1.004317216725698181e+01
5.137015930222432303e+00 3.118502750395117484e+00 2.195369154547326840e+00 1.133384902345423484e+01 9.058876915005367181e+00 1.060932897342865644e+01 -1.204065224624855546e+00
6.132035068806986011e+00 3.806494764959507116e+00 2.541839677800983743e+00 1.094613544006576333e+01 9.255064059278961253e+00 9.522305510160649078e+00 -6.810525933484685268e+00
5.555400646196296144e+00 3.494046335371993273e+00 2.257296393623392738e+00 1.086338336195699306e+01 9.714718401501807321e+00 9.215082822964330234e+00 -3.440837060824447846e+00
4.305188193115724715e+01 2.596277111431181694e+01 1.854457201820406098e+01 8.846007318572130629e+00 -2.531769240364014806e+01 1.911899465048042757e+00 -9.147418677980973598e+02
8.026319783480094827e+01 4.895227133256215524e+01 3.404522342462573903e+01 6.941095086953948723e+00 -1.834249678458065702e+01 -1.035664378281862597e+01 -3.209100062225143120e+03
1.732257479098321085e+02 1.059559106329598990e+02 7.333530573546913445e+01 6.758418042750639287e+00 -4.568995606330056489e+02 -5.913310240630849535e+01 -1.499158946835129609e+04
9.293582536987801745e+01 5.667006663412026768e+01 3.949951196482261651e+01 8.023178695733918175e+00 -1.428543108797273931e+02 -1.327357567664662064e+01 -4.306543417481176220e+03
3.650237380516068608e+00 2.248461861164996467e+00 1.530578749831733809e+00 1.153746103824635227e+01 1.026440967349917521e+01 1.106976177568502173e+01 5.328284641996258841e+00
5.968150875622270632e+02 3.688927563371115070e+02 2.492328617035100820e+02 4.096044450044176166e+00 -4.071060454019782355e+03 -2.462599650705272779e+03 -1.780821339698453667e+05
3.248072179576103835e+00 2.009038151840499165e+00 1.351310047648252466e+00 1.118288501902986987e+01 1.010430981100687298e+01 1.059768267232135663e+01 6.715414667186533570e+00
4.028785731129481462e+01 2.520857144097688263e+01 1.649172442270735672e+01 8.260938188297052065e+00 2.861736381962218800e+00 6.307027851298032672e-01 -7.995653222585708590e+02
4.179454368530584674e+01 2.608032473252615091e+01 1.716711943603345247e+01 7.854832610408110760e+00 2.271859556367761268e+00 -4.139140429262200271e-02 -8.614015398224147475e+02
3.688816727773362345e+02 2.229881459524429772e+02 1.584050426457274057e+02 -4.930316858785824152e+00 -1.670165039346087951e+03 -2.697032392353767705e+02 -6.802485385439383390e+04
1.618440108851689319e+00 9.899823275145518409e-01 6.837867258786693991e-01 1.171917845508083644e+01 1.126096586587185122e+01 1.156847494795487385e+01 1.068072691608472979e+01
7.830943855295047662e+00 4.802282527618010555e+00 3.300287892881152541e+00 1.052872029202325521e+01 8.260487242412118292e+00 8.756966617033711486e+00 -1.867143972333696667e+01
9.491025709509079533e+00 5.983879143020649494e+00 3.833412494995355413e+00 9.301898685242782960e+00 8.078147999294669646e+00 5.958097315840818808e+00 -3.304938340022649612e+01
4.541510147015113716e+02 2.757272923319945903e+02 1.940486920580509889e+02 -1.348498213623779307e+00 -3.353395731320787490e+03 -4.153746006975356408e+02 -1.031145816760971356e+05
9.986051800830216507e+01 6.153968690274690090e+01 4.187747904796565734e+01 8.304910614662169621e+00 -1.431541427604635999e+02 -5.732855653137916363e+01 -4.974071127334165794e+03
3.293341200357564844e+02 2.024613978444383804e+02 1.385059825145345656e+02 5.258169418564895281e+00 -1.348013775065394839e+03 -2.280313949003640062e+02 -5.421849090875397087e+04
7.667662363367291789e+00 4.746349880585721159e+00 3.185218514990443506e+00 9.963706088920192272e+00 8.580928813452301185e+00 7.618689393315444036e+00 -1.740612195024498021e+01
4.876399195025607014e+02 3.026869536911967202e+02 2.020867045839777347e+02 2.433991566112135629e+00 -6.348460969195779171e+02 -5.292192788739009757e+02 -1.188843551451228850e+05
6.906830605747299678e+00 4.250823375583818731e+00 2.893299138616289845e+00 1.020228915404385006e+01 8.676765408151695169e+00 8.326321741597379145e+00 -1.186175339918914240e+01
5.440014729233533899e+02 3.369184568893830942e+02 2.259817966095418740e+02 -8.433694351034501935e-01 -6.538024095172395391e+02 -6.584758262133221933e+02 -1.479568108702799655e+05
4.247819813660580621e+02 2.621127926656519662e+02 1.772634326638278424e+02 -1.827234569940300979e+00 -3.933462035589676589e+02 -3.941242021638996107e+02 -9.020787544552799955e+04
3.929570026095491553e+00 2.453143032057764739e+00 1.616246563471026576e+00 1.132551791529091467e+01 1.031976950022171913e+01 1.061048941412810542e+01 4.269640814060603695e+00
3.809310759102839228e+01 2.347789248268921725e+01 1.597444596549818030e+01 9.597973153057715479e+00 -1.833262018737837451e+01 -1.200230591467603958e+01 -7.135520218617776891e+02
5.295510275063883654e+01 3.233222207028384076e+01 2.242915608420378604e+01 7.828010033679557722e+00 -4.474497199300889072e+00 -1.970450817536191668e+00 -1.390131052556303757e+03
5.428329067083836890e+00 3.317257989452587541e+00 2.297577826581636007e+00 1.076396805752328589e+01 9.028599626908700770e+00 9.676738254237683634e+00 -2.742977121218975967e+00
9.945962823661844254e+00 6.138836519209173836e+00 4.161204608596099419e+00 1.077536669628578458e+01 7.375669208108341479e+00 8.458502795311442668e+00 -3.747068713577707655e+01
1.669900526819136033e+01 1.017904815661046669e+01 7.088914333107345200e+00 9.411810681948690416e+00 5.786752122360001138e+00 5.861834033319716752e+00 -1.274379873644867587e+02
4.391513688269807147e+00 2.712723808981808649e+00 1.835454149431809956e+00 1.129740137076828788e+01 1.001954893201571117e+01 1.064263558140684829e+01 2.347704871924120695e+00
2.063795444365034371e+02 1.260281120812708622e+02 8.754719442150918951e+01 6.092462647417120181e+00 -6.367795198084928643e+02 -8.529001919162058698e+01 -2.128426777980029146e+04
1.989761855414457603e+00 1.250293468831398247e+00 8.072559548161052367e-01 1.132162370067256774e+01 1.079903040768783207e+01 1.103061872596377846e+01 1.001082498842347235e+01
1.582794106478483513e+02 9.776868794897042392e+01 6.607229551201113793e+01 6.364312808694559287e+00 -1.151274171117321572e+02 -5.243729098802852207e+01 -1.251419551640604914e+04
4.167143910357174796e+00 2.595173898133686041e+00 1.716607071226292636e+00 1.088462005160837265e+01 9.743699989530645311e+00 9.897938176046192638e+00 3.307856924241223240e+00
4.070183192936071670e+00 2.523350800874610389e+00 1.689209949781250941e+00 1.119594216145409860e+01 9.904359926188135432e+00 1.039978015818382850e+01 3.707205497025027441e+00
6.343757105353373227e+00 3.911447187165606021e+00 2.656300760184377108e+00 1.110463651616764125e+01 8.980313346694968502e+00 9.891998555067905485e+00 -8.131225996806039191e+00
2.889584254014361253e+00 1.804945198772883286e+00 1.186585327870498752e+00 1.154452611573104903e+01 1.071891373565531325e+01 1.111566807996520545e+01 7.815552528530798071e+00
1.207167675233760917e+01 7.431865511170632210e+00 5.067271546765542034e+00 1.065890887718373570e+01 6.226942595935152980e+00 8.206629699860773286e+00 -6.087228869740948056e+01
1.407684313661501676e+02 8.459399287636058773e+01 6.089760162407829824e+01 5.595159733466398500e+00 -3.826365914212544226e+02 -3.446146657187766493e+01 -9.895885233534210784e+03
4.523078871373047605e+01 2.754169223123090404e+01 1.924791587085486455e+01 8.841670324524820046e+00 -1.770566126078136193e+01 1.018021623279992127e+00 -1.010921722724009442e+03
8.285277649857677318e+01 5.127985386939680268e+01 3.450891052799187975e+01 8.136314369279746828e+00 -3.931408996272065082e+01 -1.100797449231407654e+01 -3.420300885652502984e+03
2.607560204669692627e+00 1.621120264195859972e+00 1.076151176464259951e+00 1.125315068122129603e+01 1.042308357163608434e+01 1.081581598717093229e+01 8.590715998566139433e+00
5.710775502410105453e+00 3.489372753567142826e+00 2.421278869433467040e+00 1.133313639102999737e+01 8.954626036633326791e+00 1.055584217397601421e+01 -4.316077310409029977e+00
5.471523984041650124e+01 3.341444001257880814e+01 2.319064844292602601e+01 8.451209949696202983e+00 -1.923473386350315550e+01 -1.667919857345258272e+00 -1.484888334288096075e+03
1.157009169727538449e+02 6.980090542390956898e+01 4.981135540771698089e+01 6.524646173513545477e+00 -1.901385792602958134e+02 -2.286046164498525712e+01 -6.681360693058984907e+03
1.607195282660036995e+01 1.010882395917838394e+01 6.507649862910944272e+00 7.562632226371505340e+00 5.741445746410470008e+00 3.455787489256508138e+00 -1.171634327211791344e+02
