# SNRtot, SNR220, SNR221, evidence220_221, evidence220, evidence221, nofilter
6.238712311025400226e+01 4.382681911668288421e+01 2.047305815466162215e+01 7.950263919667276191e+00 -5.022857820931272421e+00 -3.524736790780419238e+00 -1.933910273211476124e+03
1.349119194952713201e+02 9.493638437613084591e+01 4.584684673654751919e+01 5.635664212703892062e+00 -4.438198283217560913e+01 -3.608557510615644759e+01 -9.088446719173765814e+03
6.501333017763252542e+01 1.223152363896891757e+02 8.395652434552496857e+01 5.022843571535291041e+00 -4.161731449870981123e+02 -9.348593116643555732e+02 -2.101200258617413965e+03
8.222555176774733354e+01 6.650084134820015436e+01 3.541113999320348427e+01 6.553930453466029427e+00 -1.660590825966606232e+01 -1.875240660920133706e+01 -3.368354389979729604e+03
8.426755236749566791e+01 5.237935786011451000e+01 3.505899033675673593e+01 8.036929125099099736e+00 -2.389196484275641197e+01 -9.038618764311962650e+00 -3.538343899228793816e+03
1.100124194186096105e+02 7.857529798729301262e+01 4.399457729332772260e+01 6.583822698545629848e+00 -2.120541996094184967e+01 -2.245223513458048359e+01 -6.039199921392518263e+03
5.541470208123487140e+01 1.017310989163632939e+02 6.724736981460182506e+01 5.400206115542934171e+00 -2.296535492085029091e+02 -2.940460134230029894e+02 -1.523228311600489860e+03
8.988119277057280954e+01 1.164963974558399968e+02 8.769729847787151300e+01 4.995733494956395404e+00 -2.530391294351406088e+02 -5.368800740983786000e+02 -4.027148115154916923e+03
7.607137423459302283e+01 1.165585296392973902e+02 5.261662194241829837e+01 5.038366006184548773e+00 -1.144010397399831049e+02 -4.036850085818757066e+02 -2.881260697194233217e+03
9.844695993641174425e+01 1.220763121130608653e+02 6.955319984949051104e+01 5.092378846686187899e+00 -9.847474339738565163e+01 -3.299287394739090473e+02 -4.833735668585210988e+03
8.354317334768155945e+01 1.110112486825431972e+02 5.074952074016925252e+01 4.989896516321652875e+00 -1.078352893939023147e+02 -1.904914785177604415e+02 -3.477564614724866260e+03
8.935629149332807231e+01 5.608119752377117351e+01 3.800369685804795239e+01 7.753596253745640432e+00 -2.463868607344047845e+01 -1.215479519218854776e+01 -3.980107122944788898e+03
2.459346704023462848e+01 3.610580686766589054e+01 1.859358743804965997e+01 7.242373762667727810e+00 -7.682934159799089002e+00 -2.161530564944118282e+01 -2.902530187540351676e+02
1.307291032597232174e+02 9.725147272908994012e+01 7.639023756756574812e+01 5.627567067308681281e+00 -9.445083891178666136e+01 -9.691473679497353544e+01 -8.532882927770169772e+03
4.147155248496166990e+01 4.535945616982323259e+01 3.409320006602832365e+01 6.788922544034253548e+00 -3.771898639250802887e+01 -7.832780377128959515e+01 -8.477785409809470138e+02
1.044200552683185350e+02 1.116755769337363802e+02 8.548530332070619409e+01 4.969416675729310562e+00 -2.557834311848757807e+02 -4.675602465442722746e+02 -5.439607679343829659e+03
1.297759796256519849e+02 9.319225528925707636e+01 6.510971704027561202e+01 5.831467285010927704e+00 -1.006305396377925661e+02 -9.280507068564534734e+01 -8.408736152123301508e+03
7.242490800748110757e+01 1.228408168927063144e+02 8.728104129553604196e+01 4.966322859544349377e+00 -3.802904305674833267e+02 -8.680467916661540357e+02 -2.610517358170532134e+03
6.388286632366065021e+01 4.466629024478526588e+01 2.097258382500157126e+01 7.957250339154190222e+00 -3.732892097994074732e+00 -2.412807153716697073e+00 -2.028344013087829580e+03
7.318952766138170318e+01 1.054623925395175803e+02 7.837256407642603051e+01 5.191651903117518785e+00 -2.559026984911702129e+02 -5.420172885636090996e+02 -2.666187187872560571e+03
6.956934683808415798e+01 7.376912639670817384e+01 5.652732570761550335e+01 5.993913296083563047e+00 -7.741702059796341473e+01 -7.953193494112286999e+01 -2.407780717963306415e+03
8.768510166498849401e+01 7.725612232848631322e+01 5.329218781164548346e+01 5.945537585142958825e+00 -5.558469784898380084e+01 -5.780924036934903398e+01 -3.832172235224165888e+03
6.680537259555619300e+01 7.558852790308240799e+01 3.586268948305739457e+01 5.866599851609893612e+00 -3.678100936674521648e+01 -4.510516859022018110e+01 -2.219312612040026579e+03
