# chi, slope
4.224489795918367485e-01 1.942543995752974567e-02
4.408163265306123124e-01 1.905106605835753947e-02
7.346938775510204744e-02 8.867328232425746026e-02
3.306122448979592066e-01 2.713216415889473099e-02
5.510204081632653905e-02 9.415940355736611422e-02
2.020408163265306201e-01 5.294599743832430205e-02
2.938775510204081898e-01 3.302403689444997209e-02
7.346938775510204467e-01 1.548345941724554170e-02
8.632653061224490054e-01 1.585603778144163700e-02
6.428571428571429047e-01 1.601473579513731579e-02
9.000000000000000222e-01 1.607861941389411575e-02
5.877551020408163795e-01 1.659597228998933513e-02
3.122448979591836982e-01 2.989517099171438638e-02
1.836734693877551117e-01 5.762441349359959802e-02
3.673469387755102372e-02 9.969208895100610535e-02
9.183673469387755584e-02 8.324528592135778393e-02
3.489795918367347149e-01 2.474177164778894322e-02
4.591836734693878208e-01 1.869010659490678850e-02
4.040816326530612401e-01 2.004003232041634899e-02
6.061224489795918879e-01 1.638987187803061032e-02
6.244897959183673963e-01 1.617150221315163949e-02
8.816326530612246248e-01 1.595537356149059199e-02
8.448979591836734970e-01 1.570026534477676414e-02
7.530612244897959551e-01 1.546691544808117581e-02
6.795918367346939215e-01 1.572688531781651911e-02
5.510204081632653628e-01 1.711239297748718205e-02
7.714285714285714635e-01 1.546981430568953458e-02
7.163265306122449383e-01 1.554695295875310919e-02
8.265306122448979886e-01 1.559884406024672661e-02
2.387755102040816646e-01 4.419872750957182239e-02
1.469387755102040949e-01 6.749115829211403683e-02
2.571428571428571730e-01 4.019931765846757044e-02
1.102040816326530781e-01 7.788607499577662741e-02
1.836734693877551186e-02 1.052528007850418168e-01
5.142857142857143460e-01 1.769713254640283007e-02
3.857142857142857317e-01 2.116490359860423789e-02
4.775510204081633292e-01 1.834905071794618384e-02
6.979591836734694299e-01 1.562614098316742611e-02
8.081632653061224802e-01 1.552818247803628392e-02
7.897959183673469719e-01 1.548000784716620400e-02
5.693877551020408712e-01 1.684834853631683727e-02
6.612244897959184131e-01 1.583857801916441904e-02
4.959183673469388376e-01 1.801513855821831531e-02
3.673469387755102233e-01 2.274432551820745191e-02
5.326530612244898544e-01 1.739096408373270661e-02
0.000000000000000000e+00 1.108126657012001443e-01
1.285714285714285865e-01 7.263204584511402662e-02
1.653061224489796033e-01 6.248032943216641488e-02
2.755102040816326814e-01 3.645939699735083889e-02
2.204081632653061562e-01 4.846279827686411634e-02
