# chi, slope
3.306939635357676988e+00 1.053985792475783251e-01
5.621797380108050746e+00 8.769260742937891318e-02
6.283185307179586232e+00 1.108126657012002830e-01
0.000000000000000000e+00 1.108126657012002414e-01
2.314857744750373758e+00 8.779082326489590082e-02
2.976245671821909244e+00 1.100515280776831889e-01
2.645551708286141501e+00 9.254644806498905918e-02
1.984163781214606015e+00 9.593181611815697341e-02
3.306939635357676877e-01 9.928639329342167641e-02
5.952491343643818489e+00 1.018080125885183623e-01
5.291103416572283002e+00 9.118968878592602356e-02
3.637633598893444731e+00 9.547238320740938922e-02
6.613879270715353753e-01 9.443169510215870810e-02
1.653469817678838494e+00 1.033438679161651080e-01
3.968327562429212030e+00 9.562005126541835154e-02
4.960409453036515259e+00 1.003597438902809197e-01
4.629715489500747516e+00 1.043582321752224706e-01
4.299021525964979773e+00 1.011106127569882662e-01
1.322775854143070751e+00 1.034456784796516371e-01
9.920818906073030075e-01 9.817514156391343727e-02
