# chi, slope
0.000000000000000000e+00 1.108126657012000887e-01
4.886921905584122428e+00 1.019098530551175164e-01
6.283185307179586232e+00 1.108126657012002136e-01
5.585053606381854330e+00 8.732950663446492623e-02
4.188790204786390525e+00 9.916163492364223064e-02
6.981317007977317912e-01 9.453032685698317672e-02
1.396263401595463582e+00 1.040665722166791984e-01
3.490658503988659067e+00 9.872426141508947040e-02
2.792526803190927165e+00 1.006831561995893132e-01
2.094395102393195263e+00 9.271168006736958678e-02
