# SNRtot, SNR220, SNR221, evidence220_221, evidence220, evidence221, nofilter
5.169266731104962709e+00 3.301436291964687797e+00 2.014679268419508951e+00 1.115502313187146655e+01 9.795516529770084801e+00 1.005008717788593842e+01 -1.370258159599631043e+00
1.176445463077917175e+01 7.513560335263290924e+00 4.585099605379875598e+00 1.045606167396194763e+01 7.870642718278101135e+00 7.598087282297675493e+00 -5.721079527077608162e+01
8.078049184330012622e+02 5.159177526078664187e+02 3.148353348263765383e+02 -3.918907710859081295e+00 -1.939060846189832546e+03 -9.634347759736200487e+02 -3.262624027211648645e+05
3.011168541190376047e+01 1.923131774820078732e+01 1.173578217032052073e+01 9.525122432257845162e+00 3.416777618130172112e+00 4.533682988298098238e+00 -4.413663980636741826e+02
9.085041202625325241e+02 5.802309360409096826e+02 3.540820219921960188e+02 -6.070906869436018205e+00 -2.452829540740195625e+03 -1.219007734886179833e+03 -4.126778778658900410e+05
2.116770819866373543e+01 1.351910119945557653e+01 8.249940482116622675e+00 9.906622816395740827e+00 5.639623030786475866e+00 5.889040091237674801e+00 -2.120455340828333135e+02
4.086844614482344262e+00 2.610129798233171705e+00 1.592814135224455363e+00 1.133113153963367203e+01 1.024316739719471769e+01 1.058117540284965408e+01 3.639251657592994960e+00
1.559627121399305452e+02 9.960812332505490474e+01 6.078518659214811493e+01 6.414491121433114174e+00 -7.012990300615587103e+01 -3.266405719410220598e+01 -1.215019338791236441e+04
1.972702500850929823e+02 1.259898544288624720e+02 7.688446036860129595e+01 5.750283825380417824e+00 -1.138590247940664995e+02 -5.450668428240924612e+01 -1.944578538320850930e+04
3.549471030432376892e+02 2.266927416732832228e+02 1.383377192714364128e+02 3.575201470532279213e+00 -3.732906348206143434e+02 -1.839920294976459161e+02 -6.298173257828433998e+04
7.707230184502017778e+01 4.922347939318203913e+01 3.003829687529813697e+01 8.091814116586144578e+00 -1.395413445581019829e+01 -4.597394805750277591e+00 -2.958079454735895524e+03
8.667996713878174830e+01 5.535957113149591891e+01 3.378280554396138058e+01 7.848293652580710322e+00 -1.891923534878548807e+01 -7.098334610384392285e+00 -3.744717950481086518e+03
1.021756265281348306e+03 6.525612608543196984e+02 3.982211157055261879e+02 -8.730412204512811414e+00 -3.102635312698521375e+03 -1.542229544938680192e+03 -5.219809424197354238e+05
2.380642860197701793e+01 1.520436291199715839e+01 9.278360095235420602e+00 9.785214439078135484e+00 5.005858566230084961e+00 5.485725400888867398e+00 -2.713826202814600492e+02
4.596301763465826085e+00 2.935502894330962675e+00 1.791370876363199693e+00 1.124556017641496020e+01 1.002368672512471370e+01 1.033282638254536856e+01 1.427406158635132982e+00
