# SNRtot_MF, SNRtot_opt, SNR220_MF, SNR220_opt, SNR221_MF, SNR221_opt, evidence220_221, evidence220, evidence221, nofilter
6.456518318509938581e+01 6.549679248234275519e+01 4.879313562024168505e+01 4.931687198087286816e+01 2.178389315701670981e+01 2.329448188530239250e+01 -4.566102320366281901e+02 -5.211146560901995599e+02 -6.111283905616664924e+02 -2.478549722717370059e+03
2.403992788243637335e+01 2.281670586870157535e+01 2.111245245640274959e+01 2.010283847549745673e+01 5.810225468211099198e+00 3.813897570630185641e+00 -3.921323935492272881e+02 -4.006620415003177413e+02 -4.233544329147979965e+02 -6.769246150026491478e+02
7.739549259372383005e+01 7.731903710367522820e+01 7.829088325475576937e+01 7.822743051534165204e+01 2.091389572916227291e+00 1.427476763641844837e+00 -5.887644509876589609e+02 -5.904392532682694537e+02 -6.687446638010654851e+02 -3.377804249450308362e+03
6.298021710167584075e+01 6.263204833076463274e+01 6.279432376008750083e+01 6.244340742515415599e+01 2.474528744739006719e-02 3.380127360422878202e-01 -5.709293963633466547e+02 -5.711234012911629634e+02 -6.327398772427300173e+02 -2.377840130264155505e+03
2.621719493453436556e+01 2.618292066298073806e+01 2.637647087394632095e+01 2.637221239943838214e+01 1.776080572619618270e+00 8.287072309481080534e-01 -3.841583809357700829e+02 -3.839972442778054642e+02 -4.026984645146351340e+02 -7.139724362034968408e+02
7.459477151947955065e+01 7.556626808172761400e+01 6.329235981766656494e+01 6.417816906077305816e+01 1.684798500137447874e+01 1.777954721194134180e+01 -4.062285079462063777e+02 -4.612213253124161270e+02 -6.527088118379188018e+02 -3.158994739782930992e+03
3.139287770953119150e+01 3.179883253100345541e+01 3.564950680651887183e+01 3.568437886610639254e+01 1.359125726974384563e+01 1.440122329538848334e+01 -4.083867961443611421e+02 -4.548330064761972835e+02 -4.571975093462061750e+02 -8.902078220767867833e+02
1.545503388516235432e+01 1.534743460585036523e+01 1.955512793057802057e+01 2.000011815076972965e+01 1.094020207472896011e+01 9.871325352975693690e+00 -3.877351047950025418e+02 -4.119171166916094080e+02 -4.150555048196324606e+02 -4.995028235708975330e+02
7.107874414546307662e+01 7.038126846311156726e+01 5.767976363896533343e+01 5.712219766991283620e+01 2.383381395028590433e+01 2.308708343330021862e+01 -3.951064156598199588e+02 -5.181283460541303612e+02 -7.117846937298203329e+02 -2.907119838263102338e+03
2.858864813487720014e+01 2.748412644882256828e+01 3.233416642104848648e+01 3.177181205230753136e+01 2.144314778143589706e+01 2.084394270041675767e+01 -4.487905498658347483e+02 -5.773139845786392925e+02 -5.806513729137377595e+02 -8.295895008882383763e+02
