# SNRtot, SNR330_res, SNR330, evidence220_330, evidence220, nofilter
4.988338818595121893e+01 1.786059331071259848e+01 2.096531382980654712e+01 7.224701567348566833e+00 -8.265735422025208834e+01 -1.232185807346094180e+03
2.963406352197751659e+01 1.642248954688587403e+01 1.903225482790062983e+01 7.033323555345751821e+00 -1.072630229595712734e+02 -4.270984593032445673e+02
2.775122631764969938e+01 1.318410331444395567e+01 1.882000415039673058e+01 7.612343566657049365e+00 -4.808286471109460791e+01 -3.730748799576520014e+02
3.524328627108637590e+01 4.167516608084556928e+00 5.143053641775376938e+00 7.409155088711262493e+00 2.257093107360754303e+00 -6.090542124838181053e+02
4.106530505935229769e+01 8.355624536187464813e+00 9.686063095594700911e+00 6.865101765429552749e+00 -2.292511673354270130e+01 -8.311892386997778885e+02
2.377908668197279596e+01 7.251571007374982614e+00 9.777648118742717998e+00 8.030906796011132442e+00 -9.844065713471803036e+00 -2.707320806053332944e+02
2.967961207925772982e+01 1.001428345961576838e+01 1.265424645393524017e+01 7.517883791355660428e+00 -3.405346482426410404e+01 -4.284492854785560212e+02
5.239662929267182534e+01 1.068720485816321819e+01 1.403105932374117870e+01 6.655146558059819917e+00 -4.624008081306445916e+01 -1.360712979507782848e+03
1.779219276210866596e+01 7.605977118816378280e+00 9.340135778672722822e+00 8.120490626021233282e+00 -1.844078796713642987e+01 -1.462906605329613114e+02
3.401936084963666218e+01 1.419071528778450109e+01 1.663609559845540886e+01 7.141582938904851297e+00 -6.139650551674374412e+01 -5.666680551998412056e+02
6.014323987904364799e+01 2.513541399342988569e+01 2.910467034832879207e+01 6.670440527025975008e+00 -9.480048962828345793e+01 -1.796614250465038594e+03
2.903233307652379835e+01 5.290007104517398417e+00 7.020200501639778601e+00 7.746817354919055099e+00 -5.446684874801596798e+00 -4.094477808240542345e+02
3.021947362862085029e+01 3.924914714419929673e+00 5.614742001110496261e+00 7.357451072811000081e+00 7.010454289164940178e-01 -4.446178920864008433e+02
4.015664011495937302e+01 4.523295999663650591e+00 5.565504503599761676e+00 7.199172041994536642e+00 -7.592885190727995948e-01 -7.942874715521274993e+02
6.645740323614710121e+00 7.347450398242693081e-01 1.034964624716498083e+00 1.024277884794817517e+01 9.298719345785956492e+00 -1.009253111540461312e+01
5.498199661350410139e+01 1.427085992674602366e+01 1.869624956237659319e+01 6.388269980860608932e+00 -7.588648726808749245e+01 -1.499519574694633548e+03
4.183752493863292443e+01 7.770209230087425922e+00 9.072308353215289500e+00 6.856663677326525708e+00 -2.076815957224192388e+01 -8.631988453863112909e+02
3.608360001711093190e+01 2.131366813285193373e+01 2.780597055776797433e+01 6.503895569060067494e+00 -1.856297319391341603e+02 -6.390226939883692694e+02
7.671783288920254051e+01 7.107772657922423853e+00 8.378750991054504382e+00 6.110073942764874921e+00 -8.517650869927646085e+00 -2.930822540498748822e+03
8.229146234423284056e+01 1.782755281669643210e+01 2.052654483097775184e+01 6.354377769576866619e+00 -7.306942483914880881e+01 -3.373951986267091343e+03
5.877775841637681964e+01 1.036829981083699082e+01 1.486331379662541252e+01 6.498356172735109126e+00 -4.114852328086197986e+01 -1.715422041117923300e+03
1.204166558476713966e+01 4.814840728409548909e+00 6.355678436346304139e+00 9.439514536528047728e+00 3.356061397710472072e+00 -6.051045391862799505e+01
1.137247873943913490e+01 7.667480633107366828e+00 1.058143343363619771e+01 8.293124729223841030e+00 -1.219963999594857107e+01 -5.267623523044289158e+01
6.120326086883458316e+01 8.918030389497056731e+00 1.065820828869281200e+01 6.614361212310876148e+00 -1.652753798739954760e+01 -1.860929169380254507e+03
4.575173035050427472e+01 1.522238794571290832e+01 1.773533633546981747e+01 6.912343250158854424e+00 -6.423951813152604018e+01 -1.034620013923572287e+03
6.083445088234535447e+00 1.841769512272595000e+00 2.178949629511470754e+00 9.933617942772487552e+00 7.997845001495337947e+00 -6.513750961727781785e+00
4.894806169685742958e+01 1.328096565761801173e+01 1.782848585080237669e+01 6.447956297528547154e+00 -6.392034047647842243e+01 -1.185965970830626247e+03
8.494190701921322528e+00 2.520185533026310321e+00 3.247653153894628275e+00 9.136994167010694667e+00 6.543578386539131486e+00 -2.408523673124865638e+01
1.308292757071543555e+01 5.970004166906116794e+00 7.265019619538390927e+00 8.655745482249120215e+00 -1.441059187722037116e+00 -7.359109580123839578e+01
7.068038131986284611e+01 3.303719352808510479e+01 3.824737332220696828e+01 6.081046955753697247e+00 -2.297753522179862387e+02 -2.485867750651553251e+03
3.959758956161137178e+01 1.878329910284084292e+01 2.647308965575372852e+01 6.845009915997862571e+00 -1.281179709306225050e+02 -7.719941484358622574e+02
3.210673729128664888e+01 8.879590073229421066e+00 1.219683022784789017e+01 7.108122990994899304e+00 -2.362746710922939641e+01 -5.034308886367936111e+02
4.564745230682885335e+01 1.866354033928951139e+01 2.650057557545463993e+01 6.342387535790253494e+00 -1.179845873006481725e+02 -1.029854549943052689e+03
