# SNRtot, SNR330_res, SNR330, evidence220_330, evidence220, nofilter
9.125214295168863288e+00 5.343158690865778659e+00 7.099367909449065372e+00 8.885178137728416914e+00 -1.829049593744587199e+00 -2.964436685732241727e+01
9.159250523354787177e+00 5.391037014871502997e+00 7.159614565609431658e+00 8.544344805526673525e+00 -2.633840247572393878e+00 -2.995553396573280480e+01
1.240126475820349050e+01 7.251051996999672511e+00 9.629262214435447831e+00 8.237352594516199389e+00 -1.188283585547827137e+01 -6.490528269247528215e+01
1.037833612706193662e+02 6.082209643479654204e+01 8.083151015923233729e+01 4.321170705833030645e+00 -1.434383268513590110e+03 -5.373502637204892380e+03
5.818218713192932512e+01 3.450675067958363940e+01 4.554220765621864331e+01 4.920385744339854206e+00 -4.862917951585696414e+02 -1.680593048618366765e+03
9.782886044805513848e+01 5.716658400722510436e+01 7.598640569483609397e+01 4.057151715804915959e+00 -1.242255059867953378e+03 -4.773252567173469288e+03
2.063834756584663310e+01 1.216376015864834059e+01 1.615464506714508985e+01 6.961293872746270317e+00 -5.292625988905369638e+01 -2.009802940152891892e+02
1.108902111096407310e+02 6.503077795914272485e+01 8.646517654160317079e+01 4.026673672580709962e+00 -1.649862176573889656e+03 -6.136329058861289013e+03
2.176446869033308928e+01 1.287631847376135497e+01 1.707722122909749629e+01 6.543814000412076837e+00 -6.164743173163000733e+01 -2.248556475771900409e+02
2.548388120467133078e+01 1.501632535507821942e+01 1.999517435680175481e+01 6.226601543671818284e+00 -8.514683064412540148e+01 -3.127236995178457164e+02
8.829749174482230956e+00 5.243113373105640740e+00 6.910216662457608017e+00 8.387435879008958040e+00 -2.395100560044639337e+00 -2.699183413308015389e+01
1.209085175781862098e+01 7.291717161350572241e+00 9.418385253759447906e+00 7.639877646039487047e+00 -1.439275140092621186e+01 -6.110394700571816173e+01
6.675679118117082567e+01 3.915339160229492421e+01 5.205730269497374252e+01 5.045833130311081938e+00 -5.956859052365172147e+02 -2.216244183294168579e+03
4.270631958176971210e+01 2.514888053102342980e+01 3.342341623436000475e+01 5.517528619773703014e+00 -2.487518131551827025e+02 -8.999244650010688247e+02
8.246544870491543122e+01 4.841297562875604399e+01 6.466261793119613799e+01 3.828920882851611029e+00 -9.271252951724200102e+02 -3.388284713942464805e+03
4.749240414720453884e+01 2.788287597057563971e+01 3.704510940494918003e+01 5.902573721822378161e+00 -3.007378115781381780e+02 -1.115773824731650848e+03
8.506212682221803334e+01 4.974923181608614442e+01 6.601733550701796105e+01 4.704469918405364659e+00 -9.406594613037800627e+02 -3.605792308650497944e+03
5.878365088171385366e+01 3.496578419492362144e+01 4.608425827138132291e+01 4.571253443404453165e+00 -5.048969872626822166e+02 -1.715768404382554536e+03
3.862997199855957575e+01 2.268131557303907897e+01 3.014612126358453992e+01 6.155350193363290145e+00 -1.972470683692274633e+02 -7.341469671956937191e+02
1.023522943718628966e+02 6.020184720154612990e+01 7.998915505110916513e+01 4.002008613911615775e+00 -1.438260462639939988e+03 -5.226005680483183824e+03
6.527390107717701540e+01 4.023274684973136317e+01 4.991391474359843983e+01 4.005079692317671025e+00 -7.217524521931676418e+02 -2.118350679807490451e+03
2.146598730294665103e+01 1.255684726035100951e+01 1.668552720568317582e+01 7.296825829116769135e+00 -5.375011746833792614e+01 -2.184039043360787389e+02
1.011995387623254743e+02 5.976328523760812317e+01 7.915331727875044976e+01 4.041461181310492812e+00 -1.442600330427209656e+03 -5.108682921744652958e+03
1.923816684071405092e+01 1.153255713146976547e+01 1.503918404608911707e+01 6.824598906006701604e+00 -4.937064539589311352e+01 -1.730631305865201455e+02
4.718154750310661427e+01 2.782700246769028141e+01 3.689747571078217447e+01 5.571098924668995700e+00 -3.071513406544590907e+02 -1.101058811284898411e+03
9.892810908128744529e+01 5.789870788222259534e+01 7.690511476054996365e+01 4.408101126153656679e+00 -1.285387583219789576e+03 -4.881394982090499070e+03
8.793415335033337499e+00 5.409890868655189422e+00 6.748682888577259398e+00 7.741525185470598203e+00 -5.128877403520187173e+00 -2.667167551814506510e+01
1.165262574830867948e+01 6.969492273938280746e+00 9.118622654523109716e+00 7.657695750032826432e+00 -1.252157754039879478e+01 -5.590144230601854503e+01
7.398731340742008911e+01 4.376810029164266780e+01 5.805362084022703328e+01 4.081990984562922975e+00 -7.794815500694967341e+02 -2.725070871514847113e+03
6.014237392523549275e+00 3.509999289648797038e+00 4.674942042701344391e+00 8.932059864013529804e+00 4.877111508252771621e+00 -6.095124597759566498e+00
6.583559669927609548e+01 3.898348269551998868e+01 5.154114660759509547e+01 4.665078662316745728e+00 -6.184813320390040872e+02 -2.155172495265812358e+03
3.966533272661499865e+01 2.322093775321982534e+01 3.084991834842991665e+01 6.250489875002403828e+00 -2.025464973834938007e+02 -7.746789090474826480e+02
4.635916891327564571e+01 2.704456261091391411e+01 3.598858448785867381e+01 5.305483009229685187e+00 -2.721828916823387203e+02 -1.062595870055756905e+03
9.775499910828220607e+01 5.769897979103014052e+01 7.645533097472176109e+01 4.108796590082109290e+00 -1.341529892484342099e+03 -4.766029524221072279e+03
5.043930239039426766e+01 2.962992009302365304e+01 3.935743582972819610e+01 5.783794745204112075e+00 -3.414902216373391752e+02 -1.260071211705761698e+03
7.011336870358891815e+01 4.098000028453004262e+01 5.448919798389655256e+01 4.728533140523760281e+00 -6.379473686808337334e+02 -2.445951834373645852e+03
3.558612019036292651e+01 2.108977958148913601e+01 2.785750679175867006e+01 5.911708341011572720e+00 -1.774868456055344836e+02 -6.211955739924231921e+02
4.826463549941369990e+01 2.832505048414156335e+01 3.784153055135111288e+01 4.922174291689344727e+00 -3.138923627606982905e+02 -1.152747118836578011e+03
3.687546848885455120e+01 2.160717051156508717e+01 2.880333540715768947e+01 5.795239399464721330e+00 -1.776341944072528065e+02 -6.679096870271977195e+02
1.016706856573429718e+02 6.036473604975093821e+01 7.956980520061902951e+01 3.801791309519948037e+00 -1.502818838718939560e+03 -5.156473759908068132e+03
9.072407490254151696e+01 5.474116648666896623e+01 7.064596030467058085e+01 3.759697609242529825e+00 -1.206455354094687209e+03 -4.103438482351926723e+03
5.678194604876573948e+01 3.370401140366944048e+01 4.444082726992390775e+01 4.972803575400529752e+00 -4.649933005356825788e+02 -1.600104297433417059e+03
5.810936994347839857e+01 3.419421722904224481e+01 4.539383208038942286e+01 5.340399570824341247e+00 -4.612821133107795504e+02 -1.676359036504960613e+03
2.644143654925152731e+01 1.545373181249180483e+01 2.049743335561626267e+01 6.886253773917234255e+00 -8.442302435213363765e+01 -3.375843822849926141e+02
8.580077930153751709e+01 5.015927974577771664e+01 6.671026896770213455e+01 4.324408673016550964e+00 -9.598810204170127918e+02 -3.668896463266519731e+03
2.974199024640596534e+01 1.746888580517076761e+01 2.320542326815507650e+01 6.850827097076217953e+00 -1.141446881655761274e+02 -4.303025907995991020e+02
9.103478812611329829e+01 5.337442820332333326e+01 7.096963529323380726e+01 4.421129078153509973e+00 -1.108552510492229203e+03 -4.131675923474114825e+03
4.614163820268665006e+01 2.686525195735871918e+01 3.597304870085051220e+01 4.980855500885153830e+00 -2.699574817966034743e+02 -1.052534986904761354e+03
7.267277452072025312e+01 4.246646979299495683e+01 5.624967483592499917e+01 4.844230092374163021e+00 -6.763449382206498512e+02 -2.628675677160668783e+03
8.718267408755136216e+01 5.227934412951134391e+01 6.814322717850309630e+01 3.807467541709700143e+00 -1.133435371145527142e+03 -3.788418929419044616e+03
