# SNRtot, SNR330_res, SNR330, evidence220_330, evidence220, nofilter
3.251932164928216196e+01 1.334453294622512054e+01 1.778630727207615436e+01 6.123563381978809339e+00 -5.570894457726645754e+01 -5.167627391556810608e+02
1.324325766062750347e+02 1.590786759777485493e+01 2.115134402222019716e+01 4.108916109455941879e+00 -8.099707766501087747e+01 -8.757203272179396663e+03
4.942736458901474350e+01 2.366111378603148552e+01 3.137009840889151846e+01 5.665848709281033457e+00 -1.913318875652608710e+02 -1.209541783998639858e+03
9.330638588585086879e+00 4.729785662665022983e+00 6.330382289456053968e+00 7.951133588307578215e+00 -2.041897392870080097e-01 -3.154000712634188375e+01
7.419859234363957512e+01 1.877436921144677484e+01 2.498019398226479382e+01 4.896052080457390154e+00 -1.169473967589356960e+02 -2.740725151779749922e+03
7.682547647496547505e+00 4.175416312772008531e+00 5.593039892051987927e+00 8.217241993712056214e+00 2.036337149503665067e+00 -1.752036806897270083e+01
4.880493418542778983e+01 1.823505190967988199e+01 2.426285929786392259e+01 5.588877190015330676e+00 -1.090982305846819429e+02 -1.178970399312914424e+03
1.073070432201464541e+02 1.051561631083810333e+01 1.396707559233496809e+01 4.756716886867019767e+00 -3.353053493310547140e+01 -5.745410361216135243e+03
1.126629297598693427e+02 2.377375052724200089e+01 3.159208225111453672e+01 4.467560839688894170e+00 -1.871642460155532035e+02 -6.334477469929572180e+03
3.501790615324215139e+01 1.618443661926409760e+01 2.145987179466956007e+01 6.543741877777931926e+00 -8.554547154283825705e+01 -6.011364745695825604e+02
8.261896252168851618e+01 2.614552718971120626e+01 3.470344225039983854e+01 4.627042847599798669e+00 -2.409189965175151258e+02 -3.400956082971030810e+03
4.355811943831387367e+01 1.553252465724047759e+01 2.071026751632025764e+01 5.595810455938513783e+00 -7.874862941410613359e+01 -9.366644833921536701e+02
2.561322481589743205e+01 1.443443756521682886e+01 1.918099551409951786e+01 6.962922477497436979e+00 -7.228900180067867609e+01 -3.160282416257973637e+02
1.332232489634507147e+02 1.559248763909158164e+01 2.059102329208018389e+01 3.976257399660748870e+00 -8.455992327793607899e+01 -8.862226631079729486e+03
1.271642089090114069e+02 4.863616175305431000e+01 6.463689697219241737e+01 4.033439273280492010e+00 -8.260280464637835394e+02 -8.073377612618293824e+03
4.461366862960834823e+01 2.142104941883259883e+01 2.832915743832904099e+01 5.494862554045224279e+00 -1.731372000784157024e+02 -9.831993131871953437e+02
5.256300291934167745e+01 1.824356252116036714e+01 2.263636347892390788e+01 4.672590366163553277e+00 -1.333227916241321509e+02 -1.369444236840306303e+03
9.663109454132209919e+01 4.597290872880317636e+01 6.063127890127572783e+01 3.952219477600914299e+00 -8.230492313485651721e+02 -4.656793815017910674e+03
2.833313556069211714e+01 8.965831359427324898e+00 1.191733030929691850e+01 6.945927455920698712e+00 -2.030847719876569002e+01 -3.893928842412234417e+02
