# SNRtot_MF, evidence220_330, evidence220
5.462383954282430665e+01 -4.169458975831646512e+02 -4.220270060937940571e+02
3.205762259567632100e+01 -3.794174745923753562e+02 -3.790219851146916881e+02
6.779921698273929564e+01 -4.758300319045910669e+02 -4.779984037418196294e+02
9.098075255231836422e+01 -1.095725794186103030e+03 -1.096151922772103944e+03
3.270432439076525810e+01 -4.135931972081585286e+02 -4.134275424704719626e+02
6.622257241459010402e+01 -4.007345492423808651e+02 -4.007891079118993503e+02
2.901673487149575692e+01 -3.799643687706044375e+02 -3.795891228014196486e+02
4.497526823055266476e+01 -4.166648112259971413e+02 -4.182418791614719566e+02
7.213286658665771256e+01 -4.072513856332040518e+02 -4.084287825483637562e+02
2.152898312392470714e+01 -3.842042474096239175e+02 -3.850081784880057967e+02
7.496078712869369554e+01 -6.551637240548246837e+02 -6.535244795638380992e+02
1.082986010075056704e+01 -3.955932210492356944e+02 -3.978149868661988648e+02
7.218330008802138309e+01 -4.394004801807281524e+02 -4.414926580401100296e+02
4.598171355337639454e+01 -4.132328094191826722e+02 -4.137232745817210571e+02
2.386864229191752074e+01 -4.303972880450476737e+02 -4.309215459143399016e+02
3.072879677894963635e+01 -4.064730674574774412e+02 -4.082511943350855859e+02
3.087910775085169846e+01 -4.494509427016230347e+02 -4.517133669531427245e+02
1.230896170558221456e+02 -5.349598037421997105e+02 -5.359458743812278954e+02
6.541614456834008706e+01 -3.932471194680818485e+02 -3.923327466610647889e+02
7.762050229417855007e+01 -4.677431513119445299e+02 -4.696988329858106113e+02
3.861908672010415700e+01 -3.986864809350399241e+02 -3.991400010253747155e+02
7.750586925008300909e+01 -4.234427581971970085e+02 -4.237479123364213365e+02
1.459172390290170540e+01 -4.123708697502498239e+02 -4.134513276686580525e+02
1.119378059403828871e+02 -3.990333795836084505e+02 -4.017951187347568975e+02
8.679793279318565169e+01 -4.681652908767551935e+02 -4.687853686971491811e+02
2.965108229233434756e+01 -4.330516884520547478e+02 -4.328174399057646724e+02
5.139500899127351197e+00 -3.838107867356135330e+02 -3.836740358533103290e+02
1.033058096792232732e+02 -3.993513745260150927e+02 -4.022562918770689180e+02
4.124058268141880745e+01 -3.891646473456002013e+02 -3.908290190821283545e+02
1.994115836014050558e+01 -3.774677427965139600e+02 -3.770216376564782195e+02
1.082504367882718270e+02 -4.971741315074910972e+02 -4.970951922181537839e+02
6.830608629795924003e+01 -4.135046304636038599e+02 -4.148587873362045002e+02
4.465834722879988306e+01 -4.466985969239314045e+02 -4.475285761226683121e+02
7.866680923545776238e+01 -4.100866062410385666e+02 -4.130726619317419477e+02
2.671608336066584144e+01 -4.073807303866299776e+02 -4.083167674372582496e+02
6.308073890548824281e+00 -4.084114532353098070e+02 -4.113733902671614260e+02
3.928279661435627190e+01 -3.972152634516890544e+02 -3.980713397546020360e+02
4.220032150287306649e+01 -3.709756060667817792e+02 -3.737201812146860220e+02
8.100774314436969803e+01 -5.154082578892432593e+02 -5.170880259265727545e+02
6.755508916115199725e+01 -4.559705922237855589e+02 -4.559232235765474570e+02
1.094178378883960789e+02 -1.037347827939075614e+03 -1.038150243773794273e+03
1.735484595483380232e+01 -3.970244394279828839e+02 -3.991665332149266305e+02
5.116180572664188730e+01 -5.131979605865126359e+02 -5.131191888785708670e+02
7.829422886247701285e+01 -3.816007203230710729e+02 -3.859781105800477121e+02
8.944238988423686010e+01 -8.219484353591765284e+02 -8.227498139866930842e+02
6.517538928451126878e+01 -3.913846164995965182e+02 -3.930472908549983231e+02
1.105212605110622803e+02 -3.937859430208899880e+02 -3.971033477476885878e+02
1.588082154375367594e+01 -4.096522944333717078e+02 -4.096882548497296170e+02
8.878888013100279863e+01 -4.726239010207779643e+02 -4.751036287175499524e+02
4.341548137911485838e+01 -4.096606901151965872e+02 -4.092223665979435623e+02
1.317402856245817304e+02 -4.149551167242964880e+02 -4.186701634392218807e+02
1.148841561309535848e+02 -4.948443825910375722e+02 -4.933468596419501750e+02
9.040026893269468644e+01 -4.273289100581629896e+02 -4.294597559014702028e+02
