# SNRtot, SNR200, SNR220, evidence220, evidence200, evidence220_200, nofilter
3.348775306949133945e+00 3.084526328064275624e+00 3.076739138897378600e-01 1.069766453215426161e+01 1.095056984695118452e+01 1.141869566392630198e+01 6.383253080838531268e+00
5.955058177194419322e+00 5.485149658919665328e+00 5.471301860762093350e-01 9.909225248111964035e+00 1.024592486567282101e+01 1.103402915047242594e+01 -5.740957837830395150e+00
1.149741729807679391e+01 1.059016598906083395e+01 1.056343007660798028e+00 8.841221847326140804e+00 9.439755423759384811e+00 1.048278819978462018e+01 -5.410490115400306621e+01
2.840909749465409639e+00 2.616736004860192200e+00 2.610129798233171705e-01 1.089883058603915345e+01 1.113582781886174722e+01 1.151106206438264579e+01 7.955017006750855657e+00
8.983745435289012704e+00 8.274845810727642359e+00 8.253955151092557951e-01 9.256116338714402758e+00 9.746534837561094733e+00 1.069895319242050569e+01 -2.836343991398341302e+01
7.621296639660033634e+01 7.019906677595506039e+01 7.002184234854448519e+00 4.923786662227484179e+00 6.288587955996391088e+00 8.359730563271504877e+00 -2.892217722375611629e+03
3.635802587134203634e+01 3.348904532468234407e+01 3.340449894600845848e+00 6.716488188741395859e+00 7.801689720307583897e+00 9.352442220830877062e+00 -6.489626215215338334e+02
8.983745435289011994e+01 8.274845810727642004e+01 8.253955151092558395e+00 4.387020620199117538e+00 5.805748876078227205e+00 8.065968805513943352e+00 -4.023393701194753703e+03
4.285770052015177356e+01 3.947583623791637564e+01 3.937617561855021098e+00 6.370438165639909833e+00 7.521584996133719336e+00 9.163327535095882936e+00 -9.064008458284541803e+02
1.597560953260569079e+02 1.471498792646389688e+02 1.467783849657247153e+01 1.438822901006240329e+00 3.006115305903449109e+00 6.702936252307343246e+00 -1.274901459580503797e+04
6.465472879666999972e+01 5.955287976274286166e+01 5.940253267835372775e+00 5.390779282780808757e+00 6.697996004865615305e+00 8.619452112795476850e+00 -2.078126576776419824e+03
2.219803746542004674e+01 2.044640942357657565e+01 2.039479045812422342e+00 7.673244569262720916e+00 8.554074841918259509e+00 9.865816222407183034e+00 -2.343860325490413459e+02
2.410065610511326284e+01 2.219889406302709745e+01 2.214285077826344317e+00 7.519950041874833957e+00 8.435263075987160519e+00 9.784290684770024171e+00 -2.784304112394119102e+02
3.084407304212726242e+00 2.841019377016811731e+00 2.833846945024787178e-01 1.079909179392614682e+01 1.104498406718912662e+01 1.146564463853224680e+01 7.233616899914255605e+00
9.753752312972126859e+00 8.984092108045807379e+00 8.961410886588213609e-01 9.119312743420842082e+00 9.645427245295604024e+00 1.062795013272730493e+01 -3.557744098234989849e+01
1.058975734208880404e+01 9.754128699438918915e+00 9.729503445100785575e-01 8.980969792439037036e+00 9.543234744833567262e+00 1.055587463030276396e+01 -4.408107917310720580e+01
5.484938001255150297e+00 5.052126261670602858e+00 5.039371673539281282e-01 1.003187039786583590e+01 1.034680898770645108e+01 1.109577642284030219e+01 -3.051871329751756790e+00
3.635802587134203900e+00 3.348904532468234496e+00 3.340449894600845959e-01 1.059427748910982281e+01 1.085321265611203856e+01 1.137010911125060986e+01 5.380870882748778783e+00
2.616635031821008539e+01 2.410158612266009470e+01 2.404073930522436786e+00 7.364571419246496831e+00 8.314246365490834734e+00 9.701437191894422440e+00 -3.303485433785918417e+02
2.044562044979547721e+01 1.883227412724153638e+01 1.878473020461801424e+00 7.824648656468290220e+00 8.670885622071381249e+00 9.946172338223639997e+00 -1.970212966794928491e+02
1.471442011333716664e+02 1.355331787940600066e+02 1.351910119945557831e+01 2.016003871767293898e+00 3.566852457202025484e+00 6.927499714718676316e+00 -1.081371756248001475e+04
7.019635797647852371e+01 6.465722375083242923e+01 6.449399024954144188e+00 5.164593193758292067e+00 6.501018718851565126e+00 8.493396359549144847e+00 -2.451773935471905133e+03
9.753752312972081029e+01 8.984092108045750535e+01 8.961410886588295099e+00 4.084074317580695279e+00 5.528176113745910669e+00 7.904115113580139074e+00 -4.744793808031356093e+03
3.947431296802906076e+01 3.635942888717202237e+01 3.626763594374058819e+00 6.545774667849838302e+00 7.664143091410797304e+00 9.259400314649816721e+00 -7.671202910398989161e+02
8.274526505941555854e+01 7.621590737031228002e+01 7.602349283884293207e+00 4.665661948641932177e+00 6.057926034813784888e+00 8.217556062238637438e+00 -3.411399043767413332e+03
3.348775306949134745e+01 3.084526328064276512e+01 3.076739138897378822e+00 6.883230973676931264e+00 7.934929697692997053e+00 9.442846352686714795e+00 -5.487244017125589153e+02
1.597560953260560801e+01 1.471498792646380416e+01 1.467783849657259942e+00 8.268914237622654539e+00 9.010484444545124205e+00 1.018134912651386159e+01 -1.156196488600849364e+02
1.883154743874493775e+01 1.734556622908185730e+01 1.730177564632564780e+00 7.974317109436825923e+00 8.785838061596349391e+00 1.002548700355988132e+01 -1.653231883597958642e+02
2.840909749465409462e+01 2.616736004860192466e+01 2.610129798233171705e+00 7.206868017664855408e+00 8.190755646733466122e+00 9.617066114235635510e+00 -3.915480091213261176e+02
1.058975734208875110e+02 9.754128699438855676e+01 9.729503445100871062e+00 3.752339857329148209e+00 5.220625474986027470e+00 7.731274281469594278e+00 -5.595157627107075314e+03
5.051931313253171396e+01 4.653287758950389730e+01 4.641540077727096758e+00 6.002597277377267559e+00 7.217915381992691337e+00 8.960226883248687102e+00 -1.264110098582341152e+03
1.355279489210627162e+02 1.248335550516283234e+02 1.245184005014081485e+01 2.526410855307630321e+00 4.058995567201599819e+00 7.144239367539682029e+00 -9.171922068266036149e+03
5.484938001255151363e+01 5.052126261670603924e+01 5.039371673539282170e+00 5.808021493429056825e+00 7.054616271110049297e+00 8.852105278606632766e+00 -1.492236842771588044e+03
1.355279489210633770e+01 1.248335550516291015e+01 1.245184005014070561e+00 8.557746084204950421e+00 9.228357158859447296e+00 1.033380299050593720e+01 -7.984872358469716858e+01
7.621296639660033456e+00 7.019906677595504796e+00 7.002184234854448297e-01 9.524291375564931883e+00 9.946536597574541005e+00 1.083741227700468279e+01 -1.705168012579199655e+01
3.947431296802907497e+00 3.635942888717203836e+00 3.626763594374060595e-01 1.048840200752188245e+01 1.075358367665502612e+01 1.131968370986017902e+01 4.199294187565122627e+00
6.465472879667000683e+00 5.955287976274286521e+00 5.940253267835373663e-01 9.783570855922606668e+00 1.014574936879217404e+01 1.097023256886888021e+01 -8.910768669800082975e+00
5.051931313253172462e+00 4.653287758950390263e+00 4.641540077727097091e-01 1.015124723047625821e+01 1.044840762069047457e+01 1.115527909062919321e+01 -7.706038878592966768e-01
5.955058177194416658e+01 5.485149658919662841e+01 5.471301860762091351e+00 5.604617850865095008e+00 6.881867568265588986e+00 8.738755954009617355e+00 -1.761145493579449976e+03
1.149741729807694810e+02 1.059016598906099489e+02 1.056343007660797717e+01 3.386515977690792489e+00 4.877688737125779994e+00 7.546973163065270995e+00 -6.597539825196896345e+03
4.653108200673842987e+01 4.285935435120629222e+01 4.275115170859394631e+00 6.189693288889191791e+00 7.373175592598975037e+00 9.063773973565112385e+00 -1.070580395249853837e+03
3.084407304212725975e+01 2.841019377016811731e+01 2.833846945024786290e+00 7.046542705391116712e+00 8.064453699579319235e+00 9.530955127913603775e+00 -4.636880198049860837e+02
