# SNRtot, SNR200, SNR220, evidence220, evidence200, evidence220_200, nofilter
1.468322492695891412e+02 1.355331787940600918e+01 1.351910119945558506e+02 2.213904623583827558e+00 1.997935888360913514e+00 6.756751567408172399e+00 -1.076786431167432420e+04
1.730812500151852475e+02 1.597622601363093864e+01 1.593589246451861072e+02 1.210261023048787354e+00 9.927714718714231168e-01 6.280780399782605272e+00 -1.496656915230047889e+04
3.077868231658029003e+02 2.841019377016811731e+01 2.833846945024786237e+02 -5.143883360743656041e+00 -5.364022693320253943e+00 4.226040153512808040e+00 -4.735437385613956576e+04
4.643243416574965750e+02 4.285935435120629222e+01 4.275115170859394311e+02 -1.567342291172835722e+01 -1.589425451831394653e+01 2.673825136675347824e+00 -1.077865567267247388e+05
1.056730661338571053e+03 9.754128699438855676e+01 9.729503445100870067e+02 -8.982694606604843557e+01 -8.974875425650931504e+01 -1.158378259420202783e+00 -5.583278549054178875e+05
1.352406239980625514e+03 1.248335550516283234e+02 1.245184005014081549e+03 -1.478934899177497186e+02 -1.471962775692909986e+02 -3.342927051120451409e+00 -9.144893285681576235e+05
5.942433204664060895e+02 5.485149658919662841e+01 5.471301860762090428e+02 -2.721241243591582659e+01 -2.743306058978689421e+01 1.812367068279172599e+00 -1.765505715583608835e+05
1.245640959010592752e+02 1.149786097063849510e+01 1.146883349320106191e+02 3.028604381861143224e+00 2.814763011367824141e+00 7.192167635109598223e+00 -7.746116592715090519e+03
8.256984163494041695e+01 7.621590737031226581e+00 7.602349283884291253e+01 4.551308373626511639e+00 4.347373318763038341e+00 8.103165261523317398e+00 -3.396898972700514605e+03
4.276684040163048195e+01 3.947583623791637741e+00 3.937617561855021364e+01 6.276191133757840213e+00 6.127829517860496900e+00 9.092868254092399738e+00 -9.025109178602120892e+02
7.004753876013940328e+01 6.465722375083243989e+00 6.449399024954145432e+01 5.034955805688703379e+00 4.838142638886409053e+00 8.397994373741720864e+00 -2.441338442067561118e+03
4.643243416574964755e+01 4.285935435120630466e+00 4.275115170859393743e+01 6.083763955929759604e+00 5.922573145392753702e+00 8.993006826039977142e+00 -1.065995070169283053e+03
1.245640959010592269e+03 1.149786097063848871e+02 1.146883349320105481e+03 -1.252956402150100530e+02 -1.248475953972489236e+02 -2.520352206163710918e+00 -7.757987089813047787e+05
5.473309703170383500e+02 5.052126261670603924e+01 5.039371673539281460e+02 -2.274668634734387496e+01 -2.296765116266094608e+01 2.109259452247893574e+00 -1.497736051329863258e+05
5.041221007466518813e+02 4.653287758950389730e+01 4.641540077727095763e+02 -1.893336083978282147e+01 -1.915428875373920903e+01 2.393519183404147821e+00 -1.270575558294996590e+05
1.147304229228531767e+03 1.059016598906092952e+02 1.056343007660806961e+03 -1.061121548059588946e+02 -1.058709476697024741e+02 -1.797122598623133616e+00 -6.581415068017286249e+05
2.834886901916149213e+02 2.616736004860192466e+01 2.610129798233170959e+02 -3.825515081811675877e+00 -4.045436292011467039e+00 4.554976580726487256e+00 -4.017092833216965664e+04
1.879162377015195489e+02 1.734556622908185730e+01 1.730177564632564611e+02 6.155718796543441229e-01 3.974924371161510095e-01 6.026317273744366432e+00 -1.764426579483794194e+04
1.594174057188290305e+02 1.471498792646380416e+01 1.467783849657260191e+02 1.739739953443507403e+00 1.522947371987990905e+00 6.523995589240876747e+00 -1.269496422195181731e+04
5.041221007466518955e+01 4.653287758950390263e+00 4.641540077727096048e+01 5.886852106028488407e+00 5.715403790747317636e+00 8.887643869837242860e+00 -1.258705061197032819e+03
3.939062577269913845e+01 3.635942888717203836e+00 3.626763594374060062e+01 6.464782150519393866e+00 6.332555066723373649e+00 9.187837487894141120e+00 -7.638202982733602084e+02
6.451765806608646869e+01 5.955287976274286521e+00 5.940253267835372952e+01 5.259967496467955250e+00 5.067810173171173105e+00 8.531976919440250384e+00 -2.069273700057171482e+03
7.605139171864021819e+01 7.019906677595504796e+00 7.002184234854446743e+01 4.799378801358215263e+00 4.598686432528909407e+00 8.255238469661033918e+00 -2.879916690061973895e+03
1.352406239980625458e+02 1.248335550516283199e+01 1.245184005014081521e+02 2.641151336106194236e+00 2.426156932252389709e+00 6.979447469043917884e+00 -9.133022788583610236e+03
3.628094533506088482e+01 3.348904532468234496e+00 3.340449894600845937e+01 6.649969912250617732e+00 6.537855761833527346e+00 9.278478749587561580e+00 -6.461630960937833379e+02
5.473309703170382789e+01 5.052126261670602858e+00 5.039371673539280039e+01 5.684619526325632499e+00 5.504869482648013346e+00 8.776132858294303674e+00 -1.485865554231898614e+03
1.056730661338571338e+02 9.754128699438856742e+00 9.729503445100871772e+01 3.707396245766475751e+00 3.496539176557994288e+00 7.587264179381580043e+00 -5.571408051956216696e+03
3.077868231658029785e+01 2.841019377016811731e+00 2.833846945024786379e+01 7.010667594148662474e+00 6.951472466348375789e+00 9.448789966854548084e+00 -4.616732414634316797e+02
9.733073949914142986e+01 8.984092108045750535e+00 8.961410886588292612e+01 4.008220163049235119e+00 3.799284157743318957e+00 7.769423786747150729e+00 -4.724646024615809438e+03
3.341675763165923740e+02 3.084526328064276512e+01 3.076739138897378325e+02 -6.668519167327671582e+00 -6.888843409033011511e+00 3.895264738017880202e+00 -5.582199412954373111e+04
7.605139171864021819e+02 7.019906677595506039e+01 7.002184234854447595e+02 -4.580432775436277382e+01 -4.600520957870418215e+01 7.797441851660227297e-01 -2.891787187159938621e+05
3.939062577269912140e+02 3.635942888717202237e+01 3.626763594374058925e+02 -1.049069004621608947e+01 -1.071130414180082013e+01 3.257249406804940683e+00 -7.756907953713236202e+04
8.964699519033385968e+02 8.274845810727642004e+01 8.253955151092557116e+02 -6.425933682813084147e+01 -6.438281369677616794e+01 -8.532370491123053569e-02 -4.018171969316780451e+05
1.594174057188290362e+03 1.471498792646380309e+02 1.467783849657259907e+03 -2.058679808133314282e+02 -2.045556856501915490e+02 -5.358915653470020857e+00 -1.270683471904978389e+06
7.004753876013937770e+02 6.465722375083242923e+01 6.449399024954143442e+02 -3.859014792187259957e+01 -3.880400507006971367e+01 1.153318027248825484e+00 -2.453208939165523625e+05
2.040227487887675011e+02 1.883227412724153638e+01 1.878473020461801184e+02 -5.599137525277475547e-02 -2.745702647433154731e-01 5.759495248944095813e+00 -2.080065061055320984e+04
2.611087656058129483e+02 2.410158612266009470e+01 2.404073930522436058e+02 -2.682130387997375909e+00 -2.901794264470630047e+00 4.875817952549160950e+00 -3.407690333698662289e+04
