# SNRtot, SNR221, SNR220, evidence220, evidence221, evidence220_221, nofilter
1.909571308903596787e+01 8.565090546716513487e+00 1.566547577730921681e+01 6.658317519429575171e+00 4.490353093905488535e+00 9.301713725078656125e+00 -1.703327280803351300e+02
4.628800096160244237e+00 4.405549051200735033e-01 5.004396607499366212e+00 9.785504507246551853e+00 8.396745245712553540e+00 1.071010903493353439e+01 1.277505943948122891e+00
1.377525721885864840e+01 4.917456393071921172e-01 1.364329363850961663e+01 8.139863815916708489e+00 4.708922300701847696e+00 9.510866094325495013e+00 -8.288845461380400081e+01
5.494238766344974323e-01 5.155916804544616872e-01 9.914699786132850912e-02 1.192032061029676093e+01 1.195519362649455353e+01 1.196937758328444801e+01 1.183946781094662448e+01
3.370165606232915678e+01 1.486740309316536468e+01 1.995333414161788710e+01 -1.306638105770616676e+00 3.481981515418676842e+00 9.464340280692240981e+00 -5.559104095627092192e+02
3.117425399684884191e+00 7.056319147725285124e-01 3.455221546664936305e+00 1.049434715811383256e+01 1.004101507257745318e+01 1.117067435555443033e+01 7.131230547754434212e+00
8.503871722053283122e+00 1.255687064479085180e+00 8.934748436666946958e+00 9.188565156661121947e+00 6.347653471112502999e+00 1.019080865598813190e+01 -2.416751602351406802e+01
3.139916852790639012e+01 1.736881716320789337e+01 3.145266473027636778e+01 -9.082021544349725417e-01 -3.247252470341138952e+00 7.859261819802470406e+00 -4.809634910128789329e+02
1.517034901884618314e+00 8.227347291051091416e-01 1.025270471217631263e+00 1.148404853147960125e+01 1.155811740048521230e+01 1.174198767968779578e+01 1.083970366228662741e+01
1.260482051168878996e+02 1.119363664623143393e+02 2.816064651667653962e+01 -9.110105611733425803e+02 -1.329265821088289101e+01 6.465877148950096576e+00 -7.932084605485468273e+03
1.949754280903798787e+01 6.090049786162175849e+00 1.695582026058864500e+01 7.140078964704157372e+00 3.211979232216392255e+00 9.142735939498439990e+00 -1.780866866860797870e+02
4.502945736039917790e+01 3.049251210378263632e+00 4.423566744675452611e+01 5.874969461702064244e+00 -1.343590003965888791e-01 7.635675349657019773e+00 -1.001835613976949048e+03
1.788445331513539127e+00 5.481145864040312121e-01 1.716220196378076102e+00 1.141123191711690410e+01 1.152554809182931272e+01 1.172378161302574284e+01 1.039113275714837847e+01
4.524250764488315646e-01 1.495169640652359300e-01 3.306517477801736993e-01 1.194256947841870087e+01 1.195193581129189120e+01 1.196718802821794903e+01 1.188805688415479800e+01
9.935034056977238848e+00 2.195089963181496184e+00 9.486350231157432589e+00 8.972329732008029524e+00 6.207745337746702674e+00 1.015447932608185688e+01 -3.736204974759414910e+01
2.190260468588334786e-01 1.289600520386168792e-01 1.070750849162623447e-01 1.197906733764160414e+01 1.198208509388944520e+01 1.198520342127007510e+01 1.196641490445336053e+01
3.333144074344922547e+00 1.022496105085505924e+00 2.656046346645134726e+00 1.057594286666988381e+01 1.063706576807380344e+01 1.135462621806891192e+01 6.435476398884328653e+00
1.680678787229272331e+00 1.717440562989517083e+00 4.154365425492800856e-02 1.141515914668876519e+01 1.172378454822786864e+01 1.181540719074233969e+01 1.057806051613343534e+01
6.953927685771038592e-01 1.620820599981289689e-01 5.495113810728112780e-01 1.189620203109112495e+01 1.192886316069782460e+01 1.195425475269613536e+01 1.174861555775999911e+01
1.438766095507006515e+00 1.153317518350636561e+00 2.259321654495643372e+00 1.138634173736239852e+01 1.124000646957242822e+01 1.158354484489344927e+01 1.095537717026442692e+01
6.038050000036205844e-01 4.891434931399312597e-02 6.126402256590227635e-01 1.191421583450912003e+01 1.192715107243030381e+01 1.195314456638353029e+01 1.180811087003997883e+01
2.760638230375656477e+00 8.160093763738599515e-01 2.891054135019555549e+00 1.072808737296169923e+01 1.059938210755601062e+01 1.132207335284656047e+01 8.179839389548845929e+00
7.452868829766748915e-01 3.469163296825453213e-01 8.328650021977636042e-01 1.185313900687902944e+01 1.185526444809125302e+01 1.191085259579568500e+01 1.171267484008611959e+01
2.340874100017972026e+00 4.595946887239439338e-01 2.148014955432967721e+00 1.105498061157970469e+01 1.116003999119645762e+01 1.155273293473962504e+01 9.250555332987188351e+00
1.112189825877897533e+02 4.208365548179233429e+01 9.964971139719997950e+01 -2.936859083943708271e+01 -4.568022238984847405e+01 5.557443289916069062e+00 -6.172840642822485279e+03
1.096529444437921086e+01 1.461349888633514382e+01 1.060491518213387074e+01 4.117078313327822592e+00 4.744630729210637554e+00 9.583992989946176877e+00 -4.812844001691212270e+01
1.451306144481441152e+02 5.844686233630267225e+01 1.105583953773302426e+02 -5.673960454936441522e+01 -5.860124725159759151e+01 5.517435810835725540e+00 -1.051945722393887263e+04
3.208043718169525160e+00 2.038186736697893853e+00 1.304811503211568136e+00 1.044724259711796144e+01 1.129570861177197472e+01 1.163472125283887770e+01 6.844628860211187771e+00
2.294994417605961790e+00 7.987246190967777215e-01 1.568010624902383077e+00 1.109498165822314242e+01 1.123312058413772796e+01 1.159644784149623753e+01 9.356901420633400690e+00
1.445910555740513415e+00 6.790788701311325504e-01 9.507803938143880584e-01 1.160702882316529028e+01 1.176055711753843624e+01 1.185601698321637798e+01 1.094507244145374436e+01
4.126435133361903240e+01 1.953296799003443240e+01 2.410400862952763745e+01 -3.436120669841488784e+00 2.239093452860787981e+00 9.028549551427625275e+00 -8.393829443831186836e+02
7.448669977773767492e-01 4.816113267327638003e-01 2.907937132793628754e-01 1.188300452082395076e+01 1.194948077064120184e+01 1.196661450226695145e+01 1.171298768686572345e+01
1.732842864497566304e-01 2.094628165871887521e-02 1.879738321712977889e-01 1.198292091649864943e+01 1.198310385488307794e+01 1.198602652185739359e+01 1.197538738708946404e+01
5.125087677374056128e-01 5.894013793928932765e-01 1.454883760532456050e-01 1.193279299351542200e+01 1.197517135960613466e+01 1.198265687750589592e+01 1.185906849055080770e+01
2.017990505509041199e+01 2.429257940772376401e+01 3.418330532007382772e+01 -2.313497562668188579e+01 -3.416844111589082900e+01 7.156647680185462157e+00 -1.916238829071771193e+02
7.339094802422749808e+00 5.649685974117687692e+00 8.406936843822203187e+00 8.171025876819543399e+00 6.067770328556170156e+00 9.977010413802130273e+00 -1.494075515041964941e+01
