# SNRtot, SNR221, evidence220, evidence221, evidence220_221, nofilter
5.147251864157802856e+02 1.228316696607752618e+02 -2.174257823178521960e+02 -2.259889143656794488e+02 -1.960340569772566610e+01 -1.324590183642708289e+05
3.618380173513875775e+02 8.634737329933987837e+01 -1.057572587654981362e+02 -1.106415373363038697e+02 -7.226769921166047439e+00 -6.545138499928248348e+04
6.985998383239467557e+01 1.667106775240701921e+01 1.750845553047445158e+00 -6.425394791981715592e-01 7.235975748876166236e+00 -2.428218269422168305e+03
2.011000387415693922e+02 4.798959557327827952e+01 -2.966114469725958358e+01 -3.244968422076311754e+01 1.833440616674256951e+00 -2.020862238982130293e+04
8.836276499983104316e+01 2.108648701718009022e+01 -1.076564250696535829e+00 -3.508251975976039994e+00 6.436350363570526589e+00 -3.891998718098628160e+03
3.069627123347671116e+01 7.325218092052491414e+00 6.351340391493295101e+00 4.125067324984683204e+00 9.073492163164409874e+00 -4.591401327105302244e+02
1.874130848854748592e+03 4.472340336220569270e+02 -2.908531608810090802e+03 -3.013872937503415869e+03 -3.049873269186187486e+02 -1.756171228913401486e+06
1.041592558654373988e+03 2.485608951383408396e+02 -8.977622930881209413e+02 -9.302958674893910711e+02 -9.242045090566779209e+01 -5.424455387209737673e+05
5.523160508922255474e+01 1.318021820224998386e+01 3.655533120404923952e+00 1.293428379121280614e+00 7.900366740618817829e+00 -1.513274699256862959e+03
1.348785121250250540e+01 3.218679264763102399e+00 8.301648863762277841e+00 6.515682525369040690e+00 1.009883923108279191e+01 -7.897066405624799756e+01
8.234875776881397087e+02 1.965133177505622371e+02 -5.604834509705434584e+02 -5.810085078300385248e+02 -5.652610450964132838e+01 -3.390539049022308900e+05
2.426860467856097969e+01 5.791349076508991445e+00 7.022144791668277541e+00 4.885510852168660101e+00 9.412266830867498157e+00 -2.824921854130812449e+02
1.199284880007308729e+01 2.861918711147489081e+00 8.520082940391139559e+00 6.838924606031039133e+00 1.021945459549541901e+01 -5.992381006165258128e+01
9.937787484119547798e+01 2.371508256489962108e+01 -2.997767065839680889e+00 -5.453999821050866004e+00 5.983558127176711317e+00 -4.925990602867101188e+03
1.788099764980290161e+02 4.267039683485657520e+01 -2.241551293951552282e+01 -2.508156663650584051e+01 2.808347690498204763e+00 -1.597451344650378815e+04
7.856857727026682880e+01 1.874924675083401127e+01 4.810322342512245442e-01 -1.929727547791265874e+00 6.853349340336469808e+00 -3.074520266027890102e+03
4.069439565545678761e+02 9.711124880060278031e+01 -1.347042288779571209e+02 -1.405136969952417303e+02 -1.048199988576754649e+01 -8.278970148703394807e+04
4.576727039034798850e+02 1.092169255794218117e+02 -1.712557042943053602e+02 -1.782671725027961429e+02 -1.453692670180717528e+01 -1.047201615480521432e+05
2.157865637107111922e+01 5.149432087346448306e+00 7.313343638210828779e+00 5.230207931888386064e+00 9.564579947394474146e+00 -2.208288042813294680e+02
1.066355345083385231e+01 2.544701734926968495e+00 8.731108958637829431e+00 7.173601481929072321e+00 1.033677129517185378e+01 -4.486528499034061213e+01
1.516921736972923362e+01 3.619912812010691816e+00 8.074141692307465590e+00 6.198127317962551786e+00 9.974041499253795351e+00 -1.030621766959928749e+02
7.322116660656688509e+02 1.747316507168043529e+02 -4.426754123935583038e+02 -4.590455689413440723e+02 -4.392530365974587170e+01 -2.680549715602222714e+05
9.261417456654686475e+02 2.210102399588870128e+02 -7.094307259732333932e+02 -7.352428527651235299e+02 -7.240200703734328158e+01 -4.288572761310318019e+05
6.211665669182698934e+01 1.482323549840645427e+01 2.793087571867817864e+00 4.151642563560260513e-01 7.584667155744608813e+00 -1.917249118176092907e+03
2.729387608367726870e+01 6.513286039522229842e+00 6.703848640182956231e+00 4.519698851344963408e+00 9.249299373834999116e+00 -3.604874347265103438e+02
2.107755918840551203e+03 5.029852542312448236e+02 -3.678899250148078863e+03 -3.812284721642579370e+03 -3.862333500546278628e+02 -2.221305516302578617e+06
1.706017897030181985e+01 4.071163259419575908e+00 7.835477309577644434e+00 5.881246984396574895e+00 9.844122695299384773e+00 -1.335344521403095825e+02
9.481598083526041165e+00 2.262645299643732066e+00 8.936096582832883328e+00 7.526305165182311185e+00 1.045162917050488538e+01 -3.295994999970768902e+01
3.882633880766791634e+01 9.265340318335377745e+00 5.504860917403316733e+00 3.209764472695776583e+00 8.672624023448562980e+00 -7.417518914948550446e+02
7.496192415681652399e+00 1.788857150994057399e+00 9.332562871334118881e+00 8.303446560574759161e+00 1.067680832517247680e+01 -1.610604925740689453e+01
1.481695947394077166e+03 3.535851595204531463e+02 -1.817851876449170959e+03 -1.883557405536550959e+03 -1.898327914021268157e+02 -1.097699449860906927e+06
1.317463781651642194e+03 3.143935449219530369e+02 -1.437040441549645720e+03 -1.488966455595956631e+03 -1.495642876139685882e+02 -8.678434175808138680e+05
4.366634564431802090e+01 1.042033746361802571e+01 4.984593527393348822e+00 2.662735990835123356e+00 8.441334571818213561e+00 -9.413844698554711385e+02
1.589905596006059625e+02 3.794078162763224071e+01 -1.663975672592019350e+01 -1.923070932476099415e+01 3.630356274966140440e+00 -1.262700861994786464e+04
1.117661042857949099e+02 2.667135310883175237e+01 -5.378022232113386814e+00 -7.861086098052663118e+00 5.490179044003874687e+00 -6.233840632502537119e+03
2.261687315993048060e+02 5.397187404185402215e+01 -3.876458563314068329e+01 -4.174322327574397207e+01 6.639515705439844595e-01 -2.556415717551013586e+04
6.510528372848100389e+02 1.553642781654776286e+02 -3.494866413413935220e+02 -3.625965424603341489e+02 -3.391380039705037319e+01 -2.119229080671916599e+05
2.860707000529259290e+02 6.826660644529603417e+01 -6.464084658998812927e+01 -6.828896753983056556e+01 -2.480437568143324611e+00 -4.090623231327650865e+04
1.171435218552438982e+03 2.795459549904390997e+02 -1.135903891817022213e+03 -1.176978713420321583e+03 -1.176786191723950878e+02 -6.861182452313911635e+05
4.910969719227032471e+01 1.171931403758622992e+01 4.376045695549869663e+00 2.032143494622576263e+00 8.184999874590575430e+00 -1.193890778049187247e+03
3.452280155264118378e+01 8.238363825960464126e+00 5.955536168141538411e+00 3.692285742508013779e+00 8.882256284629631793e+00 -5.839215124124676777e+02
6.665309455237148129e+00 1.590579032849578800e+00 9.526107763648994364e+00 8.719462682375928253e+00 1.078790604294248467e+01 -1.022277395798220034e+01
1.666400937239986206e+03 3.976623154401619900e+02 -2.299445683990080852e+03 -2.382633373759092592e+03 -2.407043813569401607e+02 -1.388434051416043192e+06
8.430651436411638500e+00 2.011852187520441593e+00 9.136225115806356101e+00 7.902766546794707914e+00 1.056478527479984564e+01 -2.354754071208014210e+01
1.918686372571385945e+01 4.578665604833038749e+00 7.583007224454707540e+00 5.560266556865009591e+00 9.708041074458083841e+00 -1.720774687055025254e+02
3.217316504938136745e+02 7.677657292827730373e+01 -8.282243904175849991e+01 -8.700117120297163353e+01 -4.603731249450350838e+00 -5.174363706362769153e+04
5.788897071445894653e+02 1.381435980880285967e+02 -2.757620037707255847e+02 -2.863189254076896759e+02 -2.594939179197363899e+01 -1.675446561178652628e+05
2.543624331120763316e+02 6.069989031563687831e+01 -5.021717776252746290e+01 -5.347457624060621129e+01 -7.521549800211575487e-01 -3.233813328823869597e+04
1.256986234328787049e+02 2.999614590036737383e+01 -8.337506980875996732e+00 -1.084897370213839629e+01 4.945785061957477247e+00 -7.888081565351267272e+03
1.413679400734806961e+02 3.373540012029548762e+01 -1.202768531778525229e+01 -1.457211230323234652e+01 4.333456609213757638e+00 -9.980456839200560353e+03
