# SNRtot, SNR221, evidence220, evidence221, evidence220_221, nofilter
9.077052244623043862e+02 3.535851595204531463e+02 -2.430095144014329890e+03 -1.235174263036284174e+03 -8.032397733169477760e+01 -4.119523968569721328e+05
9.292849779149362277e+00 3.619912812010691816e+00 8.512735889230002684e+00 8.276645814100978882e+00 1.064984275497095645e+01 -3.118812739986350380e+01
6.532624453538145026e+00 2.544701734926968495e+00 9.319636087389609358e+00 9.380450724473874402e+00 1.095622309195464084e+01 -9.347190016427612491e+00
8.070945727753969550e+02 3.143935449219530369e+02 -1.921090162453562698e+03 -9.762282379134463781e+02 -6.262338101687694802e+01 -3.256888343006412033e+05
1.321935121665600832e+01 5.149432087346457187e+00 7.525003322282893592e+00 7.254976465312821254e+00 1.033224867143230519e+01 -7.538522218559768362e+01
1.672056534982976217e+01 6.513286039522229842e+00 6.699347248659083043e+00 6.590867489206659435e+00 1.010725127933694800e+01 -1.277982516999092013e+02
3.805343053307731083e+01 1.482323549840645427e+01 1.257196566373066204e+00 3.237103932238801107e+00 9.108341612789757846e+00 -7.120413865588155886e+02
2.803759470069542203e+02 1.092169255794220106e+02 -2.304887940371499155e+02 -1.157253203996084068e+02 -2.503996172716657753e+00 -3.929334542891414458e+04
2.492988902869011554e+02 9.711124880060278031e+01 -1.818085830292492346e+02 -9.085164191423415048e+01 -5.954328089698046611e-01 -3.106297794803113720e+04
1.095411984750978434e+02 4.267039683485657520e+01 -3.251804777839704741e+01 -1.440882100254794373e+01 6.253525982707299313e+00 -5.987646680571334400e+03
6.088011264926718269e+01 2.371508256489962108e+01 -6.620183541781074155e+00 -1.028112572735675911e+00 8.208590250134673028e+00 -1.841203656984676627e+03
4.813208012900346944e+01 1.874924675083401127e+01 -1.912070870831032998e+00 1.488550492938738756e+00 8.706391199204675857e+00 -1.146358167663350741e+03
3.383556294602746561e+01 1.318021820224998386e+01 2.451312522039765351e+00 3.916573218858824923e+00 9.282813765391876970e+00 -5.604322588282387869e+02
1.880491461095166272e+01 7.325218092052491414e+00 6.212982858153988985e+00 6.241090928004231486e+00 9.988243435717844676e+00 -1.648220056535369906e+02
7.346967190642888390e+00 2.861918711147489081e+00 9.064708685036121594e+00 9.014626779573680082e+00 1.085525407289383537e+01 -1.499856234113686249e+01
7.176356727365645156e+02 2.795459549904390997e+02 -1.518639050666934963e+03 -7.714797890265068645e+02 -4.857976238306637384e+01 -2.574884889909217309e+05
