# SNRtot_MF, SNRtot_opt, SNR220_MF, SNR220_opt, SNR221_MF,		     SNR221_opt, evidence220_221, evidence220, evidence221, nofilter
6.778672802044547474e+00 7.453086900326110431e+00 6.348891565760359512e+00 7.193449075195308851e+00 3.117553729232358517e+00 2.733923987220835627e+00 -3.871744942816882826e+02 -3.877304442884337163e+02 -3.918988727683226898e+02 -4.084766494575006277e+02
7.720271736680184738e+00 7.228975035043567310e+00 6.096704607852834634e+00 5.696530672258178107e+00 2.483720045554576483e+00 1.761713678718074938e+00 -3.982036554713393457e+02 -3.993960821989603005e+02 -3.999128317850347116e+02 -4.264107811324435033e+02
6.747196078623426274e+01 6.888835135093323458e+01 9.800412562204145672e+01 9.900163692314525576e+01 3.770844932617669087e+01 3.767706575732076857e+01 -4.687732536166126351e+02 -5.120043131679760791e+02 -6.703199392140878672e+02 -2.684269914655268622e+03
2.561353007839935003e+01 2.716178575561363218e+01 2.160522582292566440e+01 2.256380084078033121e+01 7.147805385261882805e+00 9.335592866701457382e+00 -3.780469685115513130e+02 -3.827581466298762507e+02 -3.863182582608685607e+02 -7.009282849789746024e+02
1.108778102670084849e+02 1.124704048365142341e+02 1.128291646652409099e+02 1.145522670732854351e+02 5.040768025554127973e+01 5.004268120214504023e+01 -4.161407855976523251e+02 -5.062984336341162930e+02 -6.476854140429460358e+02 -6.541565126069057442e+03
6.236786635027262271e+00 7.015020137000384182e+00 5.773341285098339881e+00 6.230015564351685242e+00 4.788222981193621663e-01 1.873899912660250244e+00 -3.522252864558149668e+02 -3.543122316650623702e+02 -3.532739773525943292e+02 -3.725121073010511168e+02
6.941853290604264259e+01 6.900795700556021472e+01 1.053716509332545286e+02 1.042294654736502508e+02 4.272581523231577449e+01 4.475286695034265705e+01 -4.110369840016308558e+02 -4.754670561685716734e+02 -5.911483390770665665e+02 -2.806349999198813748e+03
2.109002127153992490e+02 2.114677496780759043e+02 1.505121258371373756e+02 1.511421098543198696e+02 6.933770018591027906e+01 6.969352450390009324e+01 -2.846280120130692922e+03 -2.888462459440144812e+03 -2.878596928676420703e+03 -2.262037894598163984e+04
1.192770091254503058e+02 1.193778988326077126e+02 1.225231371014951094e+02 1.227725570233254757e+02 3.638350092153368109e+01 3.586551249677471986e+01 -7.079827495896793152e+02 -7.439600198756392047e+02 -8.813035549695682676e+02 -7.486031102966584513e+03
5.164686049624656938e+00 4.998260208799074178e+00 4.352447882025104242e+00 4.117025987053775538e+00 1.022345268187667022e+00 1.142596313923942786e+00 -3.912598052824686761e+02 -3.938373870872574685e+02 -3.935801392310769415e+02 -4.048301390692374184e+02
8.705871165949446322e+01 8.606418623419764913e+01 1.252735033253026700e+02 1.243170885098505352e+02 5.619267082797167490e+01 5.677925276111945152e+01 -3.993691883435670320e+02 -5.283141315963063107e+02 -9.202300670765350787e+02 -4.172137404568080456e+03
3.618996955646909708e+00 4.174557248593384173e+00 3.363744285383421850e+00 3.511601626895587636e+00 3.972463680116816720e-01 1.554887662701813777e+00 -4.119334186627839927e+02 -4.148393700306608025e+02 -4.144515960396674927e+02 -4.211720104985960802e+02
8.535046941961955724e+01 8.616682438493057816e+01 9.267874783132423033e+01 9.365606533132924483e+01 2.549113509655902732e+01 2.463087341012267828e+01 -5.045068211756167784e+02 -5.219134497617679926e+02 -6.376495125008048035e+02 -4.031727272934946086e+03
1.877376834476060097e+01 1.937124398552275650e+01 1.710358624745916956e+01 1.737395943472417414e+01 7.062133121815106662e+00 7.929341754934217334e+00 -4.263502386425317354e+02 -4.292351036587998578e+02 -4.313457682391235153e+02 -5.947506716324287481e+02
8.091680595472062976e+00 6.221451900886081354e+00 5.906068743675283450e+00 5.263017344579414392e+00 5.788273070519507790e+00 2.540754186239307266e+00 -3.700787124221008071e+02 -3.714587837605977256e+02 -3.712220167334193093e+02 -4.051138931110340309e+02
1.578885929028808448e+02 1.570231936105236628e+02 1.179980987712211231e+02 1.171703908949901347e+02 4.866236593470487293e+01 4.784929427250228429e+01 -3.321269773937628997e+03 -3.343952788578455056e+03 -3.345278118421109866e+03 -1.286687102897713157e+04
8.762180379126586871e+00 7.865880646334641568e+00 1.029719744885834487e+01 8.802365555916459527e+00 2.352459813116870357e+00 3.913269701284917357e+00 -3.401501484069312369e+02 -3.413038700621158341e+02 -3.442434941807242126e+02 -3.766749484467007392e+02
1.544303470302333459e+01 1.664256115841289940e+01 1.139822575339921151e+01 1.265164041813904205e+01 5.214190607127637378e+00 5.908971540449201143e+00 -3.571619414572299434e+02 -3.581861283049104827e+02 -3.623998279074414768e+02 -4.718521731858483008e+02
6.642995932903256850e+00 4.870162714338962751e+00 5.517049253881961768e+00 3.628387395661182069e+00 2.685434376035700677e+00 1.490026686148917312e+00 -3.907201008421093889e+02 -3.914319687516657496e+02 -3.956969581302913070e+02 -4.130493205391924789e+02
1.250902142046376042e+01 1.098782664246471263e+01 9.814863815195959518e+00 8.142536113371692252e+00 4.137628435741169675e+00 3.156176376253593041e+00 -3.595421866804578030e+02 -3.601949399756321668e+02 -3.640237585808267795e+02 -4.354877910012564257e+02
4.413924191449726209e+01 4.445648440015516911e+01 3.303163814482190475e+01 3.323249703195276794e+01 1.210287055812509394e+01 1.268832552834211569e+01 -3.874415276707027260e+02 -3.915015629736764140e+02 -3.928739023890612430e+02 -1.344540250680872532e+03
1.654112858999549758e+02 1.667455025089619198e+02 1.235548352903650908e+02 1.246140617365706760e+02 4.676365026023713511e+01 4.862444495413127044e+01 -5.489080418461719546e+02 -5.703943065884196812e+02 -5.728029803938467239e+02 -1.405799759157195695e+04
8.768405007366455095e+01 8.549374403136191347e+01 1.134684885833686678e+02 1.115197767173529968e+02 4.452392198415499536e+01 4.518917964734288262e+01 -4.025243324702476002e+02 -4.650909687758436917e+02 -5.026120761742103582e+02 -4.229748147720410998e+03
1.332262014764168612e+02 1.333570273334528906e+02 1.190737129584409502e+02 1.193708105960588881e+02 5.694600972527241112e+01 5.662782270029483556e+01 -5.428521772732865429e+02 -6.021770541071130083e+02 -6.048679850933094713e+02 -9.241405985424733444e+03
6.242522956057910299e+00 6.447296000455921217e+00 9.207791166740575406e+00 9.370755756628375011e+00 4.098327453144270827e+00 4.047213535668441331e+00 -3.831384246410180481e+02 -3.853639987788350254e+02 -3.893264297328870498e+02 -4.008811995699034014e+02
4.380026816010819779e+00 4.290181070788321449e+00 6.060340171422875954e+00 5.498142076775569542e+00 9.542816736837762548e-01 2.189815313326321622e+00 -3.704121463610156866e+02 -3.714474667668638403e+02 -3.715326147902271146e+02 -3.788645789509455426e+02
6.926781039280193397e+00 7.223521968121174197e+00 5.439206421390287538e+00 5.699707920121988458e+00 1.891265429692172262e+00 2.191808221821779146e+00 -4.009391329819579823e+02 -4.018799000451128336e+02 -4.045473841492315614e+02 -4.240812953866292219e+02
9.792240252886793428e+01 9.654560472314585695e+01 1.291065460508471006e+02 1.276625384349366925e+02 4.656370792956781202e+01 4.764302440195911004e+01 -4.067604743403375664e+02 -4.930649676920104980e+02 -5.743733697286944562e+02 -5.191494439759183479e+03
3.614723827061925299e+00 3.350387836192464608e+00 5.034511044195280505e+00 4.743301027047237106e+00 1.380359931052225209e+00 1.676089225935794680e+00 -3.965801679703900504e+02 -3.962631512910659239e+02 -3.982065181043001871e+02 -4.011738409467433826e+02
