# SNRtot, SNR200, SNR220, evidence220, evidence200, evidence220_200, nofilter
4.563452190609544346e+02 4.202783553833667440e+01 4.204805830398435660e+02 -2.090365344497827138e+01 -2.116376081745197624e+01 3.172820517333365675e+00 -1.041134890787861805e+05
5.840316217015904385e+02 5.378731697150514179e+01 5.381319811175420682e+02 -3.577166578997100288e+01 -3.602994980351198961e+01 2.601331000438936059e+00 -1.705344771725857572e+05
1.443090291561101424e+02 1.329036854281127589e+01 1.329676354281472470e+02 1.680693926846208885e+00 1.425379346588281582e+00 6.924725687687313780e+00 -1.040055754688046727e+04
1.701069572867359057e+02 1.566626958311328188e+01 1.567380780853685565e+02 4.737638554552390246e-01 2.169387808691598529e-01 6.477593861295228628e+00 -1.445619805756664209e+04
3.024976996473729400e+02 2.785900463176940889e+01 2.787240970282837793e+02 -7.448399042118376556e+00 -7.707857245134624335e+00 4.543349340463800345e+00 -4.574043874486707500e+04
1.224235400370827733e+02 1.127478976834036040e+01 1.128021492117755997e+02 2.641705575084188240e+00 2.388502955943182737e+00 7.329617329384073621e+00 -7.481771176496549742e+03
8.115093069257969773e+02 7.473723458632622396e+01 7.477319631409153544e+02 -7.078985274457103571e+01 -7.100026850969447878e+01 1.890519888672848481e+00 -3.292616872124846559e+05
8.115093069257969205e+01 7.473723458632621330e+00 7.477319631409153544e+01 4.375058692297512764e+00 4.131674424117692368e+00 8.163509456639081563e+00 -3.280746375026881651e+03
9.565817178472119622e+02 8.809790798157183644e+01 8.814029853831458468e+02 -9.890211116684483272e+01 -9.902091751237225026e+01 1.522940185634110044e+00 -4.575123010586525197e+05
6.884381573894688700e+01 6.340280219571107878e+00 6.343331007206938210e+01 4.905030494199531077e+00 4.668679651654969121e+00 8.432159154405233892e+00 -2.357745081639980526e+03
1.443090291561089998e+03 1.329036854281135049e+02 1.329676354281460362e+03 -2.263392584435931099e+02 -2.258881061084412067e+02 5.170183350532241429e-01 -1.041242804397826665e+06
2.786171148490484484e+02 2.565968436162711086e+01 2.567203117360998021e+02 -5.782255935375674838e+00 -6.041497324319124118e+00 4.851896181527677321e+00 -3.880175794229487656e+04
1.846870150138849738e+02 1.700904308593862524e+01 1.701722742110155764e+02 -2.505663780992328782e-01 -5.079774920201058919e-01 6.237510892963992859e+00 -1.704265635626043149e+04
1.566779175849256092e+02 1.442950090788346529e+01 1.443644403049578955e+02 1.113224713086755191e+00 8.570919482894461261e-01 6.706528506544215062e+00 -1.226199452826531706e+04
5.379254308670617775e+02 4.954109432085452625e+01 4.956493228270880422e+02 -3.000963214195592954e+01 -3.026926540123288945e+01 2.781040791892527952e+00 -1.446698941856479796e+05
