# SNRtot, SNR200, SNR220, evidence220, evidence200, evidence220_200, nofilter
5.451677167128196722e+00 2.841019377016811731e+00 2.833846945024786734e+00 9.938255061288012726e+00 1.026077578964408055e+01 1.103304373821933027e+01 -2.869990858238795184e+00
2.395450897913307813e+02 1.248335550516283234e+02 1.245184005014081521e+02 -6.244569635219372117e+01 -6.017348209610811693e+01 4.449413110066212873e+00 -2.867893462045930937e+04
1.723971691605953183e+01 8.984092108045750535e+00 8.961410886588293323e+00 7.532109567081272772e+00 8.426266243697105196e+00 9.801213185814599882e+00 -1.366135185638799214e+02
1.871735235111210471e+01 9.754128699438856742e+00 9.729503445100871062e+00 7.307648171890428479e+00 8.246013024203852737e+00 9.691662702453754719e+00 -1.631792384087862615e+02
1.871735235111210045e+02 9.754128699438855676e+01 9.729503445100868930e+01 -3.686603391540462127e+01 -3.462259465866331709e+01 4.996118008872651117e+00 -1.750497355067502940e+04
9.694605256483393774e+00 5.052126261670602858e+00 5.039371673539280394e+00 8.859095339126307422e+00 9.452980179486079493e+00 1.047044179963373978e+01 -3.500228443046305671e+01
6.426266051631075449e+00 3.348904532468234496e+00 3.340449894600845848e+00 9.648197181684819768e+00 1.003910389840392448e+01 1.088186184738730766e+01 -8.658046574118360539e+00
4.624891608252566044e+01 2.410158612266009470e+01 2.404073930522436342e+01 3.349855958080854013e+00 4.815444097018092506e+00 8.076682572633625767e+00 -1.057490718295195620e+03
3.613754967499971116e+01 1.883227412724153638e+01 1.878473020461801468e+01 4.841726926123894437e+00 6.156165992594533343e+00 8.602166888386621579e+00 -6.409708471474810949e+02
1.240717727108364556e+02 6.465722375083242923e+01 6.449399024954144011e+01 -1.388083556244748173e+01 -1.180786597241078084e+01 5.877842979424881875e+00 -7.684911990695675740e+03
6.977068508492756393e+01 3.635942888717202237e+01 3.626763594374059352e+01 -6.782358097527989571e-01 1.047292126414893332e+00 7.131136702491442492e+00 -2.421983847501011951e+03
5.918946519742193146e+01 3.084526328064276512e+01 3.076739138897378822e+01 1.244268646445061410e+00 2.865149868064448935e+00 7.509853062929319201e+00 -1.739705994069356393e+03
5.918946519742191548e+00 3.084526328064275624e+00 3.076739138897377934e+00 9.795101631758301508e+00 1.015022629991371694e+01 1.095862743917857607e+01 -5.526562842729434877e+00
1.052554072517908068e+01 5.485149658919665328e+00 5.471301860762093128e+00 8.688880478463014256e+00 9.325136299454687361e+00 1.038279550050989464e+01 -4.340310266964701924e+01
2.032163757337140808e+01 1.059016598906093165e+01 1.056343007660807132e+01 7.070482602802768746e+00 8.053627464326138963e+00 9.577345652607595738e+00 -1.944940757226756034e+02
2.032163757337140453e+02 1.059016598906092952e+02 1.056343007660806990e+02 -4.406872039822776799e+01 -4.180779255341879264e+01 4.816159890801658072e+00 -2.063645728206396598e+04
5.021296245109753364e+00 2.616736004860192200e+00 2.610129798233171705e+00 1.007737463623965368e+01 1.037117921454439262e+01 1.110477826988325845e+01 -6.163068815219894248e-01
2.206342787787095290e+02 1.149786097063848871e+02 1.146883349320105765e+02 -5.252072274016870779e+01 -5.024990885876010083e+01 4.634085529214979182e+00 -2.432775208499160362e+04
1.587873294099793853e+01 8.274845810727642359e+00 8.253955151092558395e+00 7.745505606677990151e+00 8.595955393313944981e+00 9.906476356501615399e+00 -1.140766787967118745e+02
6.426266051631074561e+01 3.348904532468234407e+01 3.340449894600845226e+01 3.465594523233628266e-01 2.019738790024468322e+00 7.319521554816764919e+00 -2.052854367208247368e+03
7.575080860501537927e+01 3.947583623791637564e+01 3.937617561855021364e+01 -1.852366418099495426e+00 -7.461611283571478737e-02 6.945534901114147175e+00 -2.857102101047781161e+03
1.142769660304766433e+02 5.955287976274286166e+01 5.940253267835372952e+01 -1.106338643208902006e+01 -9.035612968680926116e+00 6.052990714956494323e+00 -6.517622081456302112e+03
