# SNRtot, SNR221, evidence220, evidence221, evidence220_221, nofilter
2.036762242772491849e+00 2.730543695987222019e-01 1.128096367911965459e+01 1.135149188235812900e+01 1.165279074549288474e+01 9.916200892262848399e+00
6.291240011134924259e+00 8.434222410252083524e-01 9.693118470912141404e+00 8.504967449465718587e+00 1.073665507078833414e+01 -7.799449329797814912e+00
2.516384898392867164e+00 3.373540012029553892e-01 1.102636823029247104e+01 1.107232847713487800e+01 1.152820089589031305e+01 8.824304630624824952e+00
1.186441851494468303e+01 1.590579032849578800e+00 8.735169429141866004e+00 6.338401207229972023e+00 1.007944762810709882e+01 -5.839181223982642877e+01
7.243704804879274484e+00 9.711124880060280073e-01 9.484542785594481273e+00 7.964911955903136054e+00 1.059521319020463537e+01 -1.424522854106087699e+01
3.108950482232079704e+00 4.167950957711972770e-01 1.073572149144631638e+01 1.069451284175192463e+01 1.137794564517535534e+01 7.157614558569123986e+00
3.579631281975729440e+00 4.798959557327813763e-01 1.053059385945539539e+01 1.037581331829267839e+01 1.126472980122366074e+01 5.583521051605061736e+00
5.863055549963999802e+00 7.860185658874302428e-01 9.797366009335307879e+00 8.777390710186312006e+00 1.080669252155410121e+01 -5.197309081927167895e+00
4.635357052596759675e-01 6.214296746481723366e-02 1.194449905174842108e+01 1.195270010407122641e+01 1.196828774051358302e+01 1.188296843402937242e+01
6.593931285790037844e-01 8.840019284567011970e-02 1.189866122895180212e+01 1.191471922578029208e+01 1.194629544912898211e+01 1.177300146004606063e+01
1.158890429433840907e+00 1.553642781654778482e-01 1.172130277087589789e+01 1.176404946133603424e+01 1.186185688184026077e+01 1.131888759533798883e+01
4.025860321578834666e-01 5.397187404185402326e-02 1.195567347053662210e+01 1.196190764749233004e+01 1.197366233537818481e+01 1.190936335241035060e+01
1.080015855708301942e+00 1.447901195554488762e-01 1.175431890660943068e+01 1.179259813906961973e+01 1.187751411331899654e+01 1.140718398476399642e+01
5.464013504670267807e+00 7.325218092052481200e-01 9.901767327815294450e+00 9.045026876577058061e+00 1.087609355664837807e+01 -2.937320680554867280e+00
3.841055121235296799e+00 5.149432087346464959e-01 1.042631869687052948e+01 1.019361291018050863e+01 1.120457237991633903e+01 4.613548886870713517e+00
3.336000059998736056e+00 4.472340336220570478e-01 1.063389018040573752e+01 1.054248549138077529e+01 1.132256663393962981e+01 6.425952908898878491e+00
7.772719379673385554e+00 1.042033746361802793e+00 9.379895533006381569e+00 7.705372057321857149e+00 1.052386946036693871e+01 -1.821718216852044492e+01
1.105692116308129336e+01 1.482323549840645072e+00 8.845699121173968393e+00 6.549582431220549950e+00 1.015640163868475732e+01 -4.913735169424281679e+01
2.345118675850081491e+00 3.143935449219528722e-01 1.111605984086490650e+01 1.117523957317332339e+01 1.157267048568760615e+01 9.240610307144244473e+00
6.750695186223945043e+00 9.050181605479590274e-01 9.588895146123460833e+00 8.232613969061807424e+00 1.066613787711604999e+01 -1.079554163959890722e+01
2.185508904990347556e+00 2.929957870252944407e-01 1.120109073873506311e+01 1.126803798250210242e+01 1.161421173722890288e+01 9.602176522158609728e+00
3.751858562069766978e-01 5.029852542312454600e-02 1.196020353929611879e+01 1.196563482225280950e+01 1.197584273451978909e+01 1.192001889570578399e+01
1.006509518894880051e+00 1.349356426613866067e-01 1.178356014451679989e+01 1.181767818835283812e+01 1.189140042786445584e+01 1.148387040324166364e+01
1.243525287462155404e+00 1.667106775240701222e-01 1.168413906564266469e+01 1.173160370992846246e+01 1.184425483350587704e+01 1.121722353877574641e+01
7.075492289356130060e-01 9.485614207188303171e-02 1.188516526656667693e+01 1.190346891697470788e+01 1.193983599292525000e+01 1.174008815337097467e+01
4.319872687290670643e-01 5.791349076508992000e-02 1.195047110740774343e+01 1.195762341290742903e+01 1.197115946340058912e+01 1.189709460888266435e+01
1.334341108773564821e+00 1.788857150994053180e-01 1.164245550772727000e+01 1.169479388126153019e+01 1.182453178099674673e+01 1.110016801177313184e+01
9.380060545144603967e-01 1.257518656407256019e-01 1.180938929632439738e+01 1.183968007931887456e+01 1.190368399994146209e+01 1.155047342990177128e+01
5.337128784595313036e-01 7.155112683948378072e-02 1.192978804787023961e+01 1.194054829404207396e+01 1.196122028528072967e+01 1.184797639073788567e+01
8.146689269934336286e-01 1.092169255794218086e-01 1.185217321652622324e+01 1.187582935175320387e+01 1.192407281782295847e+01 1.165855837875034773e+01
5.726904319443527625e-01 7.677657292827753943e-02 1.192078129142478105e+01 1.193309108899533655e+01 1.195689770182132072e+01 1.182641394363436049e+01
4.121570989351919678e+00 5.525499955860939671e-01 1.032147023832768618e+01 9.995214142143879599e+00 1.114226025072468573e+01 3.496727398920985053e+00
5.092130430079727432e+00 6.826660644529604083e-01 1.000640775956357054e+01 9.303492767122373053e+00 1.094463022106478611e+01 -9.744950494173121314e-01
1.030438242317550745e+01 1.381435980880282743e+00 8.954685620565351556e+00 6.765293589648712747e+00 1.023192699941630579e+01 -4.109974745246950079e+01
8.340368386416812996e+00 1.118134450918598866e+00 9.274778061143850394e+00 7.455909294515542740e+00 1.045202321724606698e+01 -2.279047130151583644e+01
1.536354213774044464e+00 2.059681893706771516e-01 1.154412936642115461e+01 1.160602324548352371e+01 1.177803408991220735e+01 1.081020897396403413e+01
1.768951173475236338e+00 2.371508256489963662e-01 1.142398412130880736e+01 1.149325858067537887e+01 1.172109999186193185e+01 1.042580698198495703e+01
2.897353994944074973e+00 3.884278449294507607e-01 1.083551611399395220e+01 1.083285995970219240e+01 1.143074782646315057e+01 7.793071023045468948e+00
6.145145528195796736e-01 8.238363825960463849e-02 1.191046584431082778e+01 1.192453384916063897e+01 1.195195106664503903e+01 1.180158704124113989e+01
4.973881537822453791e-01 6.668132682585922733e-02 1.193764657399100670e+01 1.194704403102238111e+01 1.196499454083264702e+01 1.186670362129320822e+01
7.592222145933374966e-01 1.017835753420754247e-01 1.186975255014136010e+01 1.189058136462433701e+01 1.193246727738631385e+01 1.170219192348865889e+01
8.741649649492051477e-01 1.171931403758623425e-01 1.183215221055023569e+01 1.185895754913807387e+01 1.191452477967401791e+01 1.160831891608234123e+01
1.431789294930023049e+00 1.919499071198093321e-01 1.159589414651785511e+01 1.165311461540258264e+01 1.180251368980191629e+01 1.096539081651655856e+01
2.700158854248293938e+00 3.619912812010682712e-01 1.093262763986375141e+01 1.095849100324748271e+01 1.148086546677435571e+01 8.344972189966934906e+00
1.898139341418980663e+00 2.544701734926971270e-01 1.135532672152866240e+01 1.142633223543872845e+01 1.168840781512540694e+01 1.018893462933342420e+01
1.648555606987286870e+00 2.210102399588871336e-01 1.148688990348795080e+01 1.155294163771595350e+01 1.175094028502093657e+01 1.063153331439005278e+01
8.949473334011521786e+00 1.199792861503884200e+00 9.169004768838670216e+00 7.216807755352943943e+00 1.037953681568362008e+01 -2.805613536903698702e+01
9.603061788808135546e+00 1.287414862616081290e+00 9.062377929327492865e+00 6.987128049307175459e+00 1.030623648447266127e+01 -3.411899675077879124e+01
4.745557875137116355e+00 6.362035228156763811e-01 1.011130312628390726e+01 9.549363311798522602e+00 1.101202817392804789e+01 7.302413359167108098e-01
4.422573195149576364e+00 5.929032414514689986e-01 1.021638000923192813e+01 9.780345606613291665e+00 1.107799729744953510e+01 2.210824275826899665e+00
