# SNRtot, SNR221, evidence220, evidence221, evidence220_221, nofilter
1.874924675083401127e+01 1.874924675083401127e+01 -1.530231940234164334e+01 9.247900544393637290e+00 1.023962057270997228e+01 -1.637767257527752349e+02
2.371508256489962108e+01 2.371508256489962108e+01 -2.909599745149749594e+01 8.771005797482764876e+00 9.918430501707646840e+00 -2.692121694209483280e+02
4.267039683485648283e+01 4.267039683485648283e+01 -1.090667576529054799e+02 7.390029801482481453e+00 8.862874370247531886e+00 -8.983909819130104779e+02
9.711124880060263820e+01 9.711124880060263820e+01 -5.850437316717038811e+02 4.588371390744491407e+00 6.022045031484946520e+00 -4.703306920697219539e+03
1.092169255794220106e+02 1.092169255794220106e+02 -7.409332027719509597e+02 3.979102170028758323e+00 5.384662406014443903e+00 -5.952178015401448647e+03
1.965133177505622371e+02 1.965133177505622371e+02 -2.405863188791032826e+03 -1.187486693994167730e+00 6.578731088942912919e-02 -1.929675162555766656e+04
4.472340336220561312e+02 4.472340336220561312e+02 -1.247164153541404994e+04 -2.695798318099161506e+01 -2.636080382841703340e+01 -9.999715001381815819e+04
2.485608951383403280e+02 2.485608951383403280e+02 -3.850670053748018745e+03 -5.120345814352755376e+00 -3.966146777600374485e+00 -3.087926889487745211e+04
1.482323549840645427e+01 1.482323549840645427e+01 -6.432892124761973029e+00 9.684591166939529927e+00 1.052820654008019119e+01 -9.787375421155397248e+01
6.513286039522229842e+00 6.513286039522229842e+00 6.830322878427878663e+00 1.090905428684826894e+01 1.129929332566246281e+01 -9.221046407262923239e+00
2.544701734926968495e+00 2.544701734926968495e+00 1.083183148367283621e+01 1.161141557106392597e+01 1.174852649261027437e+01 8.752647649184503109e+00
5.149432087346448306e+00 5.149432087346448306e+00 8.385374581007752681e+00 1.114021039210029329e+01 1.144410308289793754e+01 -1.267924302041935292e+00
3.619912812010691816e+00 3.619912812010691816e+00 9.916616908394875196e+00 1.140627245364268028e+01 1.161552038243445040e+01 5.438516725775087046e+00
1.228316696607749634e+02 1.228316696607749634e+02 -9.380686234986044383e+02 3.271155228605035159e+00 4.649516680942618940e+00 -7.531819134717818088e+03
8.634737329933987837e+01 8.634737329933987837e+01 -4.617566320367776029e+02 5.119723048675104415e+00 6.581890926406762432e+00 -3.715944036738721934e+03
4.798959557327816583e+01 4.798959557327816583e+01 -1.394033883442946262e+02 7.077965740675806749e+00 8.581771692684357689e+00 -1.139510240534345030e+03
2.108648701718009022e+01 2.108648701718009022e+01 -2.143170109687499192e+01 9.014912452580910340e+00 1.008374711553701886e+01 -2.103295662537976227e+02
1.667106775240701921e+01 1.667106775240701921e+01 -1.038717905412699771e+01 9.470750492029344159e+00 1.038748121592134055e+01 -1.269718488936179313e+02
3.218679264763102399e+00 3.218679264763102399e+00 1.027530879734817937e+01 1.148021518017140252e+01 1.166362707738775129e+01 6.810453004346690875e+00
2.861918711147489081e+00 2.861918711147489081e+00 1.057755548118772992e+01 1.154852244707147157e+01 1.170793697575869530e+01 7.895111754446611840e+00
