# SNRtot, SNR221, SNR220, evidence220, evidence221, evidence220_221, nofilter
1.175410952260965702e-01 4.578665604833043884e-02 7.509385361365954192e-02 1.198752033693965835e+01 1.198845635217467098e+01 1.198923720715620966e+01 1.198348098941668205e+01
5.164721121030489692e-02 2.011852187520438845e-02 3.299601820725002466e-02 1.198984459440317174e+01 1.199002542926460535e+01 1.199017621358536090e+01 1.198906504312779830e+01
4.083250835515471466e-02 1.590579032849579605e-02 2.608679457344160665e-02 1.199005323847355875e+01 1.199016627689196390e+01 1.199026052680573251e+01 1.198956599410951895e+01
2.114909431150206742e-01 8.238363825960458298e-02 1.351158919554469040e-01 1.198108981152514296e+01 1.198411460094882841e+01 1.198664142857994541e+01 1.196799751553547608e+01
3.008520661177837008e-01 1.171931403758623425e-01 1.922063170243452912e-01 1.197160398200878895e+01 1.197770834231289427e+01 1.198281812076052333e+01 1.194506542913739189e+01
1.558255658651455322e+00 6.069989031563685078e-01 9.955277522158834103e-01 1.154406911258943680e+01 1.168467444914699449e+01 1.181660056776214596e+01 1.077418273015250882e+01
5.044786535739429034e+00 1.965133177505618445e+00 3.222978830495605962e+00 9.841805543464285932e+00 1.010940870628218136e+01 1.117349422027053940e+01 -7.569434602220166397e-01
6.380924567651339530e+00 2.485608951383404541e+00 4.076601587566512919e+00 9.363870024921915558e+00 9.459250026836162561e+00 1.098232074544120174e+01 -8.403549251925346297e+00
3.546349792524900568e+00 1.381435980880285852e+00 2.265667779174909580e+00 1.049336168590221696e+01 1.083697568771123976e+01 1.142666375358573916e+01 5.691028811115323549e+00
1.970967799039567758e+00 7.677657292827732016e-01 1.259198470914475454e+00 1.132705727827365116e+01 1.152968059473657902e+01 1.173552933541640186e+01 1.004462353062292834e+01
1.148115688527952649e+01 4.472340336220573143e+00 7.335003241208709390e+00 7.938592780540308702e+00 7.664775054983557823e+00 1.047674639674332120e+01 -5.403414731494938650e+01
8.660374485187350979e-01 3.373540012029545010e-01 5.532881011353207867e-01 1.183993553311304225e+01 1.188851625098482145e+01 1.193042761933598683e+01 1.161473027389565438e+01
7.700452808716323760e-01 2.999614590036731032e-01 4.919612794693870028e-01 1.187045798573003808e+01 1.190924581964242712e+01 1.194246389045917844e+01 1.169339412347017237e+01
2.675054227166806520e-01 1.042033746361804847e-01 1.709020408199036223e-01 1.197552526164975539e+01 1.198035682224888987e+01 1.198439777711002030e+01 1.195455852461248014e+01
4.592259991839763716e-02 1.788857150994057135e-02 2.933871757105395439e-02 1.198996111330438552e+01 1.199010408682423012e+01 1.199022329854247282e+01 1.198934480955962201e+01
2.378549434818059138e-01 9.265340318335400782e-02 1.519591447803898543e-01 1.197863096850017506e+01 1.198245421086141071e+01 1.198564971962699666e+01 1.196206380691561222e+01
5.808544007834384737e-02 2.262645299643733718e-02 3.710922997559173986e-02 1.198969722462127052e+01 1.198992594503408604e+01 1.199011666338008020e+01 1.198871117909700601e+01
1.045127619390476964e-01 4.071163259419574576e-02 6.677040086034197186e-02 1.198812321327424080e+01 1.198886335702707662e+01 1.198948073074405940e+01 1.198493003256641032e+01
6.846929490253410577e-01 2.667135310883171351e-01 4.374319635656955252e-01 1.189495374198676814e+01 1.192585611753137442e+01 1.195216965109259988e+01 1.175558610285741779e+01
9.739957907252915215e-01 3.794078162763222517e-01 6.222597908276659151e-01 1.180205688364876693e+01 1.186273356008743107e+01 1.191557592602708127e+01 1.151523189338339925e+01
1.752504415364831258e+00 6.826660644529604083e-01 1.119628073666955270e+00 1.144411727256382960e+01 1.161404461082426565e+01 1.177907432759639050e+01 1.045206094766498239e+01
1.291237289801437704e+01 5.029852542312439390e+00 8.249368770499534875e+00 7.586761523664750761e+00 7.334366950676551866e+00 1.037268218396913610e+01 -7.152109340556113182e+01
5.673658638344066141e+00 2.210102399588867339e+00 3.624748352243440053e+00 9.607117428134243298e+00 9.799435635651910559e+00 1.107955103429246080e+01 -4.133144170446803045e+00
3.988430034136128732e+00 1.553642781654779315e+00 2.548100990173902680e+00 1.028591966221326359e+01 1.062687849846454036e+01 1.134760537456528340e+01 4.022607195092352761e+00
4.485619035868817051e+00 1.747316507168042099e+00 2.865741710150336630e+00 1.006831091328257166e+01 1.038520815939816444e+01 1.126309091866061252e+01 1.912295410151557462e+00
1.385537563518088433e+00 5.397187404185406212e-01 8.851827930556295243e-01 1.162812355934101660e+01 1.174326062742465737e+01 1.184847362425778527e+01 1.102885360330460962e+01
4.813208012900347388e-01 1.874924675083403380e-01 3.075029522547652050e-01 1.194264349611264286e+01 1.195813661459396826e+01 1.197118755969408532e+01 1.187436226369823800e+01
1.095411984750978229e+00 4.267039683485656654e-01 6.998293411449774126e-01 1.175528948978270982e+01 1.183080004507094785e+01 1.189736356758012903e+01 1.138938084772382453e+01
6.088011264926717070e-01 2.371508256489964217e-01 3.889467133578448088e-01 1.191455041257879444e+01 1.193912935676894982e+01 1.195996464499890344e+01 1.180475535049816571e+01
8.070945727753967347e+00 3.143935449219524170e+00 5.156310785074131431e+00 8.844547813839307437e+00 8.726853246810204467e+00 1.078242578377385819e+01 -2.063703820317267201e+01
2.803759470069527193e+00 1.092169255794217531e+00 1.791246736371796322e+00 1.087212206689852323e+01 1.117672442396111876e+01 1.156790816424850199e+01 8.052945744564478758e+00
2.492988902868998213e+00 9.711124880060263420e-01 1.592703754992385923e+00 1.104034880900390014e+01 1.131287142620611519e+01 1.162986084282735177e+01 8.877431883786691458e+00
9.077052244623038391e+00 3.535851595204530184e+00 5.799085257714410524e+00 8.563009061946987188e+00 8.359877099643501452e+00 1.068123014386061520e+01 -2.927858571764566875e+01
1.672056534982975795e-01 6.513286039522227233e-02 1.068232080280099444e-01 1.198457592211515532e+01 1.198646845496062419e+01 1.198804825443926880e+01 1.197639762659422225e+01
3.805343053307730927e-01 1.482323549840646182e-01 2.431131628007860146e-01 1.196041376896577191e+01 1.197014837450597113e+01 1.197831665105028698e+01 1.191787042622974546e+01
9.292849779149361944e-02 3.619912812010688680e-02 5.936952515431696831e-02 1.198859997920261655e+01 1.198918521883915034e+01 1.198967333366038979e+01 1.198607565234203243e+01
6.532624453538148079e-02 2.544701734926966066e-02 4.173518576489252535e-02 1.198951083879476620e+01 1.198980012179480603e+01 1.199004134970769186e+01 1.198826359233160055e+01
1.321935121665600843e-01 5.149432087346463710e-02 8.445488985972288143e-02 1.198675804724796734e+01 1.198794171586246016e+01 1.198892933092706592e+01 1.198164815962929808e+01
2.216664352336134680e+00 8.634737329933985794e-01 1.416167409915280784e+00 1.119236192979924205e+01 1.142987553557142633e+01 1.168578666493393037e+01 9.529274188135220314e+00
1.020857780870556830e+01 3.976623154401619509e+00 6.521986596228241950e+00 8.262383672838360837e+00 8.005256412667984378e+00 1.057943277757962086e+01 -4.020889217302974572e+01
7.176356727365647892e+00 2.795459549904392826e+00 4.584781863122794121e+00 9.110496021426337521e+00 9.097572725087921697e+00 1.088296229616278055e+01 -1.380499339731913899e+01
3.153270019356213538e+00 1.228316696607748781e+00 2.014539653407138697e+00 1.068925219483000433e+01 1.101908063548406957e+01 1.150012684420098275e+01 7.010090150144383969e+00
5.413212041198167679e-01 2.108648701718011109e-01 3.458356005782590725e-01 1.193018864902511922e+01 1.194971274060306676e+01 1.196620486275814166e+01 1.184362877014772231e+01
1.231963657093984255e+00 4.798959557327822645e-01 7.870685426676586882e-01 1.169792129739531639e+01 1.179145034419946469e+01 1.187519937194933206e+01 1.123019749607461826e+01
4.279708830751837167e-01 1.667106775240697614e-01 2.734191202041908464e-01 1.195254761289219125e+01 1.196483227455276221e+01 1.197515799271420889e+01 1.189866029650149137e+01
7.346967190642887668e-02 2.861918711147491343e-02 4.693780312811011990e-02 1.198927511268356305e+01 1.198964098946463608e+01 1.198994610275733308e+01 1.198769745987638125e+01
1.486724674916133360e-01 5.791349076508987143e-02 9.498285249700516575e-02 1.198579427955055898e+01 1.198729104071045626e+01 1.198854014525067591e+01 1.197932989531111936e+01
8.262824119814207724e-02 3.218679264763101705e-02 5.278896744114923434e-02 1.198897699323356925e+01 1.198943973546091080e+01 1.198982565145419343e+01 1.198698138428696680e+01
3.383556294602747538e-01 1.318021820224996310e-01 2.161663379022717990e-01 1.196665529907523151e+01 1.197436543911769213e+01 1.198082625262083667e+01 1.193305803780162044e+01
1.880491461095166184e-01 7.325218092052490637e-02 1.201395564926341086e-01 1.198303594650027470e+01 1.198542868101907111e+01 1.198742667941415796e+01 1.197268873121043242e+01
